name;01;02;03;04;05
ZINC000004803153;-5.0935583;-4.8527136;-5.2575316;-4.3161573;-5.0852427
ZINC000004803144;-5.0808496;-5.2333074;-4.8434553;-4.5475397;-4.8304243
ZINC000585269886;-7.2273808;-7.6418386;-6.6205554;-7.506238;-6.4988446
ZINC000585284639;-8.375749;-9.160691;-8.040687;-7.6344624;-7.7029715
ZINC000008652472;-7.520645;-7.0236363;-6.587337;-7.3619432;-7.470534
ZINC000008652473;-6.827478;-6.626409;-6.806974;-7.714319;-7.359067
ZINC000008652471;-8.018726;-7.171063;-7.646058;-7.0495825;-7.178713
ZINC000584577867;-6.7466903;-7.537874;-7.8768754;-7.091062;-7.0534105
ZINC000585284895;-6.397143;-6.9148736;-6.1540775;-6.2300296;-6.486282
ZINC000585283528;-8.18374;-8.0996475;-7.509326;-7.053298;-7.160851
ZINC000585283521;-8.18533;-8.118837;-7.563088;-7.2473316;-7.119527
ZINC000585284018;-7.703015;-7.758103;-7.262591;-6.680531;-7.594788
ZINC000585284769;-6.173922;-6.5692024;-7.444953;-6.341723;-5.933688
ZINC000585284507;-8.267413;-8.249911;-7.420978;-7.184017;-7.5020037
ZINC000585287040;-5.78103;-6.6844697;-5.9917;-5.9594135;-6.519039
ZINC000585284760;-6.130108;-6.3049073;-6.289007;-4.6641226;-6.306599
ZINC000585287042;-5.520921;-6.4141498;-7.025116;-5.5344396;-6.132303
ZINC000585284903;-6.4291973;-6.5339203;-5.834934;-5.8890734;-6.3060427
ZINC000585284907;-6.1103926;-6.875097;-6.562487;-5.067513;-5.6277614
ZINC000585286948;-7.3495393;-7.823984;-7.563456;-6.968253;-7.503361
ZINC000585284900;-6.0397873;-6.8398542;-6.501055;-5.041841;-5.6616745
ZINC000585285572;-8.262423;-8.793771;-8.322725;-7.7824306;-8.191729
ZINC000585285408;-7.588374;-8.521623;-7.702337;-7.0284095;-7.6230073
ZINC000585293513;-7.305601;-6.5189066;-6.8695703;-7.1466484;-6.8713155
ZINC000585286854;-7.610872;-8.605297;-7.6820316;-7.149563;-7.9429727
ZINC000585293982;-7.705812;-7.117147;-5.972717;-6.962385;-6.886045
ZINC000585286490;-7.128192;-8.150914;-7.129363;-6.5653825;-7.3583026
ZINC000585291134;-7.7175617;-8.523093;-7.7590966;-7.440026;-7.9993205
ZINC000004221887;-6.758781;-7.050286;-7.3352046;-7.1736307;-8.019931
ZINC000008652470;-7.457859;-6.876385;-7.238821;-6.6302433;-6.927894
ZINC000225498849;-8.084406;-7.6193666;-7.8212457;-7.177821;-7.7154536
ZINC000225498897;-8.788705;-8.330339;-8.157373;-7.686201;-8.748598
ZINC000225499081;-8.062579;-7.6496463;-7.3683524;-7.161422;-7.7701483
