name;01;02;03;04;05
ZINC001202624070;-8.8338585;-9.176174;-8.249236;-8.342744;-8.979405
ZINC001142265633;-7.7614574;-8.010475;-7.8497334;-7.710678;-7.960959
ZINC001142673911;-7.777934;-8.263936;-7.6388564;-7.8779607;-7.875121
ZINC001142665077;-8.058571;-8.767911;-7.590808;-7.8532867;-8.1339855
ZINC001142715243;-7.7522025;-8.4272585;-7.3951015;-7.7789865;-8.0006075
ZINC001142781757;-7.0628123;-7.4425335;-7.446759;-8.037962;-7.7730303
ZINC001143147678;-7.0861335;-7.5413036;-6.8721967;-6.965884;-7.1599936
ZINC001168591057;-6.991607;-6.646516;-5.52909;-6.425123;-6.6470995
ZINC001163076719;-7.693175;-7.932543;-7.400287;-7.979812;-7.437069
ZINC001163076714;-8.48391;-8.580439;-7.1256027;-7.900549;-7.5381784
ZINC001163076763;-8.555167;-8.476263;-7.6242685;-8.048148;-7.9118056
ZINC001163076726;-8.725725;-9.1596;-7.7674627;-8.304192;-8.219791
ZINC001163076767;-8.206688;-8.195675;-7.6006465;-7.99714;-7.5341873
ZINC001163076736;-7.860372;-8.16415;-7.6178846;-7.976632;-7.8257923
ZINC001163076692;-8.4826145;-8.743586;-7.661165;-7.917052;-7.7770486
ZINC001163076768;-8.575748;-8.490455;-7.2601676;-8.117815;-8.04938
ZINC001163076804;-8.350718;-8.632048;-7.396314;-8.172425;-8.012151
ZINC001163076781;-7.78211;-8.464624;-7.7748494;-8.229857;-7.556197
ZINC001163076781;-7.8702126;-8.602843;-7.7479243;-8.208152;-7.560589
ZINC001163076705;-8.094919;-8.36378;-7.4504337;-8.008946;-7.688601
ZINC001163076766;-7.3239007;-7.565869;-7.4220734;-7.688835;-7.506407
ZINC001163076782;-7.930326;-8.0878935;-7.370017;-7.651022;-7.460618
ZINC001163076696;-8.210685;-8.135255;-7.0435596;-7.8027315;-7.4646864
ZINC001163076893;-8.340342;-8.531397;-7.4792843;-7.9173746;-7.3431573
ZINC001163076819;-7.5482;-7.9062304;-7.8443623;-8.09664;-7.680649
ZINC001163076869;-8.561692;-8.643086;-8.036822;-8.214387;-8.170093
ZINC001163076851;-8.418974;-8.584721;-7.935066;-7.919925;-7.739878
ZINC001163076807;-8.575331;-8.309859;-7.820492;-8.147085;-8.075072
ZINC001163076884;-7.669541;-8.086689;-7.572521;-8.068094;-7.815208
ZINC001163076897;-8.387064;-7.9440775;-6.926305;-7.7806168;-7.491617
ZINC001163076895;-8.553146;-8.769454;-7.556501;-8.216484;-8.0698185
ZINC001163076871;-8.058597;-8.6040325;-7.669323;-8.120012;-7.484804
ZINC001163076865;-8.553082;-8.8549595;-7.8840194;-8.027938;-8.060972
ZINC001163076812;-8.516372;-8.942461;-8.043104;-8.676708;-7.986389
ZINC001163076876;-8.879308;-8.760822;-8.492505;-8.726531;-8.855634
ZINC001163076808;-8.096009;-8.701164;-8.00205;-8.222128;-7.8820243
ZINC001163076891;-7.7382455;-8.233901;-7.8980546;-7.7597165;-7.516698
ZINC001163076910;-8.072085;-8.132761;-7.3493705;-7.874775;-7.5400543
ZINC001163077038;-8.675471;-8.922086;-7.8382945;-8.432218;-7.6398153
ZINC001163076941;-8.223598;-8.214132;-7.440672;-7.7620716;-7.740049
ZINC001163076984;-8.201385;-8.434345;-7.3704414;-7.502232;-7.3839006
ZINC001163076913;-8.486044;-8.626432;-7.4807796;-8.180838;-7.598879
ZINC001163076977;-8.006793;-8.063981;-7.5998297;-7.5409465;-7.647013
ZINC001163076937;-8.547443;-8.900702;-7.8172874;-8.475793;-7.7112145
ZINC001163076905;-8.08502;-8.536898;-7.2773023;-7.9911003;-7.584812
ZINC001163076902;-7.340929;-7.8092113;-7.265883;-7.9612746;-7.433874
ZINC001163076947;-7.8844833;-8.00845;-7.4968753;-7.8246484;-7.755438
ZINC001163076954;-8.459906;-8.9205475;-7.6835475;-8.172555;-7.6212215
ZINC001163076929;-8.511433;-8.489632;-7.47552;-7.479992;-7.638485
ZINC001163076968;-8.285627;-8.350196;-7.2754526;-7.628265;-7.6607895
ZINC001163077059;-8.0713215;-8.151474;-7.4419985;-7.678648;-7.59836
ZINC001163077054;-8.607577;-8.543866;-7.6773653;-8.622107;-8.066277
ZINC001163077029;-7.157266;-8.05978;-7.719146;-7.836789;-7.6093984
ZINC001163077066;-8.407389;-8.750297;-7.681493;-7.939742;-7.873598
ZINC001163077395;-8.341612;-8.665637;-7.4748955;-8.188645;-7.677041
ZINC001163077381;-8.683085;-8.780441;-7.561607;-8.476532;-7.9366403
ZINC001163077441;-8.091817;-8.41053;-7.6716127;-7.779611;-7.771306
ZINC001163077436;-8.860243;-8.663106;-7.6990824;-8.447316;-8.24631
ZINC001163077208;-8.72083;-8.702964;-7.8836684;-8.126189;-8.387832
ZINC001163077092;-8.700971;-8.151336;-7.5141644;-8.1438055;-7.760287
ZINC001163077197;-7.537369;-8.146965;-7.5666857;-7.8316107;-7.372323
ZINC001163077326;-7.6375437;-8.231372;-7.7097197;-7.8422003;-7.6681833
ZINC001163077309;-8.543101;-8.792155;-7.5321765;-8.023444;-7.9668584
ZINC001163077093;-8.212645;-8.523615;-7.438035;-8.252318;-7.7368064
ZINC001163077397;-7.7615294;-7.858331;-7.2914476;-7.255374;-7.7026067
ZINC001163077164;-8.544965;-8.589446;-7.4642835;-7.8793683;-7.605475
ZINC001163077687;-8.252846;-8.305879;-7.683836;-8.187098;-8.11875
ZINC001163077631;-9.042133;-9.055272;-8.121524;-8.872647;-8.09842
ZINC001163077494;-8.238432;-8.306129;-8.123528;-8.320146;-8.064024
ZINC001163077459;-8.379287;-8.449346;-7.6722736;-7.7615;-7.8229694
ZINC001163077618;-7.401123;-7.9878845;-7.423529;-7.541463;-7.4009323
ZINC001163077496;-8.433402;-8.77925;-7.895202;-8.117285;-8.142609
ZINC001163077698;-8.199801;-8.152481;-7.065032;-7.722465;-7.6371503
ZINC001163077634;-8.477766;-8.589181;-7.2864685;-7.8876843;-7.7892137
