name;01;02;03;04;05
ZINC000009860403;-7.634368;-7.6580105;-7.6048117;-8.169729;-7.5763454
ZINC000023038431;-8.657531;-8.1431875;-7.7577934;-8.560904;-8.241035
ZINC000023076993;-7.0259414;-6.207169;-6.435181;-6.7163463;-6.8464675
ZINC000023076995;-7.001133;-6.223278;-6.520606;-6.7290206;-6.8732266
ZINC000009873068;-8.68618;-9.026876;-8.868298;-9.011159;-8.947629
ZINC000023186714;-7.6238976;-7.629981;-7.403798;-7.72799;-7.885748
ZINC000009951196;-7.8917885;-8.216549;-8.1785555;-7.9306164;-8.047071
ZINC000023297435;-8.197493;-7.25227;-7.028165;-7.384907;-7.6609664
ZINC000023297432;-8.326622;-7.0617037;-6.900842;-6.9199057;-7.8793793
ZINC000230114435;-5.1852007;-5.573549;-5.44212;-5.007463;-5.377016
ZINC000023409041;-6.9996653;-7.817344;-7.439005;-7.507268;-8.1756
ZINC000004766625;-8.472137;-8.12944;-8.096069;-8.112232;-8.140452
ZINC000012561250;-7.4680233;-7.730636;-6.672083;-6.7085347;-7.583902
ZINC000888089578;-7.043743;-6.8952737;-6.149685;-7.2530828;-7.43901
ZINC000888089579;-6.6214514;-6.5338106;-6.206814;-7.07709;-6.986168
ZINC000888089581;-7.2639236;-6.9992466;-6.37745;-7.131641;-7.3803296
ZINC000888089580;-6.5988574;-6.591031;-6.3251696;-7.0270433;-7.144979
ZINC000036640497;-6.999399;-7.330402;-7.296273;-7.630649;-7.884907
ZINC000009087286;-7.3976197;-7.762106;-7.3405986;-7.4099336;-7.9079323
ZINC000012642324;-7.9366913;-7.3653226;-7.5757627;-7.8696795;-7.5818677
ZINC000012642339;-7.680917;-7.257818;-7.61715;-7.9305916;-7.683022
ZINC000252448913;-7.4309554;-7.670954;-7.2230177;-7.907721;-8.83499
ZINC000252448914;-7.113166;-7.98385;-7.7961955;-7.482709;-8.734519
ZINC000252448915;-7.4758286;-7.832286;-7.5607257;-7.4370003;-8.357555
ZINC000252448916;-7.2386904;-8.010893;-7.6477823;-8.002836;-8.955254
ZINC000038139549;-7.3629675;-7.5758343;-7.8307815;-7.5601873;-7.336677
ZINC000038139466;-8.336355;-7.631258;-7.786427;-7.57796;-7.541997
ZINC000023763599;-8.0609665;-9.107503;-8.57435;-8.511493;-8.790627
ZINC000012592376;-7.445754;-8.191554;-7.5870185;-7.4935055;-7.96439
ZINC000023804976;-8.392531;-8.480836;-8.4649935;-8.7284155;-8.846721
