name;01;02;03;04;05
ZINC000022734387;-8.283304;-7.8074207;-7.5237226;-7.762285;-8.0276375
ZINC000022734390;-7.4048886;-7.965168;-7.7985277;-7.505061;-7.912141
ZINC000023080591;-7.283167;-7.67336;-7.447055;-7.629256;-7.5894313
ZINC000023080536;-7.595257;-7.128489;-7.3264365;-7.2788153;-7.1479454
ZINC000023080593;-7.1033854;-7.5346165;-7.100815;-7.7991695;-7.5714
ZINC000023080533;-7.546569;-7.2456975;-6.6078625;-7.4992647;-7.0176654
ZINC000023080595;-7.768749;-7.414519;-7.4026785;-7.9252467;-7.085189
ZINC000023080597;-7.6640525;-8.056442;-7.5367823;-8.116746;-7.6706233
ZINC000023080603;-7.506693;-7.384751;-7.2000947;-7.8341246;-7.199111
ZINC000065364387;-8.115062;-8.715428;-7.7563596;-7.674559;-7.540288
ZINC000009251443;-7.6591063;-7.588507;-7.948926;-8.0365925;-8.112009
ZINC000001118856;-7.6117516;-7.348843;-7.2887254;-7.748637;-7.8773437
ZINC000002087775;-7.298008;-8.160422;-7.8368373;-8.010001;-7.712921
ZINC000002087775;-7.8257174;-7.8726025;-8.464873;-7.8143463;-8.264865
ZINC000002091323;-7.5710497;-8.144136;-7.7740407;-7.9557905;-7.6673436
ZINC000002091323;-7.850792;-7.864392;-8.392689;-7.62778;-8.319015
ZINC000230466370;-8.30241;-9.292875;-8.352891;-7.7871313;-8.763942
ZINC000230466405;-8.488581;-9.47514;-8.456071;-7.7852774;-8.841305
ZINC000016428130;-9.263628;-8.952095;-8.989652;-9.193014;-9.03178
ZINC000022734290;-8.032794;-7.3528013;-7.174828;-7.357763;-7.6898136
ZINC000002106983;-7.6233635;-8.618159;-8.452182;-8.501692;-8.096241
ZINC000002106983;-8.22575;-8.349928;-8.977948;-8.255393;-8.632041
ZINC000022734287;-7.377661;-7.380086;-7.3894377;-7.1204576;-7.60558
ZINC000023080605;-7.569577;-7.914328;-7.487337;-7.946746;-7.475025
ZINC000022735602;-7.3236046;-8.500084;-7.530864;-8.2929535;-7.8949604
ZINC000022735565;-8.010291;-8.5631695;-7.8241234;-8.568596;-7.8844957
ZINC000022735553;-8.316322;-8.667982;-8.204529;-8.748932;-8.189842
ZINC000022735825;-7.948388;-8.296123;-7.556244;-8.421746;-7.8064194
ZINC000022735598;-7.787375;-8.347897;-7.8950725;-8.278862;-7.8967986
ZINC000022735822;-8.596388;-8.195522;-7.8528013;-8.326132;-7.9030433
ZINC000022735550;-8.266796;-8.259536;-8.047161;-8.631716;-7.6863685
ZINC000022735562;-7.920453;-8.233422;-7.613614;-8.404907;-7.6208625
ZINC000001198366;-7.5436897;-7.8358717;-7.2320027;-7.9844575;-7.86135
ZINC000009293496;-7.3661213;-7.8674326;-7.565214;-7.4326406;-7.44216
ZINC000001206913;-6.2645354;-6.1298842;-6.0173573;-6.171966;-6.473302
ZINC000248234902;-7.0569906;-8.068466;-7.3632746;-7.753854;-7.56822
ZINC000248234902;-7.7293606;-8.589542;-7.806805;-7.9261208;-7.761583
ZINC000248234908;-7.0569906;-8.068466;-7.3632746;-7.753854;-7.56822
ZINC000248234908;-7.7293606;-8.589542;-7.806805;-7.9261208;-7.761583
ZINC000020410721;-7.450848;-7.454056;-8.247473;-7.1161757;-7.624792
ZINC000020410721;-7.1911354;-7.92023;-7.7035;-7.3930783;-7.2978077
ZINC000020410723;-7.284625;-7.7016864;-7.5994596;-7.6286335;-7.384919
ZINC000020410723;-7.6363077;-7.4862394;-8.166954;-7.3075666;-7.622203
ZINC000002178839;-7.279081;-8.012588;-7.943052;-7.448841;-7.844397
ZINC000012660624;-8.277259;-8.178945;-7.8046207;-8.260397;-8.027345
ZINC000009310982;-6.426281;-7.01427;-6.70198;-7.1509476;-6.782816
ZINC000015958676;-7.612629;-8.247957;-7.5122128;-8.965035;-7.906375
ZINC000015958675;-7.405859;-7.9937363;-7.8664727;-8.385608;-7.741458
