name;01;02;03;04;05
ZINC000408695345;-7.092516;-7.3900504;-7.393225;-7.332652;-7.676359
ZINC000408695448;-7.1874385;-7.337562;-7.3938107;-7.2992096;-7.645232
ZINC000001105914;-7.466481;-7.795881;-7.3506513;-7.4228373;-7.4184
ZINC000408719758;-9.591321;-8.280453;-8.716094;-8.777923;-9.00169
ZINC000408721491;-7.8945236;-8.21688;-7.7128882;-7.9157815;-8.13358
ZINC000408731329;-7.43502;-7.536297;-7.0219893;-7.515551;-7.545169
ZINC000408740599;-8.8718605;-8.340276;-9.285538;-8.670308;-8.677548
ZINC000408741464;-8.280764;-8.760079;-8.17329;-8.449546;-8.261192
ZINC000408741461;-8.280764;-8.760079;-8.17329;-8.449546;-8.261192
ZINC000408753136;-7.814905;-8.199163;-7.9455476;-8.090978;-8.353707
ZINC000408761120;-8.680481;-8.398202;-8.162143;-8.500824;-8.588242
ZINC000408763714;-8.067978;-8.419343;-8.134059;-8.309725;-8.888699
ZINC000408764626;-9.373166;-8.317475;-8.962967;-8.758039;-9.157951
ZINC000408776669;-7.22611;-7.830493;-7.3868666;-7.2393813;-7.6807823
ZINC000408797181;-9.489116;-9.360912;-9.144984;-9.404511;-9.224879
ZINC000408797181;-9.488006;-9.610244;-9.239106;-9.392654;-9.366575
ZINC000408805299;-8.355234;-7.843444;-7.527276;-8.030981;-7.7564974
ZINC000408805299;-8.309124;-8.053891;-7.5996666;-8.01671;-7.8879237
ZINC000016488314;-8.17418;-8.549401;-8.122744;-8.753931;-8.643304
ZINC000408806430;-8.177605;-7.64834;-7.307725;-7.8595133;-7.550349
ZINC000408806430;-8.150957;-7.8687;-7.3707085;-7.8704643;-7.707675
ZINC000408816602;-8.476747;-8.271879;-7.910041;-8.373587;-8.034433
ZINC000408816602;-8.445953;-8.493851;-7.9871173;-8.397171;-8.190764
ZINC000408854053;-7.8182025;-7.723298;-8.266323;-7.6188645;-7.9714413
ZINC000408857006;-8.005299;-7.099055;-7.7091475;-7.5481653;-7.580606
ZINC000408865432;-9.521834;-10.148468;-8.746457;-9.126686;-9.445615
ZINC000408866826;-8.996477;-9.144641;-8.879436;-9.085471;-9.021187
ZINC000408867326;-7.2007546;-7.5353303;-7.221349;-7.86833;-7.9908566
ZINC000408879807;-7.969918;-8.025318;-7.568221;-7.928985;-8.347081
ZINC000408879807;-7.872668;-7.6927752;-7.466812;-7.734104;-8.002642
ZINC000408880382;-8.350399;-7.9814796;-7.919613;-8.128465;-8.302358
ZINC000408880722;-7.440099;-7.602432;-7.163206;-7.5735765;-7.961034
ZINC000408882600;-7.7178006;-7.6656632;-7.5581417;-8.0702915;-8.062809
ZINC000408882600;-7.7217364;-7.9208064;-7.6257343;-8.237393;-8.372223
ZINC000408886066;-8.38421;-8.143204;-7.3163404;-7.471381;-7.515108
ZINC000408887109;-10.09081;-9.341368;-9.41582;-9.559478;-9.624158
ZINC000408887109;-9.825347;-9.097202;-9.31057;-9.232901;-9.528578
ZINC000408886681;-7.348148;-7.508727;-6.909226;-7.695834;-7.6016126
ZINC000408886813;-9.786001;-9.111679;-9.152647;-9.3390665;-9.381274
ZINC000408888978;-7.8060575;-7.4574127;-7.169016;-7.7774734;-8.088965
ZINC000408891962;-8.936301;-8.106442;-8.24339;-8.298885;-8.59071
ZINC000408891962;-8.953089;-8.37468;-8.260369;-8.423781;-8.676769
ZINC000408893293;-8.378262;-7.758367;-7.5179415;-8.035707;-8.305017
ZINC000408893293;-8.409437;-7.876342;-7.5093193;-8.042633;-8.464323
ZINC000408899210;-8.363932;-8.141372;-7.8963842;-8.321925;-8.465639
ZINC000408912236;-7.385967;-7.270162;-7.020727;-7.555498;-7.1990914
ZINC000408912944;-7.897492;-8.209716;-7.499799;-7.420785;-8.065986
ZINC000408913140;-7.725892;-8.215072;-7.417793;-7.562514;-8.087268
ZINC000408914303;-7.7293925;-8.013286;-7.9069486;-7.9561086;-8.378066
ZINC000408919026;-6.9981356;-5.992751;-6.2674613;-6.550657;-6.9806004
ZINC000408921279;-7.6465034;-7.4099326;-7.0231557;-7.7992992;-7.097356
ZINC000033458006;-8.057879;-8.159157;-7.7971134;-8.366233;-7.5795336
ZINC000408997082;-7.392386;-7.7612624;-7.478189;-7.624166;-7.6800523
ZINC000409006826;-7.028983;-6.457877;-6.6594605;-6.654663;-6.608629
ZINC000409016688;-7.701524;-8.007815;-7.7249455;-8.103068;-7.963474
ZINC000409016690;-7.865342;-7.990245;-7.7793837;-8.019322;-8.025748
ZINC000409020816;-7.3347015;-7.68544;-7.124732;-7.7732053;-7.484836
ZINC000409020967;-7.5415115;-7.738245;-7.4972677;-7.773243;-7.8097363
ZINC000409020865;-6.8743534;-7.6451383;-7.2069645;-7.523221;-7.693197
ZINC000409020815;-7.1582203;-7.8024063;-7.032042;-7.6740465;-7.2311864
ZINC000409020968;-7.331012;-7.7548423;-7.5171833;-7.791422;-7.73018
ZINC000409020866;-7.0104933;-7.662337;-7.241452;-7.5620155;-7.8778687
ZINC000409040283;-8.065336;-8.501476;-8.016403;-8.33344;-8.542194
ZINC000409042703;-8.318787;-8.729368;-7.4851084;-7.9154024;-8.22884
ZINC000409044200;-8.193496;-8.390689;-7.3777294;-7.457262;-8.183234
ZINC000409045662;-8.504611;-8.885321;-8.250885;-8.457353;-8.68935
ZINC000409045662;-8.571072;-8.98933;-8.328727;-8.579963;-8.861006
ZINC000409046249;-8.413239;-8.537801;-7.5134726;-7.823249;-8.35317
ZINC000409049521;-8.923152;-8.864991;-7.8202515;-8.094648;-8.654224
ZINC000409049521;-8.951477;-8.934068;-7.862343;-8.155225;-8.75784
ZINC000409050164;-9.304117;-9.562111;-8.380967;-8.783198;-8.695086
ZINC000409050164;-9.005951;-9.486027;-8.280304;-8.794813;-8.655036
ZINC000409054879;-9.008726;-9.151085;-8.045597;-8.371621;-8.612932
ZINC000409054879;-8.977998;-9.27899;-8.124207;-8.413566;-8.734107
ZINC000409055492;-7.9995966;-7.494458;-7.908534;-8.138392;-8.254063
ZINC000409065557;-8.378206;-7.598275;-7.114952;-7.998644;-8.212983
ZINC000409065557;-8.406334;-7.738289;-7.0573616;-8.04217;-8.250978
ZINC000409065633;-8.198842;-8.002855;-7.986824;-7.792688;-8.266982
ZINC000409066066;-8.315152;-8.113596;-7.6042013;-8.298762;-8.283463
