name;01;02;03;04;05
ZINC001294460830;-10.0412245;-8.718123;-8.880457;-8.394822;-9.139722
ZINC001294460830;-8.589295;-8.397618;-9.369338;-8.861831;-8.918182
ZINC001294460830;-8.816197;-8.44442;-9.307284;-8.742715;-8.747133
ZINC001294460830;-10.011027;-9.447669;-9.085292;-8.905952;-9.225109
ZINC001294460831;-10.019435;-9.316066;-9.626084;-8.985803;-8.831968
ZINC001294460831;-9.6029005;-9.311648;-8.925904;-8.752756;-9.106368
ZINC001294460831;-9.709997;-8.517257;-8.888723;-8.454914;-8.768778
ZINC001294460831;-9.524582;-8.247942;-9.162446;-8.398402;-8.751942
ZINC001294460833;-9.7108555;-8.91249;-9.384474;-8.647893;-8.634369
ZINC001294460833;-9.492566;-8.7803135;-8.863175;-8.547209;-8.821539
ZINC001294460833;-9.975297;-8.694774;-8.97014;-8.868335;-9.048003
ZINC001294460833;-9.492566;-8.7803135;-8.863175;-8.547209;-8.821539
ZINC001294460832;-9.783953;-8.894508;-8.890487;-8.391779;-9.046363
ZINC001294460832;-9.90687;-8.933493;-9.141336;-8.616455;-8.767053
ZINC001294460832;-8.38772;-8.51449;-8.770543;-8.522743;-8.6515665
ZINC001294460832;-9.90687;-8.933493;-9.141336;-8.616455;-8.767053
ZINC001294461492;-9.669584;-9.207937;-9.014589;-8.820057;-8.918699
ZINC001294461490;-9.708643;-9.5217285;-8.823764;-9.149135;-8.513285
ZINC001294461491;-9.656687;-8.69896;-8.717065;-8.377307;-8.939848
ZINC001294461493;-8.806071;-8.547808;-8.721887;-8.539246;-8.5477705
ZINC001287045777;-9.516935;-9.960972;-8.641699;-9.466145;-9.070208
ZINC001295982336;-8.22031;-8.288007;-8.189812;-7.724011;-7.8198943
ZINC001295982337;-7.9885483;-8.409584;-7.219098;-8.049152;-8.167602
ZINC001295982335;-7.881175;-8.33495;-8.1410475;-7.489862;-7.9702473
ZINC001295982338;-7.9991117;-8.12456;-7.456339;-7.930663;-8.308626
ZINC001294505537;-8.798323;-8.912525;-8.284094;-8.227278;-8.611484
ZINC001294507846;-8.844033;-9.624296;-8.473531;-8.392384;-8.611259
ZINC001294507846;-9.311359;-8.991671;-7.898575;-8.380541;-9.008381
ZINC001294507519;-9.079584;-8.693691;-8.6195345;-8.644036;-8.59577
ZINC001294507845;-8.758846;-9.09709;-8.5134115;-8.245677;-8.295927
ZINC001294507845;-9.072738;-8.901894;-8.888751;-8.5472555;-8.68255
ZINC001294507521;-9.030719;-8.533112;-8.655562;-8.569227;-8.814992
ZINC001294507848;-9.0354;-9.156256;-8.7763405;-8.32542;-8.897194
ZINC001294507848;-9.1567;-8.95906;-8.601681;-8.328394;-8.710871
ZINC001294507847;-9.207844;-8.907207;-8.808148;-8.751123;-9.051472
ZINC001294507847;-9.267106;-8.860176;-9.089692;-8.734553;-9.238537
ZINC001293545087;-8.190747;-9.387198;-9.143033;-8.721234;-8.569039
ZINC001293545087;-8.020067;-9.157295;-9.193326;-8.470285;-8.703954
ZINC001293545087;-7.731921;-9.039294;-8.984837;-8.448371;-8.873535
ZINC001293545117;-7.9597654;-8.646357;-8.757015;-8.328275;-8.302608
ZINC001293545117;-7.5741367;-8.604825;-9.3309765;-7.944867;-8.671528
ZINC001293545117;-7.6201096;-8.642827;-8.93679;-8.025958;-8.753498
ZINC001293545115;-8.526968;-8.506977;-8.7648;-9.060724;-8.637348
ZINC001293545115;-7.831957;-9.042307;-9.172052;-8.826818;-8.524737
ZINC001293545115;-7.662207;-8.988256;-8.9317875;-8.5344715;-8.223663
ZINC001293545113;-8.169362;-8.966566;-8.413687;-8.493983;-8.962814
ZINC001293545113;-8.147072;-9.585459;-9.269175;-8.55413;-8.558982
ZINC001293545113;-7.77862;-8.9011755;-8.657329;-8.252798;-8.2834635
ZINC001296011962;-8.100268;-9.172819;-8.898556;-8.640845;-8.518561
ZINC001296011962;-8.835195;-9.036934;-8.250017;-9.382899;-8.704783
ZINC001296011970;-8.45435;-9.146747;-8.701298;-8.322546;-8.593801
ZINC001296011970;-8.884826;-9.111137;-8.288345;-9.284404;-8.855275
ZINC001296011933;-8.896683;-8.12989;-8.0959215;-9.181949;-9.715072
ZINC001296011933;-8.399136;-9.2131405;-8.345104;-8.687253;-8.362545
ZINC001296011952;-8.637674;-8.716365;-9.446947;-8.831038;-8.994996
ZINC001296011952;-8.598751;-9.569688;-8.388167;-8.459503;-8.508823
ZINC001293559325;-8.521443;-8.779242;-8.040117;-8.650215;-8.214739
ZINC001293559326;-8.662061;-9.985916;-8.778121;-8.484507;-8.720628
ZINC001293559324;-8.1578;-9.174152;-7.9721756;-9.273113;-7.866698
ZINC001293559323;-8.984356;-9.891252;-9.013335;-8.897337;-8.498623
ZINC001293561042;-9.001524;-8.842009;-9.158354;-8.350689;-8.485873
ZINC001293561042;-9.17765;-8.321846;-8.4410515;-8.458666;-8.9577675
ZINC001293561039;-8.786315;-8.961952;-9.194236;-8.267986;-8.712431
ZINC001293561039;-9.201212;-8.268123;-8.977788;-8.245598;-8.85895
ZINC001293560988;-8.568174;-8.444201;-8.779291;-8.967465;-8.00839
ZINC001293560988;-8.6593895;-8.476376;-9.127079;-8.624554;-8.353936
ZINC001293560988;-8.290353;-8.466472;-9.097746;-8.398714;-7.984434
ZINC001293560987;-8.454099;-9.123329;-9.175461;-9.232082;-8.376802
ZINC001293560987;-8.294834;-8.680518;-9.093604;-8.7183895;-8.511769
ZINC001293560987;-7.687432;-8.2709255;-8.870761;-8.100243;-8.616634
ZINC001293560985;-7.685337;-9.189221;-8.98302;-9.4141445;-8.575024
ZINC001293560985;-7.627964;-7.550636;-8.917957;-8.4872465;-7.8653774
ZINC001293560985;-8.143154;-9.625885;-8.988738;-8.280291;-8.504736
ZINC001293560986;-8.633557;-8.541636;-9.530615;-8.887553;-8.638018
ZINC001293560986;-8.358399;-9.382904;-9.328985;-8.695969;-8.444603
ZINC001293560986;-7.832111;-8.18027;-8.853554;-8.637989;-8.105492
ZINC001293562867;-8.467909;-9.0204;-8.799389;-8.927439;-8.106664
ZINC001293562868;-8.746624;-8.079008;-8.510944;-8.584024;-8.325147
ZINC001293562870;-8.482814;-8.420171;-8.1426525;-8.832193;-8.471139
ZINC001293562869;-8.21183;-8.743786;-8.635002;-8.542039;-8.738325
ZINC001294569898;-9.099652;-8.617306;-9.090189;-8.166448;-9.0710125
ZINC001294569898;-8.197329;-9.138268;-8.950576;-8.019913;-9.1163435
ZINC001294569897;-8.562732;-8.899588;-8.693451;-8.1850605;-9.058086
ZINC001294569897;-9.0208645;-8.784989;-8.97266;-8.456466;-9.022785
