name;01;02;03;04;05
ZINC000022735297;-8.9159565;-8.943564;-8.479955;-8.818617;-8.468536
ZINC000009868923;-8.28798;-7.7820687;-7.699806;-7.601304;-7.316552
ZINC000009868917;-7.350632;-7.580983;-7.5714197;-7.3153315;-7.156528
ZINC000023080544;-8.04467;-8.567298;-7.7562585;-8.100034;-7.7899685
ZINC000023080542;-8.447624;-8.4072;-7.659799;-8.46866;-7.730736
ZINC000022735300;-8.208894;-8.9058695;-8.646902;-8.980259;-8.453447
ZINC000023130218;-7.6399803;-6.864558;-7.668806;-7.779661;-7.7035923
ZINC000012556009;-8.110651;-7.812596;-7.914525;-7.9304595;-7.3255672
ZINC000012556007;-7.449916;-7.911536;-7.857154;-7.6985264;-8.044798
ZINC000009271888;-8.271889;-8.7604265;-7.6993546;-7.9377284;-8.252269
ZINC000239229133;-8.950213;-9.121203;-9.390139;-8.140661;-8.698929
ZINC000239229132;-9.169745;-9.446154;-9.553688;-7.751676;-8.673806
ZINC000239229134;-8.157399;-9.709263;-9.017145;-8.565685;-8.939179
ZINC000241371336;-7.907227;-7.4428787;-6.947663;-7.3551555;-7.3421144
ZINC000012613241;-8.322614;-7.9166274;-6.49155;-7.9654503;-8.024375
ZINC000020479974;-8.81357;-8.90409;-8.414809;-8.932479;-9.128608
ZINC000012618480;-7.4535427;-8.601077;-7.690965;-8.351776;-8.596326
ZINC000012618483;-7.5413427;-8.853119;-7.590804;-8.267362;-8.722075
ZINC000245280423;-8.629387;-8.712053;-8.506817;-8.700606;-8.972388
ZINC000247956935;-8.536372;-7.8833146;-7.906397;-7.7039046;-7.9581146
ZINC000001296169;-8.592348;-8.322226;-7.6690807;-7.6309495;-8.134027
ZINC000252505164;-7.975607;-7.3928413;-8.564447;-9.248619;-8.5714245
ZINC000023857998;-9.530571;-8.022365;-8.19405;-8.327704;-8.572405
ZINC000023858000;-9.444625;-7.9266634;-8.261709;-8.271399;-8.60692
ZINC000033423639;-8.259437;-8.411426;-7.64044;-8.121776;-7.939005
ZINC000008964146;-8.973911;-8.061906;-8.277899;-8.311721;-8.149679
ZINC000014983832;-8.2287855;-7.9415793;-8.288172;-7.660272;-8.093043
ZINC000002273132;-8.554152;-8.144181;-8.069619;-7.870888;-8.14461
ZINC000002273130;-8.630857;-8.358323;-7.930412;-7.707343;-8.164235
ZINC000009379763;-8.593753;-8.88994;-7.9253774;-7.9462194;-8.152486
ZINC000009380127;-8.324979;-8.350087;-7.8570275;-7.972407;-8.351374
ZINC000001800991;-7.945001;-8.328679;-7.6235065;-7.6586666;-7.9523096
ZINC000002327409;-8.489403;-8.295313;-7.7404256;-7.8043027;-8.29852
ZINC000002337611;-8.640496;-8.765139;-8.351713;-8.1239395;-8.5391655
ZINC000002347503;-7.919305;-8.300046;-7.724992;-7.7782364;-8.1157675
ZINC000002318151;-7.817881;-8.318634;-7.397761;-7.847551;-8.243136
ZINC000002359157;-8.639883;-8.31292;-8.021299;-7.8022475;-8.368634
ZINC000002359160;-8.546101;-8.089173;-8.199623;-7.9901004;-8.320087
ZINC000002378020;-8.689622;-7.970136;-8.13275;-8.122255;-8.410724
ZINC000299766594;-8.643561;-9.279488;-8.729685;-8.653518;-8.731186
ZINC000299766589;-8.2170725;-8.805433;-8.126296;-8.29588;-8.302869
ZINC000299770401;-8.264994;-7.3884764;-7.902607;-7.876955;-7.996588
ZINC000299770404;-8.238437;-7.910766;-7.926656;-8.300575;-8.327
ZINC000299772459;-8.127923;-7.3419995;-7.8604593;-7.6575146;-7.828561
ZINC000299772458;-7.982089;-7.6580606;-7.466085;-8.097305;-8.274803
ZINC000016914056;-10.002131;-9.198384;-8.979609;-9.545086;-9.05031
ZINC000020624045;-8.387468;-8.892857;-8.702469;-8.894922;-8.353209
ZINC000022734751;-8.231025;-8.831185;-8.363051;-8.5642605;-8.150459
ZINC000022734754;-8.4721155;-8.681608;-8.510645;-8.643591;-8.501806
ZINC000013007911;-8.914458;-8.433079;-8.344607;-8.519616;-8.670996
ZINC000013007908;-9.112633;-8.6551075;-8.238279;-8.620499;-8.634667
ZINC000013007923;-8.573528;-7.6912875;-8.033664;-7.872707;-8.38921
ZINC000013007922;-8.705481;-7.910758;-7.9476986;-7.9189143;-8.336443
ZINC000013008058;-9.370096;-8.229059;-8.658221;-8.552859;-8.663811
ZINC000013008057;-9.426342;-8.488047;-8.541218;-8.688059;-8.627321
ZINC000013008098;-9.419796;-8.099605;-8.263033;-8.270175;-8.55211
ZINC000013008106;-9.021126;-8.508724;-8.509976;-8.323049;-8.618538
ZINC000013008095;-9.598519;-8.236797;-8.196369;-8.35628;-8.551127
ZINC000013008108;-8.771495;-8.2135105;-8.491513;-8.230742;-8.613936
ZINC000013008657;-7.2402306;-7.8017006;-7.183784;-7.560658;-7.826165
ZINC000013008658;-7.281918;-7.914029;-6.9466987;-7.6394935;-7.7521696
ZINC000020726317;-8.332253;-9.16132;-8.893074;-8.925319;-8.712233
ZINC000019839760;-9.243483;-8.049535;-8.595155;-8.752273;-8.897931
ZINC000008964181;-8.633898;-8.19417;-7.9417505;-8.218697;-8.251745
ZINC000025580977;-7.926032;-8.771572;-7.8243318;-8.413034;-7.986526
ZINC000020785528;-8.756546;-8.84923;-8.455175;-8.536768;-8.027886
ZINC000016914060;-9.601014;-8.5605755;-8.550572;-9.391497;-8.869305
ZINC000020941163;-9.806459;-8.917737;-7.805627;-8.963003;-9.659875
ZINC000022735259;-9.164412;-9.209714;-8.448973;-8.981479;-8.347666
ZINC000022735262;-8.313221;-8.851475;-8.4934635;-9.051512;-8.54978
ZINC000014744565;-7.3619013;-7.8670864;-7.1235695;-7.924532;-7.8389583
ZINC000002712988;-9.063701;-8.686541;-8.361515;-8.205298;-8.301533
ZINC000009561234;-8.648873;-8.525815;-8.439253;-8.810985;-8.496624
ZINC000009561244;-8.4457655;-8.214756;-8.201299;-8.547767;-8.43131
ZINC000009561312;-8.492107;-8.332926;-8.113285;-8.49353;-8.18756
ZINC000019708538;-8.738366;-9.084356;-8.494009;-8.38855;-9.040152
ZINC000058164937;-8.831473;-9.384886;-9.069184;-8.211657;-8.782486
ZINC000013138041;-8.264937;-9.728127;-8.539636;-8.726568;-8.340354
ZINC000058164938;-8.973869;-9.462822;-8.990655;-8.809303;-8.671117
ZINC000058164940;-9.029247;-8.933712;-9.1294365;-8.889499;-8.732805
ZINC000058164939;-8.624403;-8.811063;-8.891285;-8.54092;-8.548069
ZINC000059591122;-8.924145;-8.522366;-8.608878;-9.03344;-8.6228485
ZINC000008594203;-8.662734;-8.420133;-8.266882;-8.506212;-8.336293
ZINC000033071808;-8.944078;-8.824342;-8.562748;-8.888595;-8.573646
ZINC000033060426;-9.011167;-9.482155;-9.0855875;-9.329386;-9.703264
ZINC000033045182;-8.646817;-8.830819;-8.247078;-8.603101;-8.373352
ZINC000065296312;-8.396509;-8.78413;-8.451403;-8.313538;-8.449356
ZINC000033071804;-9.258739;-8.732775;-8.604025;-9.434335;-8.524993
ZINC000033045184;-8.598265;-9.083152;-8.119936;-8.407615;-8.369119
ZINC000033314323;-8.642396;-9.243523;-8.734312;-8.825652;-9.011626
ZINC000033340285;-8.188667;-9.183621;-8.434556;-8.645046;-8.823194
ZINC000016382936;-6.291623;-7.129018;-6.917359;-6.80658;-7.1918745
ZINC000009828391;-8.484617;-8.419315;-8.027981;-8.455104;-8.212521
ZINC000009849638;-7.972598;-7.236951;-7.6397443;-7.8120623;-7.6887546
ZINC000033436696;-7.6930733;-8.486329;-7.4505606;-8.198688;-7.846348
ZINC000009135741;-8.365944;-8.264235;-8.451588;-8.131321;-8.153819
ZINC000009135739;-8.34355;-8.280691;-8.47138;-8.08357;-8.414711
ZINC000009138039;-9.0922575;-9.019079;-8.907721;-8.714307;-8.736069
ZINC000009138194;-9.1298485;-8.278775;-8.583451;-8.336261;-8.7272005
ZINC000009138366;-9.070281;-8.757824;-8.908707;-8.786702;-9.00029
ZINC000019949172;-8.198124;-8.462175;-8.98732;-8.118011;-8.206591
ZINC000019958653;-8.872373;-9.371773;-8.832013;-8.644097;-9.364517
ZINC000019994517;-8.693146;-9.48552;-9.000887;-8.557943;-9.398158
ZINC000055091007;-8.659862;-8.855528;-8.816936;-9.159282;-7.9898305
ZINC000010013159;-7.309442;-7.6250644;-6.720145;-7.1817904;-7.7329955
ZINC000033131134;-8.111607;-8.032568;-7.690389;-7.9373093;-8.80045
ZINC000020024500;-7.928152;-7.87299;-7.7684402;-6.8789134;-7.804067
ZINC000060021083;-8.764317;-8.835186;-8.6947565;-8.805464;-8.516425
ZINC000062588324;-9.241451;-9.014355;-9.193203;-8.440912;-8.85127
ZINC000033005679;-7.887881;-8.588042;-7.95281;-8.325935;-8.202084
ZINC000063490359;-9.573543;-9.531078;-9.297908;-9.642107;-9.493913
ZINC000033011049;-9.033878;-9.38727;-8.333389;-8.922495;-8.671736
ZINC000064459876;-9.452412;-9.153759;-8.008487;-8.942316;-9.312926
ZINC000033330178;-8.434115;-9.431516;-8.720545;-8.821938;-9.101913
ZINC000064835985;-9.047212;-9.294087;-8.950193;-8.817854;-8.507563
ZINC000033879227;-8.019048;-8.289122;-7.71553;-7.889944;-7.7051077
ZINC000033879228;-8.090693;-8.573573;-7.710962;-7.903692;-7.6560917
ZINC000064847048;-8.895335;-9.402795;-9.458738;-9.425479;-9.443195
ZINC000034259506;-7.644682;-8.307485;-7.4642553;-8.085858;-7.650629
ZINC000064925631;-9.216851;-9.296024;-8.88687;-9.138656;-9.386479
ZINC000064925780;-9.241579;-9.632553;-9.300606;-9.2296505;-9.378109
ZINC000034730164;-7.904916;-7.946091;-7.3469872;-7.5432754;-7.979455
ZINC000034740537;-7.645055;-7.2520986;-8.013714;-7.38743;-7.7440424
ZINC000034740536;-6.686619;-6.802663;-7.340019;-6.8574443;-7.4374723
ZINC000034740626;-6.677908;-6.854705;-7.2129087;-6.826337;-7.4526153
ZINC000034740627;-7.310407;-6.955617;-8.124989;-7.365737;-7.607141
ZINC000034782843;-8.27105;-9.01773;-8.233603;-8.749115;-8.444317
ZINC000034838513;-8.758251;-9.628936;-9.201845;-9.560156;-9.341195
ZINC000034921502;-7.8067503;-6.643862;-6.970176;-7.508348;-7.0155063
ZINC000034921836;-8.042875;-7.7858353;-7.2998157;-7.6172485;-6.9417877
ZINC000034921763;-7.771164;-7.6641507;-7.455963;-7.161842;-7.1909337
ZINC000033173194;-7.9702206;-8.832418;-8.183622;-7.783642;-8.050113
ZINC000008799009;-8.900767;-7.633471;-8.357209;-8.01339;-8.177071
ZINC000008799132;-8.204393;-7.4431996;-7.872935;-7.6825075;-8.099567
ZINC000008799008;-8.126039;-8.422123;-8.565592;-8.61314;-8.226777
