name;01;02;03;04;05
ZINC000009933885;-8.398086;-8.850563;-8.55316;-8.850915;-9.057323
ZINC000014754617;-10.666393;-10.098642;-10.055959;-10.825623;-10.310737
ZINC000014754616;-11.131069;-10.505159;-10.153108;-10.609707;-9.812993
ZINC000012556310;-8.36227;-7.9111514;-8.25846;-8.340811;-7.318947
ZINC000012556309;-8.24677;-7.9059944;-8.197958;-8.363445;-7.3200727
ZINC000023354776;-9.254838;-9.212443;-9.280841;-9.893992;-8.681466
ZINC000023367182;-9.019191;-8.605725;-8.633753;-9.142073;-8.588251
ZINC000023367182;-9.693881;-8.836652;-9.025875;-8.8572;-8.826951
ZINC000023373887;-9.817321;-9.211675;-8.789605;-9.557749;-8.985587
ZINC000245225574;-10.209872;-11.027712;-10.602509;-10.405292;-9.846266
ZINC000245225574;-10.049891;-10.811399;-10.534175;-11.095281;-10.260011
ZINC000245225574;-9.383351;-8.255345;-9.769222;-8.789329;-9.264024
ZINC000245225574;-8.907796;-9.093996;-8.839501;-9.1614;-8.9183655
ZINC000014732966;-9.020593;-9.200065;-9.270048;-8.756136;-8.738228
ZINC000245327009;-9.213432;-10.768496;-9.305745;-9.650431;-9.733744
ZINC000247822045;-9.139275;-10.100845;-9.291859;-9.692355;-9.89904
ZINC000247822045;-9.436116;-10.35808;-9.13686;-9.86321;-10.803743
ZINC000248213623;-9.144337;-8.574722;-8.922652;-8.779993;-8.86456
ZINC000248216774;-8.93869;-8.600576;-9.121749;-9.138231;-8.778264
ZINC000248216773;-8.7584095;-8.685505;-8.865528;-9.122807;-8.656681
ZINC000015961476;-9.370277;-9.429511;-9.11033;-8.554595;-9.279904
ZINC000012707293;-8.911259;-9.148749;-8.668144;-9.034265;-8.640958
ZINC000012707293;-9.132138;-9.317118;-8.731691;-8.685696;-8.62338
ZINC000014968848;-8.101153;-8.36219;-8.922537;-9.0548725;-8.508378
ZINC000014968848;-8.436235;-8.361902;-9.170661;-8.843795;-8.81007
ZINC000014968848;-8.532325;-8.345823;-9.145446;-8.71504;-8.997476
ZINC000014968848;-8.272014;-8.318152;-8.790157;-8.442829;-8.696616
ZINC000009361387;-9.472823;-9.0391655;-9.227458;-9.407967;-8.882304
ZINC000009361387;-8.724085;-8.980446;-8.837977;-8.783028;-8.198114
ZINC000009361386;-8.835984;-9.013199;-8.83104;-8.85283;-8.595463
ZINC000009361386;-9.478691;-9.051879;-8.9010105;-9.399939;-8.811621
ZINC000014883696;-9.4942665;-10.093672;-10.125574;-9.504671;-9.4419
ZINC000017318148;-9.230435;-8.6325865;-9.734227;-8.926863;-9.513312
ZINC000017318256;-10.221258;-9.764539;-10.387139;-10.12085;-10.033041
ZINC000020999696;-9.8575735;-8.673152;-9.1022005;-9.282729;-8.887398
ZINC000020999865;-9.903908;-8.935435;-8.573288;-9.252209;-8.685655
ZINC000012203629;-8.990317;-9.363548;-9.077297;-8.726205;-9.323463
ZINC000012203629;-9.118319;-9.6087885;-8.988591;-8.787985;-9.444943
ZINC000012203629;-9.316232;-9.501496;-9.235718;-9.000257;-9.601017
ZINC000012203623;-9.162513;-9.573363;-9.093334;-8.763926;-9.593673
ZINC000012203623;-9.664907;-9.83746;-8.954779;-9.122508;-9.565595
ZINC000012203623;-9.431017;-9.73205;-9.264014;-9.039569;-9.872492
ZINC000014982187;-9.490726;-9.012592;-9.480869;-8.740143;-9.514378
ZINC000014982183;-9.427994;-8.647371;-9.437011;-8.472591;-9.09189
ZINC000014883694;-9.564491;-9.821197;-10.260714;-9.343011;-9.455265
ZINC000021944982;-9.505178;-9.791268;-9.910729;-10.155934;-9.970835
ZINC000058027758;-10.080358;-10.280753;-9.974465;-11.019506;-10.092264
ZINC000058027758;-10.024366;-11.398317;-10.410753;-10.509591;-9.526813
ZINC000058027758;-9.760397;-10.724369;-9.984655;-9.829964;-9.760543
ZINC000058027758;-9.930703;-11.039039;-10.068601;-10.483577;-9.719485
ZINC000058027769;-9.944093;-10.154201;-10.037647;-10.271104;-10.416076
ZINC000058027769;-9.716801;-11.037422;-10.502668;-10.313934;-10.026174
ZINC000058027769;-9.807744;-10.318612;-10.538526;-10.260311;-9.59066
ZINC000058027769;-9.736364;-10.335631;-10.007788;-9.576837;-9.589907
ZINC000012245409;-8.464892;-8.5871725;-8.484601;-7.698717;-8.137971
ZINC000012245408;-8.269053;-8.559705;-8.355916;-8.490101;-8.230519
ZINC000014744999;-8.871353;-9.698921;-9.918557;-9.226952;-9.047408
ZINC000032809705;-8.815083;-10.043773;-9.248125;-9.567369;-10.054544
ZINC000032809705;-9.126822;-10.558229;-8.970778;-9.937481;-10.55983
ZINC000014956345;-9.638963;-9.304952;-8.838459;-8.613378;-9.296786
ZINC000019890158;-8.767896;-9.267907;-8.577588;-8.9693575;-9.185154
ZINC000006512284;-9.755725;-8.956269;-8.817408;-8.062374;-8.429225
ZINC000006512280;-9.2055235;-8.780708;-8.5114765;-7.375977;-8.216114
ZINC000006512280;-9.636958;-8.993373;-9.115561;-8.082268;-8.533459
ZINC000006512280;-8.857402;-8.9334345;-8.814653;-7.6217093;-8.580757
ZINC000014881942;-9.005849;-9.824556;-8.471035;-8.37283;-9.329096
ZINC000055243497;-9.319995;-9.612622;-8.82883;-9.727831;-9.692679
ZINC000055243497;-9.332487;-9.436792;-8.61025;-9.510439;-9.567932
ZINC000055243494;-9.557783;-9.641929;-8.81213;-9.389923;-9.671961
ZINC000055243494;-9.30821;-9.607388;-8.809461;-9.713249;-9.682862
ZINC000057270640;-8.629259;-8.284188;-8.335967;-8.198772;-8.297937
ZINC000057270640;-8.650032;-8.103001;-8.108463;-7.9865623;-8.205385
ZINC000057270640;-8.628183;-8.284853;-8.333856;-8.199022;-8.293875
ZINC000057270640;-8.650032;-8.103001;-8.108463;-7.9865623;-8.205385
ZINC000014881943;-8.216738;-9.54042;-8.861348;-8.1883545;-9.119503
ZINC000057335935;-9.296165;-8.6437435;-8.329884;-8.400107;-7.7498617
ZINC000057335935;-9.141708;-8.907561;-8.384731;-8.241284;-8.139771
ZINC000057335938;-9.254634;-8.89978;-8.602074;-8.940375;-8.249044
ZINC000057335938;-8.993929;-8.721531;-8.688873;-8.80541;-7.7586536
ZINC000008723624;-9.172318;-9.347571;-9.166552;-9.315719;-9.149252
ZINC000008723624;-8.349916;-8.989493;-8.831899;-9.147348;-8.691196
ZINC000008723625;-8.375468;-9.038208;-8.888976;-9.136943;-8.721616
ZINC000008723625;-9.136471;-9.309994;-9.102025;-9.237377;-9.059674
ZINC000063584641;-9.67527;-8.862497;-9.002008;-9.692253;-9.625177
ZINC000063584641;-9.619245;-8.833062;-9.041603;-9.585989;-9.503195
ZINC000064669784;-9.22468;-9.352498;-8.7605915;-9.264445;-9.086889
ZINC000034760476;-8.449526;-9.023566;-8.759243;-8.125108;-9.212772
ZINC000034760470;-8.814135;-9.241901;-7.450401;-8.0338;-8.763616
ZINC000013956831;-8.421276;-8.214235;-8.019575;-8.057805;-8.183702
ZINC000013956831;-8.474281;-8.05146;-7.76069;-7.8509912;-8.080766
ZINC000013956831;-8.419925;-8.215334;-8.018026;-8.057877;-8.179143
ZINC000013956831;-8.474281;-8.05146;-7.76069;-7.8509912;-8.080766
ZINC000012452841;-8.757725;-8.711687;-8.624547;-8.735282;-8.9132595
ZINC000012213855;-9.658125;-8.982379;-9.046774;-9.068184;-9.46172
ZINC000012213855;-9.091582;-8.92484;-9.322727;-8.716524;-9.209729
ZINC000012213853;-9.057395;-9.020636;-9.270169;-8.697701;-9.28755
ZINC000012213853;-9.558849;-8.909115;-9.181189;-9.027264;-9.414862
ZINC000014884069;-9.311203;-8.665211;-8.602707;-8.614969;-8.703145
ZINC000014884067;-9.452516;-8.812301;-9.2721;-9.010674;-8.956851
ZINC000014998051;-8.463355;-8.578897;-8.189982;-8.888474;-8.998559
ZINC000014970796;-8.427936;-7.9719524;-8.071118;-8.205658;-8.507993
ZINC000065314989;-9.691729;-10.120534;-9.173746;-9.544511;-9.274971
ZINC000065314984;-9.221306;-10.067844;-8.844175;-9.596201;-8.3846035
ZINC000020153673;-8.82994;-9.255537;-8.693139;-8.371111;-9.0222645
ZINC000020153595;-9.030914;-8.904986;-9.033242;-8.323567;-9.128027
ZINC000020153658;-9.364608;-9.21426;-8.644541;-8.402493;-9.184912
ZINC000020153783;-8.966507;-8.863078;-8.681934;-8.230027;-9.040281
ZINC000020153786;-8.83486;-9.076281;-8.706997;-8.624412;-8.80353
ZINC000035403617;-10.120032;-9.966693;-9.255001;-9.237109;-9.430547
ZINC000035403617;-9.938228;-9.599904;-9.227032;-9.044089;-8.978896
ZINC000014953850;-8.952577;-7.9092484;-8.30973;-8.078941;-8.258718
ZINC000014953846;-7.886178;-7.9055595;-8.541346;-7.917209;-8.0819435
ZINC000012411635;-8.467991;-7.731798;-7.5619087;-8.164397;-7.1194887
ZINC000070021929;-9.681548;-9.940865;-9.523031;-9.456552;-9.817207
ZINC000070021926;-9.428858;-10.039333;-9.197797;-9.595178;-9.662588
ZINC000035561577;-8.517931;-9.123617;-9.013782;-9.855068;-9.863124
ZINC000035561570;-9.510224;-9.951067;-9.1424675;-10.526387;-10.478436
ZINC000009731744;-8.949074;-9.681176;-9.2113285;-8.87237;-9.088982
ZINC000009731741;-8.991276;-9.6483;-9.3376255;-8.785097;-9.2417755
ZINC000020271787;-9.028572;-8.465978;-8.708133;-8.194352;-8.793734
ZINC000020271789;-8.820472;-8.428918;-8.888228;-8.362036;-8.82197
ZINC000014888434;-8.546;-8.649101;-9.379262;-8.698051;-8.625435
ZINC000014888432;-8.640688;-8.068143;-8.745446;-8.596882;-8.362688
ZINC000011565517;-9.145138;-8.874693;-8.833644;-7.460984;-8.37263
ZINC000011784805;-8.574515;-8.40104;-8.998893;-8.10552;-8.4941635
ZINC000011784805;-8.728821;-8.596964;-9.11139;-8.4363165;-8.757443
ZINC000014531461;-10.499826;-10.159739;-9.63773;-8.786098;-9.144962
ZINC000014531461;-10.938498;-10.16944;-10.115711;-9.199949;-9.4017105
ZINC000014531461;-10.548006;-10.088736;-9.979237;-9.728188;-9.754759
ZINC000014531462;-10.958488;-10.202815;-10.065969;-9.21902;-9.382387
ZINC000014531462;-10.512309;-10.049693;-10.066455;-9.147652;-9.343284
ZINC000014531462;-10.132449;-9.784749;-9.956825;-9.542587;-9.620826
ZINC000014533586;-8.998373;-8.893227;-9.390609;-8.828238;-8.750602
ZINC000014740661;-10.891674;-9.887638;-9.455451;-8.862153;-9.00711
ZINC000014740661;-10.910976;-9.777547;-9.899489;-9.317642;-9.15571
ZINC000014740661;-10.443906;-10.067838;-9.789017;-9.734144;-9.695585
ZINC000014536096;-10.035271;-9.277014;-9.678017;-9.317027;-10.171199
ZINC000014536097;-9.896824;-9.229503;-9.636793;-8.964625;-9.6160345
ZINC000014539031;-10.094643;-9.9047985;-9.9279995;-9.298231;-9.368692
ZINC000020576352;-8.429743;-8.957765;-8.634317;-9.418026;-9.422074
ZINC000020576303;-8.432035;-9.35719;-9.115536;-9.2410755;-9.68434
ZINC000020576825;-9.61548;-9.956703;-9.556555;-9.612641;-9.694249
ZINC000104419600;-9.965673;-9.420954;-8.982194;-9.781862;-9.287212
ZINC000104419600;-10.403478;-9.678299;-9.119255;-9.475002;-9.458493
ZINC000104421162;-9.495442;-9.305356;-8.627808;-9.74997;-8.861282
ZINC000104421162;-9.846748;-9.370943;-9.098864;-9.5709305;-9.060898
ZINC000014740662;-11.084949;-9.811903;-9.887386;-9.266855;-9.252238
ZINC000014740662;-10.800441;-9.711719;-9.7562065;-9.18507;-9.085015
ZINC000014740662;-10.177819;-9.895298;-9.887569;-9.707691;-9.685833
ZINC000015002729;-9.32955;-9.081312;-9.094501;-8.690967;-9.286674
ZINC000015002732;-8.9950285;-8.5763;-8.948214;-8.96101;-9.412845
ZINC000011881883;-8.120135;-8.451973;-8.089175;-8.6461525;-8.41812
ZINC000105052489;-9.008727;-8.832656;-8.134137;-7.995879;-9.149303
ZINC000109050693;-9.281339;-10.948752;-9.997075;-9.476989;-9.545656
ZINC000109050693;-9.814293;-10.421694;-10.39087;-9.951362;-9.989851
ZINC000109050693;-10.242665;-10.848083;-10.510118;-10.623247;-10.647718
ZINC000109050693;-9.811462;-11.268752;-10.304242;-10.240457;-9.47472
ZINC000109050693;-9.281339;-10.948752;-9.997075;-9.476989;-9.545656
ZINC000015105813;-8.649124;-8.443174;-8.686248;-8.637378;-8.263592
ZINC000015105814;-8.133234;-7.933951;-8.698743;-8.376264;-7.864429
ZINC000215898755;-9.642111;-9.780709;-9.549652;-9.652692;-9.56353
