name;01;02;03;04;05
ZINC000012537369;-9.028846;-9.260104;-9.325024;-9.4005;-9.563023
ZINC000002054255;-9.750627;-10.595727;-8.650437;-9.071792;-10.088842
ZINC000009891971;-9.160724;-9.06171;-8.766289;-9.397766;-9.463803
ZINC000009891919;-9.091882;-8.888548;-8.733664;-9.169031;-9.366009
ZINC000009907989;-8.502838;-8.74728;-8.910691;-8.550361;-9.495562
ZINC000009908023;-9.161235;-8.780427;-8.852531;-8.312108;-9.2405205
ZINC000009908017;-8.140493;-8.711877;-8.828627;-8.252074;-9.60989
ZINC000009942151;-8.271227;-9.386719;-9.029188;-8.683308;-9.351295
ZINC000009959392;-10.004212;-10.516217;-9.967844;-10.608053;-10.481738
ZINC000009959388;-8.800514;-9.335094;-8.826323;-9.853873;-9.31682
ZINC000009959396;-8.757123;-9.519376;-8.946028;-9.993578;-9.391744
ZINC000245224961;-8.075292;-8.726227;-8.961852;-9.213364;-8.890481
ZINC000245224960;-8.914356;-9.043078;-9.035532;-9.08509;-8.697424
ZINC000002129600;-9.041506;-8.803663;-9.073029;-8.740274;-8.987996
ZINC000002137260;-9.313657;-8.727806;-9.111857;-8.318689;-8.963312
ZINC000002137262;-9.322237;-8.5318165;-9.0543;-8.440851;-8.7675705
ZINC000002140431;-9.642015;-9.704199;-9.986739;-9.543221;-9.835231
ZINC000002140430;-9.718169;-9.657259;-9.888562;-9.228316;-9.804922
ZINC000012566378;-9.138085;-9.565733;-9.192889;-9.189685;-9.106783
ZINC000012566379;-8.861917;-9.445162;-8.76805;-9.236188;-8.987382
ZINC000245329604;-7.594268;-8.080764;-8.474228;-7.02842;-7.982047
ZINC000245329605;-7.912413;-8.007686;-8.922241;-8.190732;-8.417426
ZINC000012641763;-8.561735;-9.472536;-7.540106;-8.459751;-8.273325
ZINC000012641757;-8.701709;-9.492828;-7.5288053;-8.797364;-8.262444
ZINC000250839296;-8.903052;-8.698152;-9.118085;-8.24765;-9.07861
ZINC000250839290;-9.199592;-8.902205;-8.501062;-8.154678;-9.155997
ZINC000250839301;-9.102578;-8.759827;-8.487616;-8.501443;-8.982727
ZINC000250839284;-9.561737;-8.431511;-8.603943;-8.320853;-9.139465
ZINC000252346762;-9.671551;-8.9717;-9.331591;-8.984474;-9.422561
ZINC000252346761;-9.737239;-9.3757305;-9.520204;-9.068362;-10.114
ZINC000252346760;-9.636603;-8.536493;-9.664403;-8.820555;-9.790121
ZINC000252346763;-9.754391;-9.124839;-9.157454;-9.007957;-9.911843
ZINC000012732673;-9.448826;-9.130438;-9.203251;-8.8047495;-9.360721
ZINC000012732678;-10.03256;-10.126936;-9.7492285;-9.494278;-10.126587
ZINC000096497209;-10.039751;-10.347763;-9.567669;-9.645822;-10.202339
ZINC000012843648;-9.335725;-9.611919;-9.198018;-9.4592495;-9.166453
ZINC000016041246;-9.201207;-8.898998;-8.897212;-9.159791;-9.039015
ZINC000016041355;-9.585633;-8.886985;-9.052199;-8.853004;-9.047255
ZINC000016041248;-8.7733965;-9.20795;-8.772828;-9.315945;-8.574903
ZINC000016041357;-9.390232;-8.974794;-9.136885;-9.201273;-8.701537
ZINC000040121400;-8.300057;-8.53914;-8.318138;-7.950593;-7.8952384
ZINC000040121398;-8.508649;-8.57207;-8.007639;-8.053224;-7.8760314
ZINC000012791591;-8.139984;-8.668848;-8.341389;-8.310308;-8.733753
ZINC000009378607;-9.120077;-8.673004;-9.101167;-9.111119;-9.524636
ZINC000001825468;-8.424663;-8.436133;-7.7903366;-8.2817135;-9.25344
ZINC000001825469;-8.274407;-8.413373;-8.535258;-9.082466;-9.171676
ZINC000008606716;-8.624539;-9.264219;-9.173811;-9.0728445;-9.787986
ZINC000824528241;-6.4782834;-7.2570734;-7.3344765;-6.9918547;-7.318401
ZINC000824528231;-6.539338;-7.194825;-7.218512;-6.9578304;-7.097089
ZINC000009428111;-8.8050785;-8.886318;-8.240975;-8.048578;-8.782234
ZINC000009428109;-8.690526;-9.060282;-8.6681;-8.312344;-9.107887
ZINC000020646299;-8.423723;-8.777191;-8.650887;-8.918478;-8.906766
ZINC000027460221;-9.317598;-8.881026;-9.3291;-9.224608;-9.849456
ZINC000027460238;-9.627611;-9.10643;-9.226203;-9.408211;-9.87438
