name;01;02;03;04;05
ZINC000001033159;-7.6524105;-8.303259;-7.9214168;-8.219155;-8.405596
ZINC000001033160;-7.6594152;-8.280649;-7.879301;-8.229343;-8.428488
ZINC000009233867;-8.997656;-8.788622;-8.19551;-8.591681;-8.450932
ZINC000009233978;-9.262957;-8.967901;-9.077816;-9.170006;-9.131391
ZINC000015822188;-8.160347;-8.511002;-7.8810678;-9.170767;-8.17849
ZINC000002053837;-7.6672583;-8.368671;-8.131648;-8.692702;-7.921766
ZINC000009884807;-7.3662;-7.6227746;-7.0705085;-7.7599154;-7.7593927
ZINC000009884827;-7.7893286;-7.8558393;-7.768567;-8.157113;-8.068825
ZINC000009884825;-7.621254;-7.9071302;-7.603055;-8.250575;-8.107547
ZINC000009884837;-6.8592625;-7.016446;-6.5834103;-6.8885083;-7.0603366
ZINC000009884810;-7.6633554;-7.826215;-7.3578773;-8.03357;-7.885417
ZINC000009884796;-7.4958963;-8.062306;-7.800084;-7.936567;-7.5628805
ZINC000009884839;-6.9441385;-6.961914;-6.6018634;-7.0820956;-7.1816077
ZINC000009884811;-7.9454746;-7.583969;-7.534539;-8.213792;-7.9490767
ZINC000009884794;-7.98524;-7.893642;-7.8869343;-7.836756;-7.727145
ZINC000009884808;-7.824867;-7.37613;-7.152397;-7.873088;-7.7699347
ZINC000009891801;-9.575029;-9.825386;-9.513521;-9.848228;-9.513518
ZINC000009891803;-7.314461;-7.8293147;-7.7789407;-7.750041;-7.90501
ZINC000009892563;-7.5468645;-8.380994;-8.352845;-8.168545;-8.084193
ZINC000009892562;-7.98048;-8.55889;-8.747978;-8.518348;-8.689506
ZINC000009907495;-8.343248;-8.441311;-8.319103;-8.816355;-8.291977
ZINC000009933364;-6.8273277;-7.4982996;-7.7133512;-7.1559134;-7.44958
ZINC000009933361;-7.6705904;-7.884499;-8.10428;-7.8224635;-7.574458
ZINC000009934788;-7.6708136;-7.5695844;-7.546854;-8.054757;-7.75347
ZINC000016691682;-7.66218;-8.515223;-8.661285;-8.464246;-8.227965
ZINC000009258959;-6.992492;-7.584517;-7.4107647;-7.847559;-7.597876
ZINC000009264602;-7.8815255;-8.613783;-7.95104;-7.857667;-8.113491
ZINC000009264605;-8.318475;-8.335291;-7.68958;-7.952506;-8.1042
ZINC000009264726;-8.003017;-8.341143;-8.374339;-8.5298195;-9.009004
ZINC000001132567;-8.638086;-8.517462;-8.220029;-8.340569;-8.429644
ZINC000009265356;-7.195386;-8.341985;-7.955671;-8.661839;-8.066681
ZINC000009265366;-7.8334413;-8.208306;-7.864096;-8.342131;-7.8776555
ZINC000016156449;-7.8696523;-8.010698;-7.597776;-7.823191;-8.196284
ZINC000002119466;-8.376989;-8.550246;-8.269636;-8.454165;-8.886782
