name;01;02;03;04;05
ZINC000014980181;-9.433511;-8.963535;-8.543762;-8.649637;-8.935029
ZINC000009919405;-8.096793;-8.198415;-7.9593086;-7.8664165;-8.260265
ZINC000009919805;-9.113093;-9.183945;-8.797617;-8.514258;-9.317557
ZINC000009919426;-8.852836;-9.181244;-8.752971;-8.434161;-9.237305
ZINC000033129400;-10.129552;-10.000772;-10.355081;-9.608002;-10.126457
ZINC000023426302;-8.343871;-8.4020605;-7.9375057;-7.560337;-8.657571
ZINC000245325276;-7.989027;-7.1557474;-7.314977;-7.5244346;-7.0805383
ZINC000245325275;-7.5378704;-7.6146216;-7.9995413;-7.309768;-7.0556917
ZINC000014987181;-8.955258;-9.0876875;-8.5408945;-8.561434;-9.331795
ZINC000012571909;-8.615429;-8.191561;-8.783915;-8.746129;-8.77486
ZINC000012571915;-9.0003195;-8.453969;-8.32718;-8.7724085;-8.546532
ZINC000012574613;-6.525879;-6.886857;-6.842171;-6.670703;-6.95872
ZINC000012574606;-6.4597797;-7.0086966;-6.9068203;-6.686554;-7.004158
ZINC000248153967;-8.466133;-8.455506;-7.9559283;-8.722452;-7.9195566
ZINC000248153964;-8.330043;-8.530092;-7.3117824;-8.181173;-7.972538
ZINC000014987183;-9.535968;-9.433655;-8.738626;-8.809505;-9.45153
ZINC000015947299;-7.7401066;-7.8026323;-7.190381;-7.277709;-7.7355413
ZINC000015947396;-7.4173703;-7.4880037;-7.0409045;-7.301376;-7.7626386
ZINC000015947394;-7.342172;-7.612373;-7.168068;-7.3191004;-7.6419697
ZINC000015947297;-7.766694;-7.4888015;-7.0642266;-7.0774264;-7.805342
ZINC000024757448;-8.509615;-8.917347;-8.362834;-8.510699;-9.112371
ZINC000034921506;-8.334552;-8.339928;-7.842614;-7.506398;-7.699726
ZINC000009405098;-8.159069;-8.304594;-8.213151;-7.933296;-8.112414
ZINC000299766398;-8.1500435;-8.324512;-7.8825717;-7.9151864;-8.31182
ZINC000016914292;-9.278639;-7.6783457;-7.915345;-8.910687;-8.209305
ZINC000016914226;-9.11527;-7.736449;-7.5866423;-8.431893;-7.8298206
ZINC000016914297;-8.980318;-7.5083113;-7.8199954;-8.608651;-8.249946
ZINC000016914244;-9.3585415;-8.715139;-8.2148285;-9.02688;-8.948843
ZINC000016914231;-8.64749;-7.4029636;-7.554614;-8.190272;-7.786717
ZINC000016914250;-9.057638;-8.266563;-7.8775263;-8.834957;-8.869986
ZINC000016914564;-9.109909;-7.4008985;-7.9835606;-8.627069;-8.243568
ZINC000016914568;-8.665137;-7.092337;-7.8261538;-8.397039;-8.27159
ZINC000016914419;-8.678267;-7.139099;-7.747349;-8.480912;-8.138647
ZINC000016914415;-9.2746105;-7.4515986;-7.952457;-8.657627;-8.207979
ZINC000016957019;-7.615523;-7.9082155;-7.52208;-8.472135;-8.063531
ZINC000013000111;-7.6156874;-7.919925;-8.445465;-8.0701475;-7.9631243
ZINC000025336437;-7.211247;-7.5315037;-7.0951986;-7.7835155;-7.881543
ZINC000025336441;-7.3326693;-7.73917;-7.0870314;-7.667849;-7.954756
ZINC000003182523;-8.013785;-7.961061;-7.969197;-8.187249;-8.19647
ZINC000020902543;-8.858285;-8.838355;-8.894653;-8.826436;-9.138343
ZINC000022419182;-9.083084;-8.822403;-7.857725;-8.622583;-8.552512
ZINC000022419185;-8.56243;-8.247665;-7.814377;-8.34799;-8.260847
ZINC000002672077;-9.667765;-9.347295;-9.502228;-8.760858;-8.973508
ZINC000012242671;-9.627363;-9.401534;-9.015573;-9.4517145;-9.504915
ZINC000027380412;-7.7762823;-8.173428;-7.7005587;-7.5336866;-7.6833987
ZINC000027380408;-7.459629;-8.186416;-7.6540213;-7.279236;-7.328496
ZINC000009505220;-8.298465;-9.350818;-8.302327;-8.762371;-9.067905
ZINC000014975123;-8.951274;-8.741591;-7.8432503;-8.738359;-8.061765
ZINC000013146009;-7.298463;-7.871119;-7.2570868;-7.347113;-7.377407
ZINC000013146008;-7.369973;-7.657441;-7.45195;-7.282917;-7.480158
ZINC000009641556;-9.966576;-9.361073;-9.206451;-9.482072;-9.514959
ZINC000012242654;-10.382105;-9.454279;-9.047583;-9.515353;-9.340387
ZINC000004016732;-7.433232;-7.159552;-7.4860654;-7.544039;-7.6990404
ZINC000004016734;-7.481723;-7.224152;-7.091737;-7.2170973;-7.381488
ZINC000058166058;-8.036673;-7.969493;-8.401729;-7.764478;-8.070581
ZINC000058166059;-8.203438;-7.8945303;-8.661716;-7.3956275;-7.9318466
ZINC000058166060;-8.217792;-7.912952;-8.709877;-7.479345;-7.959053
ZINC000019794026;-8.369177;-8.10165;-8.3346615;-7.937656;-7.6483817
ZINC000019818248;-8.179611;-7.7622876;-7.5931144;-7.8476863;-7.643361
ZINC000012413720;-8.081852;-7.6519027;-7.3841352;-7.8963513;-7.1572566
ZINC000008610767;-8.317549;-8.788606;-8.12112;-8.81995;-8.718712
ZINC000008610251;-8.981247;-9.140072;-8.934439;-8.803236;-8.876948
ZINC000008611531;-9.177413;-9.570244;-8.803693;-9.0975;-9.040091
ZINC000065002095;-8.584581;-9.147054;-9.089659;-8.986335;-8.739314
ZINC000065002092;-9.005755;-9.363916;-8.6886015;-9.021291;-8.566639
ZINC000065002087;-8.737257;-9.087684;-8.7858715;-9.235018;-8.925652
ZINC000032586985;-8.882706;-7.624209;-8.656753;-8.186127;-8.943032
ZINC000032770231;-8.065101;-8.966274;-8.2265005;-7.979797;-8.376615
ZINC000009805948;-8.4128275;-7.73534;-8.066439;-8.2086525;-8.2440195
ZINC000014733365;-7.154651;-7.54272;-7.4500804;-7.97287;-7.4710846
ZINC000014740578;-7.296107;-8.208156;-7.8239512;-8.543516;-7.798304
ZINC000009113635;-8.169436;-8.987953;-8.837057;-8.623714;-9.112932
ZINC000006511889;-7.9232583;-7.5111575;-7.6857233;-7.8328767;-7.202723
ZINC000009849761;-7.2110763;-7.2265224;-7.6955504;-7.953994;-7.5997944
ZINC000009165179;-8.941562;-8.831306;-8.64879;-8.852661;-8.911849
ZINC000008430167;-7.193139;-7.5600433;-7.4876347;-7.403129;-7.90259
ZINC000020024590;-9.413561;-8.587232;-9.344916;-9.616326;-9.49603
ZINC000009227482;-9.768299;-8.607304;-8.616601;-8.934117;-9.439004
ZINC000034681595;-8.174729;-7.5765257;-7.559071;-7.375248;-7.183626
ZINC000034681715;-8.12433;-8.20161;-7.559934;-7.709461;-7.7448235
ZINC000034681790;-8.03051;-7.9416394;-7.907769;-7.5512934;-7.6045
ZINC000034682037;-7.4032044;-7.3853683;-7.840108;-7.5303774;-7.4945974
ZINC000020108659;-8.082443;-8.119325;-8.438112;-7.8442936;-7.945442
ZINC000034683980;-8.972523;-8.804338;-8.321195;-8.844893;-8.579991
ZINC000034683992;-9.046452;-9.325369;-8.659523;-9.014896;-8.631406
ZINC000034683941;-8.502566;-9.24005;-8.500297;-8.867396;-8.422407
ZINC000034683985;-8.788355;-8.6357975;-8.210407;-8.583357;-8.41933
ZINC000022791574;-8.481424;-7.84863;-8.175762;-7.923599;-8.082071
ZINC000014746282;-8.368459;-7.8906455;-8.6602335;-8.68602;-8.380518
ZINC000065298214;-8.316208;-7.8910494;-7.9506693;-7.644355;-7.7476926
ZINC000034828949;-7.024502;-7.284914;-7.1980767;-6.7056646;-7.5586267
ZINC000034828948;-7.220358;-7.3095837;-7.6124506;-6.755826;-7.169274
ZINC000034836451;-7.8385754;-7.494771;-7.892317;-7.746611;-7.948084
ZINC000065298145;-8.44712;-8.279311;-7.852749;-8.032225;-7.745259
ZINC000065298238;-8.068373;-7.6590266;-7.7113075;-7.860503;-7.8645754
ZINC000065298235;-8.127792;-7.558689;-7.4079185;-7.752819;-7.640689
ZINC000065298367;-7.9216104;-7.8813066;-7.640263;-7.3997245;-7.783004
