name;01;02;03;04;05
ZINC000001021424;-10.04452;-9.86132;-9.925;-9.617775;-9.575038
ZINC000009232725;-8.514069;-8.190198;-7.5256767;-7.9764824;-8.317553
ZINC000015796362;-9.493139;-9.136531;-9.310841;-9.5960865;-9.279812
ZINC000001050206;-9.191972;-7.852767;-8.5469055;-8.600018;-9.235432
ZINC000001066373;-9.67644;-9.693507;-9.959073;-9.880106;-9.501027
ZINC000009891920;-8.705136;-8.137038;-8.523977;-8.856106;-8.851057
ZINC000009896616;-9.579416;-9.067047;-9.99828;-9.336737;-9.252469
ZINC000009896617;-9.582614;-9.191155;-9.471368;-9.451139;-9.259184
ZINC000009245524;-8.296289;-8.623563;-7.7873473;-8.649222;-8.296537
ZINC000015840235;-8.975291;-9.049457;-9.103661;-9.089057;-9.029023
ZINC000009942510;-9.082943;-9.159425;-8.840067;-8.554577;-9.38795
ZINC000009942815;-8.735427;-9.371916;-9.032073;-9.061328;-9.176028
ZINC000009949354;-9.640947;-9.508331;-8.834484;-9.487393;-9.0598955
ZINC000023230371;-8.80963;-8.425861;-7.7022414;-8.500952;-8.800146
ZINC000227025653;-8.939475;-9.210961;-9.226736;-9.518363;-9.264368
ZINC000229655051;-8.068447;-6.7913685;-6.9427795;-7.958351;-7.4992666
ZINC000229997850;-9.157988;-9.98877;-9.2635975;-9.183539;-9.660487
ZINC000229997850;-9.06715;-9.945979;-9.258347;-9.0983305;-9.808243
ZINC000230047440;-8.54178;-8.711794;-9.32623;-8.91831;-8.801258
ZINC000009274817;-8.228165;-7.984409;-8.160482;-8.044659;-8.241547
ZINC000012604720;-9.605985;-9.415514;-10.29196;-9.625504;-9.362224
ZINC000012604717;-9.407957;-9.050812;-9.940693;-9.497942;-9.155666
ZINC000239433439;-8.724965;-9.118779;-8.535568;-8.552878;-9.308993
ZINC000239433439;-8.688766;-9.137787;-8.524395;-8.542501;-9.289012
ZINC000015906455;-7.4925404;-7.8540616;-7.481998;-7.762388;-7.447419
ZINC000245326831;-8.603108;-8.618767;-7.909724;-8.283543;-8.430734
ZINC000245327290;-8.583842;-8.658074;-8.254751;-8.266951;-8.494328
ZINC000001196321;-9.626697;-9.864986;-9.318073;-10.08811;-9.410707
ZINC000001196940;-9.770466;-9.733823;-9.428496;-9.543455;-9.602438
ZINC000001196957;-9.201166;-9.262762;-9.402853;-9.617532;-9.726944
ZINC000001197042;-10.034257;-9.893635;-9.887412;-9.827282;-9.654729
ZINC000001196811;-10.068121;-10.306718;-10.249737;-10.018007;-9.94668
ZINC000009295858;-8.820283;-8.593768;-8.148019;-8.150851;-8.498893
ZINC000012569659;-9.715795;-9.724192;-9.561006;-9.50364;-9.2431345
ZINC000248274498;-8.068447;-6.7913685;-6.9427795;-7.958351;-7.4992666
ZINC000004149981;-8.982476;-8.000753;-8.72932;-8.91149;-9.055978
ZINC000001283827;-9.700142;-9.4581785;-8.660137;-9.494441;-9.279139
ZINC000001283826;-9.660891;-9.283193;-8.577022;-9.456374;-9.531574
ZINC000001314614;-8.864837;-8.353983;-8.5842085;-9.193375;-8.508876
ZINC000001314613;-9.081292;-8.774207;-8.130329;-8.421925;-8.28938
ZINC000015947037;-8.393308;-8.567964;-8.287046;-8.406438;-8.499296
ZINC000015947039;-8.445624;-8.658429;-8.3615885;-8.446514;-8.502824
ZINC000033326957;-7.40735;-7.72375;-7.8615513;-7.9426165;-7.6666994
ZINC000009311953;-10.041361;-9.911662;-9.753812;-9.986325;-9.66037
