name;01;02;03;04;05
ZINC000009233178;-8.060272;-8.946577;-9.075621;-8.989711;-9.063698
ZINC000015799880;-7.8086653;-8.650316;-7.763929;-7.983985;-8.15263
ZINC000015821267;-8.109684;-7.2323008;-7.426405;-7.88282;-7.3757215
ZINC000009891791;-8.228208;-7.614562;-8.433302;-8.085885;-8.58241
ZINC000002065757;-8.525497;-8.667121;-8.039458;-8.5130205;-7.95295
ZINC000015835932;-7.8580847;-8.038449;-7.4733276;-8.089957;-8.158949
ZINC000009246619;-8.973686;-9.766643;-9.284069;-9.341768;-9.351909
ZINC000002076375;-8.113017;-8.610677;-7.8830323;-8.490196;-8.056818
ZINC000009933806;-6.9700627;-8.380442;-7.9896054;-8.131943;-8.095131
ZINC000009934534;-8.336744;-8.900883;-8.229121;-8.132725;-8.311892
ZINC000002084048;-7.8574624;-7.2198277;-7.3711176;-7.944147;-7.827662
ZINC000009262695;-8.807105;-8.58585;-8.26844;-8.776658;-8.534057
ZINC000226828075;-8.421852;-8.315159;-7.379314;-8.216695;-7.657871
ZINC000001130588;-9.001791;-9.542799;-8.695213;-8.805129;-9.082723
ZINC000001131064;-8.50519;-8.500241;-8.516085;-8.493308;-8.009877
ZINC000009264465;-7.239341;-8.031707;-8.118631;-8.159216;-7.934589
ZINC000012557476;-7.2818527;-7.983033;-7.399435;-7.4023633;-7.829926
ZINC000012559408;-7.287999;-7.5477724;-7.253829;-7.1125884;-7.198858
ZINC000001186598;-7.0189333;-8.130091;-7.7610226;-7.7056823;-7.6024876
ZINC000002127684;-7.7210636;-8.175905;-7.6267996;-7.818759;-7.7322364
ZINC000001177569;-8.463127;-8.742273;-8.716032;-8.847163;-9.329274
ZINC000002142082;-7.6706066;-8.316227;-7.7962174;-7.917229;-7.875448
ZINC000001197406;-7.9893556;-7.88684;-7.198987;-7.732406;-7.893514
ZINC000001197406;-8.111267;-8.013099;-7.2142677;-7.81401;-8.0338545
ZINC000001197406;-8.111267;-8.013099;-7.2142677;-7.81401;-8.0338545
ZINC000015932134;-7.709085;-7.224642;-7.452947;-7.681338;-7.2861676
ZINC000009295819;-8.814894;-8.48314;-8.938653;-8.793268;-8.948703
ZINC000001215443;-9.233211;-9.521339;-8.589488;-8.934703;-9.167525
ZINC000001215443;-9.015401;-9.455064;-8.519624;-8.898513;-9.008171
ZINC000001219399;-8.279236;-7.792569;-7.740741;-7.7461433;-7.9766064
ZINC000001219399;-8.470101;-8.080477;-7.7912197;-7.998196;-8.175995
ZINC000001219399;-8.470101;-8.080477;-7.7912197;-7.998196;-8.175995
ZINC000001220405;-7.725026;-7.4550533;-7.363846;-7.700871;-7.423298
ZINC000012645789;-7.797969;-7.8364716;-8.301853;-6.7084785;-7.0325475
ZINC000012645792;-7.87876;-7.8643723;-8.07354;-6.64466;-7.207685
ZINC000002180259;-8.684378;-9.6069565;-8.845628;-9.2870865;-9.058858
ZINC000001252198;-7.8377657;-7.3917875;-7.7682323;-7.884894;-8.201263
ZINC000012583132;-7.579211;-7.9765987;-7.921637;-7.7340555;-7.914212
ZINC000001278455;-9.034575;-9.288519;-8.830792;-8.542672;-9.324108
ZINC000001278752;-8.775113;-9.109988;-9.016139;-8.569092;-9.26039
ZINC000006142798;-8.836984;-9.057701;-9.264017;-9.709369;-9.266445
ZINC000016265219;-8.872539;-9.311102;-9.070988;-9.51579;-9.292693
ZINC000009309413;-8.678368;-9.275487;-8.875871;-8.723928;-9.542937
ZINC000006142750;-9.840427;-9.897233;-8.691139;-9.811381;-9.180956
ZINC000009311525;-8.120866;-8.246416;-8.042891;-8.051407;-8.438444
ZINC000033149433;-7.0035686;-7.9811835;-7.816197;-8.117565;-7.7164345
ZINC000009313327;-7.8751616;-7.8658295;-7.6223736;-7.410743;-7.8506374
ZINC000009313326;-7.76193;-7.954164;-7.5517654;-7.485465;-7.778142
ZINC000033333320;-8.454765;-8.806772;-7.97669;-8.499939;-8.233941
ZINC000033584638;-7.830677;-8.384673;-7.864406;-8.306582;-7.7541747
ZINC000009329076;-7.053846;-6.922186;-6.681563;-6.4747214;-6.630659
ZINC000001452276;-8.032715;-7.63387;-7.967435;-8.009538;-8.24387
ZINC000001452274;-7.6188416;-7.497831;-7.7721;-7.6233845;-7.9184985
ZINC000002273968;-9.31879;-9.184691;-8.644669;-9.483641;-9.07204
ZINC000002288058;-8.700542;-8.927128;-8.293881;-9.055344;-8.473005
ZINC000016671968;-8.991515;-8.970233;-8.760989;-8.204095;-8.771083
ZINC000016671746;-8.397863;-8.944132;-9.150943;-8.826297;-9.053745
ZINC000001884537;-9.017114;-8.601152;-8.639081;-9.035809;-9.13292
ZINC000012939034;-7.8056955;-7.887001;-7.9238477;-8.059953;-7.90963
ZINC000012939041;-7.857981;-7.971282;-7.7210684;-8.058786;-7.975673
ZINC000001900776;-6.7819953;-6.922987;-6.339128;-6.6812944;-6.5123587
ZINC000002361591;-9.129224;-9.0680895;-8.809345;-8.561325;-9.308298
ZINC000002375564;-10.057024;-9.998009;-9.251934;-9.708023;-9.595509
ZINC000002948784;-9.368821;-9.100615;-8.427581;-8.673707;-9.256754
ZINC000002949056;-9.618864;-9.70613;-8.784774;-9.096882;-9.3912525
ZINC000002958357;-7.537907;-7.5124764;-7.3320813;-7.4837775;-7.259237
ZINC000002971530;-8.297268;-8.782675;-8.392065;-8.5294695;-8.304535
ZINC000009424488;-8.674859;-8.689697;-8.931316;-8.205157;-8.831744
ZINC000002419209;-7.4587994;-7.3921576;-7.225129;-8.018624;-7.6727953
ZINC000002999650;-7.7811313;-7.6070905;-7.2318077;-7.341401;-7.6261487
ZINC000025389686;-7.517618;-7.765345;-7.3065586;-7.428507;-7.967339
ZINC000009453276;-8.533251;-8.445626;-8.463982;-8.222135;-8.239795
ZINC000017146097;-8.335598;-8.360702;-7.866869;-8.275551;-8.702275
ZINC000017196074;-7.327873;-8.450081;-8.295259;-8.109572;-8.062714
ZINC000017197776;-8.725054;-8.958056;-8.6415205;-8.931665;-8.479885
ZINC000006142773;-9.45633;-8.812563;-8.974588;-9.017242;-9.083841
ZINC000017209340;-7.830677;-8.384673;-7.864406;-8.306582;-7.7541747
ZINC000002639234;-8.630581;-8.67127;-8.67511;-8.837759;-8.643182
ZINC000027532440;-8.2302065;-7.862196;-7.6396937;-7.849865;-8.168182
ZINC000027532440;-8.267548;-8.028519;-7.706873;-7.8821893;-8.300562
ZINC000018179903;-7.867728;-7.6048403;-7.3519807;-7.7553353;-7.285783
ZINC000003440053;-8.433179;-8.031925;-7.909377;-8.035961;-8.505957
ZINC000013140003;-10.369856;-9.690456;-9.689633;-9.5811825;-10.232603
ZINC000016218947;-8.332283;-8.971395;-7.673595;-8.618602;-8.116939
ZINC000016218955;-8.164753;-9.091052;-7.8049636;-8.744205;-8.113394
ZINC000019320592;-7.4248457;-7.8594275;-7.8519554;-7.3901315;-7.2445903
ZINC000033286235;-8.014364;-8.916853;-8.6434355;-8.383222;-8.275264
ZINC000002782958;-8.866758;-9.395488;-9.020612;-9.385154;-8.729467
