name;01;02;03;04;05
ZINC000014888452;-8.608907;-9.000767;-8.469543;-8.750054;-8.357517
ZINC000012281360;-8.768379;-8.684198;-8.573709;-8.072285;-8.366474
ZINC000012281360;-8.612448;-8.879921;-8.415968;-8.188637;-8.467327
ZINC000012281359;-8.9839325;-8.918356;-8.525104;-8.292079;-8.292665
ZINC000012281359;-8.760901;-8.911319;-8.300896;-8.409206;-8.559969
ZINC000015856907;-8.366366;-8.69106;-9.017179;-9.277277;-8.757697
ZINC000023181607;-8.558986;-7.6985984;-7.6633415;-7.81795;-8.129744
ZINC000023181603;-8.437109;-8.295828;-7.6288342;-8.399314;-8.152412
ZINC000023181611;-8.429348;-7.7665386;-7.7491136;-7.877116;-8.295896
ZINC000023181615;-8.282515;-8.28077;-7.675173;-8.243626;-8.125742
ZINC000002094677;-8.615608;-8.677972;-8.614168;-9.179063;-8.652114
ZINC000033350000;-8.452919;-8.669484;-8.595963;-8.750704;-8.720774
ZINC000009282629;-8.2318735;-7.986934;-8.495508;-8.188015;-8.377954
ZINC000009282631;-8.088906;-8.070798;-8.201564;-8.159868;-8.427738
ZINC000012608887;-9.682337;-9.271082;-8.707949;-8.808947;-9.397489
ZINC000023425646;-9.532822;-8.614279;-8.383487;-8.507666;-8.73633
ZINC000023425641;-9.02432;-8.818207;-7.7324996;-8.28644;-8.229862
ZINC000023428055;-9.292028;-8.750307;-8.19999;-8.683857;-8.721989
ZINC000023428050;-8.974219;-8.853209;-7.860476;-8.103399;-8.53484
ZINC000023437354;-8.665744;-8.552689;-8.120341;-8.624445;-8.697692
ZINC000023437358;-9.035929;-8.400719;-8.519639;-9.138471;-8.816217
ZINC000023438294;-8.331139;-8.383141;-7.339349;-7.763198;-7.939753
ZINC000245276832;-10.173746;-9.681011;-10.2408;-10.091557;-10.814587
ZINC000245325611;-9.67617;-8.82308;-8.655854;-9.231048;-9.194841
ZINC000245325612;-9.171056;-8.358212;-8.882262;-8.189072;-9.151703
ZINC000245327572;-8.905645;-8.553893;-8.442877;-8.835862;-8.774082
ZINC000248127770;-9.287028;-8.296499;-8.889595;-8.399869;-9.070224
ZINC000248127767;-9.462951;-8.179267;-8.660003;-8.570564;-8.944579
ZINC000248136100;-8.931386;-8.234596;-8.106396;-7.8878937;-7.9817724
ZINC000248136105;-7.731044;-8.133007;-8.112021;-7.452762;-7.7884684
ZINC000248138434;-8.398273;-7.808262;-9.02305;-7.7327266;-8.214033
ZINC000252182587;-8.996304;-8.609713;-9.0502205;-9.076197;-9.069147
ZINC000252182587;-9.118942;-9.383764;-9.491266;-8.821926;-8.924665
ZINC000015947078;-7.404976;-7.641897;-6.9432616;-7.4573584;-7.704082
ZINC000015947084;-8.174736;-8.390216;-7.9783983;-7.4484096;-8.465091
ZINC000015947082;-8.665196;-8.533885;-8.279415;-8.146761;-8.867113
ZINC000015947080;-7.4797215;-7.441755;-6.86207;-7.593283;-7.741973
ZINC000015947307;-8.312611;-8.335951;-7.900336;-7.37266;-8.421444
ZINC000015947305;-8.763906;-8.486132;-8.326718;-8.087462;-8.789929
ZINC000252678920;-8.055825;-8.529219;-8.39198;-8.906376;-9.012068
ZINC000252679929;-7.850615;-9.219397;-8.362622;-8.8781395;-8.700049
ZINC000012726885;-9.306095;-8.778103;-9.145264;-8.872976;-9.182718
ZINC000012726880;-9.522821;-8.97653;-9.013417;-8.783627;-9.518195
ZINC000012243678;-8.225506;-7.8092117;-8.655202;-8.458067;-9.032086
ZINC000012243677;-8.36507;-8.430086;-8.518681;-8.574142;-8.832983
ZINC000001447726;-7.114567;-8.084689;-7.726521;-8.494087;-8.126244
ZINC000002271658;-7.850615;-9.219397;-8.362622;-8.8781395;-8.700049
ZINC000024303257;-7.1446943;-7.529407;-6.795804;-6.9283013;-7.2335405
ZINC000024303260;-7.430539;-7.078329;-6.466681;-7.343008;-7.298715
ZINC000009406138;-10.005412;-9.477565;-9.215298;-8.801039;-8.744006
ZINC000009406136;-9.655852;-9.351738;-8.953229;-8.824358;-8.462835
ZINC000009406139;-9.665555;-9.410727;-9.488205;-8.8979025;-8.930075
ZINC000009406135;-9.464087;-9.071303;-9.2228155;-8.545298;-8.705086
ZINC000009406153;-10.093421;-9.514845;-8.99519;-8.958561;-8.869595
ZINC000009406157;-9.753815;-9.3962145;-8.809603;-8.945528;-8.648385
ZINC000009406143;-9.988283;-9.2273655;-9.415598;-8.858759;-8.876476
ZINC000009406205;-10.002289;-9.531116;-9.022376;-9.25062;-8.925982
ZINC000009406204;-10.131879;-9.251623;-9.103357;-9.431492;-8.978521
ZINC000299796802;-8.960883;-8.624451;-8.338592;-8.793323;-8.571146
ZINC000016913999;-9.397099;-9.380548;-8.680105;-9.054112;-9.214129
ZINC000016913993;-8.879442;-8.933733;-8.472415;-9.051588;-9.350419
ZINC000016914182;-8.791293;-8.038177;-7.8936505;-8.88409;-8.442161
ZINC000016914182;-9.546778;-8.24918;-7.971858;-8.908432;-8.6820135
ZINC000016914177;-9.626559;-8.419462;-8.015971;-8.983792;-8.64376
ZINC000016914177;-8.917893;-7.927451;-7.876615;-8.835248;-8.42075
ZINC000016914324;-9.291832;-8.1847725;-8.031151;-8.894833;-8.469118
ZINC000016914319;-8.868447;-7.94861;-7.791379;-8.731709;-8.497151
ZINC000016914343;-8.758345;-7.7484965;-7.753188;-8.210958;-7.8800526
ZINC000016914329;-8.845715;-7.9488525;-8.09909;-7.9744897;-7.8845434
ZINC000016914339;-8.385634;-7.419291;-7.513362;-8.011735;-7.9312787
ZINC000016914335;-8.765703;-7.979278;-7.9178333;-8.011831;-7.90926
ZINC000016914484;-9.075584;-8.306254;-7.8303413;-8.500065;-8.331028
ZINC000016914479;-8.643112;-8.108447;-7.703207;-8.381814;-8.441738
ZINC000016914461;-9.223197;-8.308292;-8.229696;-9.114518;-8.767925
ZINC000016914467;-9.562051;-8.565263;-8.430806;-9.284071;-8.742601
ZINC000016914471;-9.089552;-8.479799;-8.397612;-8.434112;-8.3538065
ZINC000016914581;-9.200162;-7.9702277;-8.0423;-8.856824;-8.903472
ZINC000016914586;-9.81066;-8.246337;-8.193973;-9.016312;-8.904296
ZINC000002420927;-8.339285;-8.248331;-8.296719;-8.315727;-8.435989
ZINC000020730865;-9.265064;-9.512231;-9.663676;-8.825643;-9.011417
ZINC000020730844;-8.742125;-9.419285;-9.70937;-8.910205;-9.139122
ZINC000020730828;-9.108083;-9.269371;-9.235007;-8.902591;-9.209705
ZINC000020730979;-9.102732;-9.372503;-9.434775;-8.843906;-9.043614
ZINC000020730984;-9.53434;-9.299745;-9.533819;-8.877137;-8.984655
ZINC000020730994;-9.566332;-9.322352;-8.990904;-8.8501215;-9.323226
ZINC000020731047;-9.007019;-9.065807;-8.914545;-8.861013;-9.065579
ZINC000020730960;-9.663408;-9.198855;-8.77918;-8.801923;-9.102454
ZINC000020730999;-9.455817;-9.297104;-9.169226;-8.704616;-8.942335
ZINC000020731032;-8.956994;-9.020379;-8.897251;-8.754894;-9.186887
ZINC000020730965;-9.32417;-9.295619;-9.243465;-8.828387;-9.036156
ZINC000020731043;-8.9590435;-8.903754;-8.645583;-8.67954;-8.732716
ZINC000020730988;-8.944793;-9.217694;-9.211554;-8.783083;-9.06617
ZINC000020730956;-8.973381;-8.937324;-9.161032;-8.622061;-8.724721
ZINC000020730896;-8.897431;-9.252837;-9.32385;-8.889945;-9.232941
ZINC000020731554;-9.009752;-9.142544;-9.33311;-8.857867;-9.107071
ZINC000017112858;-9.177014;-8.12164;-8.799395;-8.693547;-7.9740367
ZINC000017112860;-9.133726;-8.205732;-8.523849;-8.71293;-7.9821424
ZINC000017113549;-9.318745;-8.164249;-8.20143;-8.374515;-8.297413
ZINC000017113551;-9.48299;-8.037151;-8.377771;-8.666352;-8.221632
ZINC000025577987;-7.9453278;-8.4308405;-7.245027;-8.145361;-8.086824
ZINC000025577971;-7.8991995;-8.318943;-7.229653;-8.123177;-8.0228
ZINC000025577977;-7.0486274;-8.124172;-6.9540234;-7.8374467;-7.919001
ZINC000022419178;-9.402351;-8.740625;-8.640016;-9.259025;-8.899448
ZINC000022419174;-9.254365;-8.462654;-8.639919;-8.820487;-8.691603
ZINC000020902541;-9.544065;-8.949037;-9.313336;-8.357346;-8.961457
ZINC000022419120;-9.076544;-8.268475;-8.267536;-8.7706175;-8.590353
ZINC000022419123;-9.390091;-8.704252;-8.383714;-9.1752205;-8.715847
ZINC000016914476;-8.979984;-8.494841;-8.251936;-8.490687;-8.357707
ZINC000017270679;-8.770035;-7.541704;-7.799823;-8.058783;-7.6984367
ZINC000017270684;-9.28463;-7.663333;-7.937502;-8.194754;-7.9193506
ZINC000012455007;-9.637653;-9.366569;-9.684334;-9.155874;-10.060573
ZINC000012455010;-9.28531;-9.539753;-9.983822;-9.387592;-10.04174
ZINC000017315449;-8.922294;-8.054628;-7.9195576;-8.709234;-7.9054565
ZINC000017315452;-9.306641;-8.081085;-8.062204;-9.053463;-8.081314
ZINC000027468839;-9.656895;-10.504812;-9.752673;-9.411004;-9.499353
ZINC000002693616;-7.950074;-8.495832;-7.825346;-8.451392;-8.113712
ZINC000002714304;-8.613718;-8.481291;-7.8222475;-8.180546;-7.885755
ZINC000002714739;-7.8600616;-8.060974;-7.406907;-7.9807453;-7.6636987
ZINC000021486984;-8.004681;-7.371364;-7.7876067;-7.881765;-7.3968315
ZINC000021486904;-7.9724083;-7.898875;-7.7317805;-7.5488744;-6.532176
ZINC000021486771;-8.054455;-9.106741;-8.784124;-8.3076;-8.776745
ZINC000021486905;-7.8974805;-7.8115287;-7.717611;-7.532288;-6.4032283
ZINC000021486985;-7.9611955;-7.635208;-7.831463;-8.033696;-7.435749
ZINC000003378272;-7.120311;-6.951926;-7.124626;-7.369786;-7.201826
ZINC000016531768;-8.320345;-8.914094;-8.123455;-8.242573;-8.167214
ZINC000003420784;-7.390365;-7.0887938;-6.866692;-6.76662;-7.071141
ZINC000002734972;-9.500744;-8.841372;-8.698229;-8.683606;-8.655353
