name;01;02;03;04;05
ZINC000097986419;-6.16185;-6.2921066;-6.5621853;-5.56136;-6.538112
ZINC000097986418;-6.528313;-6.507596;-7.7876196;-6.0438213;-6.910593
ZINC000097986420;-6.511153;-6.650924;-8.057345;-6.08452;-6.360313
ZINC000097986417;-5.8806267;-6.5533133;-7.4105587;-6.1832786;-6.6975994
ZINC000253623326;-7.807452;-7.8882513;-7.68325;-7.9902067;-7.4415693
ZINC000253623327;-7.9270234;-7.694945;-7.669621;-8.123206;-7.468484
ZINC000253623325;-7.846845;-7.9363213;-7.674137;-7.9373474;-7.3831983
ZINC000253623324;-7.7252393;-7.538125;-7.6726336;-7.8339863;-7.3483424
ZINC000263593899;-8.063057;-7.910089;-7.729947;-8.752705;-6.9565
ZINC000263593898;-7.7636433;-7.6003084;-7.4645896;-8.739272;-7.147002
ZINC000263593896;-7.9059258;-7.6271935;-7.4799194;-8.97238;-7.2287936
ZINC000263593897;-7.9941773;-7.829016;-7.4723186;-8.885124;-6.9300256
ZINC000263609369;-8.323711;-9.1956215;-8.048826;-8.186144;-8.685872
ZINC000263609368;-8.066043;-9.251221;-7.636064;-8.388398;-8.775932
ZINC000263609367;-7.969404;-8.818548;-7.846833;-7.907462;-8.580197
ZINC000299817888;-8.746076;-7.3937902;-8.421932;-7.3308673;-7.0264497
ZINC000299817887;-8.5259495;-6.8373284;-7.8809443;-6.925721;-7.47128
ZINC000253529621;-6.5295534;-6.180799;-6.5577617;-6.4158144;-6.213232
ZINC000098052568;-9.958446;-9.233352;-9.693242;-9.701421;-9.712518
ZINC000100008458;-2.0580826;-2.892185;-3.596445;-2.5749493;-3.558853
ZINC000238754553;-8.467473;-8.126127;-7.8523498;-7.72571;-7.9153366
ZINC000238791201;-5.2671227;-5.6976542;-5.2866726;-5.6756654;-5.383265
ZINC000100056167;-5.7079625;-6.2065644;-5.4565063;-6.1729856;-6.1377907
ZINC000242464138;-8.821993;-8.393179;-8.864294;-8.975127;-9.129168
ZINC000242464135;-8.757635;-8.921526;-9.083017;-9.126425;-9.09006
ZINC000242547727;-7.5496883;-6.504949;-8.063937;-7.6922817;-8.407687
ZINC000242547808;-7.609948;-7.1800575;-8.008023;-7.752466;-8.16499
ZINC000242547724;-7.457413;-7.4887867;-8.2060585;-7.8943663;-8.266936
ZINC000242547809;-7.737705;-8.307845;-8.362923;-8.222517;-8.326847
ZINC000242723271;-9.232462;-8.512582;-9.0292225;-9.107959;-9.219249
ZINC000242723270;-8.987151;-8.980277;-9.245061;-9.35199;-9.247479
ZINC000242723272;-8.88735;-9.407386;-9.291773;-9.283293;-8.966019
ZINC000242723273;-8.441516;-9.122205;-9.164629;-9.331956;-9.02095
ZINC000584577890;-5.0859323;-5.4652815;-5.822219;-5.7937517;-5.5823445
ZINC000584577617;-5.329972;-5.6606026;-5.9134603;-6.1129827;-6.247957
ZINC000584577532;-6.7929883;-8.41735;-7.819942;-7.5244126;-7.790192
ZINC000584577531;-7.819273;-9.335491;-8.851294;-7.749304;-7.9823675
ZINC000585284517;-7.204122;-7.1032047;-6.98382;-7.008191;-7.626963
ZINC000585293957;-9.400127;-8.797974;-8.567194;-8.960467;-9.909841
ZINC000585294319;-7.133201;-6.381199;-7.07797;-7.538659;-7.9244595
ZINC000585286231;-7.6442795;-6.941062;-7.901459;-7.0414686;-7.9001517
ZINC000585295067;-8.698768;-7.7956877;-8.479896;-7.7226133;-8.604318
ZINC000585294720;-9.652473;-8.242585;-8.589438;-8.067233;-8.560195
ZINC000585293723;-9.565281;-8.556895;-9.082119;-9.328551;-9.614073
ZINC000585294148;-7.96965;-7.385712;-7.6615524;-7.597047;-7.930267
ZINC000585293711;-10.1042595;-8.455453;-9.005675;-8.425516;-9.303384
ZINC000585293710;-10.005585;-8.317537;-9.30283;-8.561352;-9.485237
ZINC000575425383;-7.0444584;-6.7047987;-7.4538374;-7.005351;-7.6845446
ZINC000252463573;-6.5047045;-6.211727;-7.433181;-6.7873554;-7.052261
ZINC000252463572;-6.096034;-5.754843;-7.517427;-6.451483;-6.6674757
ZINC000575422049;-8.232355;-6.7432423;-7.761033;-7.935596;-7.598098
ZINC000575422144;-7.121128;-7.4712276;-7.2699947;-7.3521857;-6.9922047
ZINC000575422043;-9.17408;-8.19411;-8.116954;-7.936715;-7.6532426
ZINC000575420590;-7.9007425;-6.4364195;-7.472095;-7.396455;-7.3713636
ZINC000575420587;-8.70779;-7.8279243;-7.749009;-7.6262527;-7.315107
ZINC000575420594;-8.122498;-6.676172;-8.388706;-7.8769836;-7.6198883
ZINC000575422051;-8.506619;-7.955266;-7.552067;-7.939345;-7.484264
ZINC000575420592;-8.104431;-7.55702;-7.2072086;-7.391107;-7.2476254
ZINC000575422052;-8.656189;-6.9932866;-8.779471;-8.279089;-7.8620768
ZINC000575422313;-8.294891;-6.9539127;-7.724871;-8.1521435;-8.80245
ZINC000575425132;-8.523488;-7.0405536;-7.3902936;-7.6700454;-8.924321
ZINC000575422146;-6.6397266;-5.9642463;-7.09168;-7.120751;-7.2414227
ZINC000575422148;-7.5626383;-6.3837824;-7.7663546;-7.16301;-6.3601527
ZINC000575424173;-7.222543;-6.3845005;-7.1969557;-6.707916;-7.478677
ZINC000575422317;-7.595677;-7.2183323;-8.335522;-8.29957;-9.210722
ZINC000575424167;-7.710345;-7.425749;-7.837016;-7.511283;-7.8087234
ZINC000245231874;-8.1263;-9.678119;-7.22927;-8.678648;-8.456965
ZINC000575425131;-9.229807;-7.4268727;-7.949554;-8.072317;-9.580924
ZINC000575424174;-6.7283626;-6.2909846;-7.6929736;-7.041382;-7.5989647
ZINC000245231877;-6.1017957;-7.515563;-7.3116574;-8.21138;-8.355503
ZINC000575422147;-7.3636956;-7.315264;-7.104106;-6.8200297;-6.787585
ZINC000245231875;-8.171379;-9.511663;-7.6421127;-8.775654;-8.763389
ZINC000575425133;-8.89573;-7.36084;-7.370948;-7.795509;-8.934614
ZINC000575425134;-7.770311;-7.503434;-7.919029;-7.4874344;-8.434576
