name;01;02;03;04;05
ZINC000097993621;-8.038425;-7.9243665;-7.620893;-7.5176506;-8.207764
ZINC000253532152;-8.359669;-8.34592;-8.146524;-8.687489;-8.680756
ZINC000253532150;-8.528027;-7.9312096;-8.061359;-8.527405;-8.45641
ZINC000253532151;-8.267626;-7.3222876;-7.6410966;-7.7096996;-8.376129
ZINC000253532153;-8.281415;-8.022569;-7.998115;-8.17071;-8.38618
ZINC000008442320;-7.1181955;-7.291938;-6.297457;-7.0737457;-6.950744
ZINC000008442318;-6.7915115;-6.3584685;-6.5365705;-6.5695066;-6.6342206
ZINC000008442321;-7.0139422;-6.6513433;-6.6462655;-7.2743564;-7.0450616
ZINC000008442319;-6.565171;-6.674577;-6.1035595;-7.477601;-6.947879
ZINC000008618728;-8.069313;-7.157433;-7.517474;-7.5628347;-7.6625752
ZINC000008739986;-7.144686;-6.9843445;-7.2124515;-7.4518633;-6.7668915
ZINC000008739987;-6.8853784;-6.779971;-6.7427564;-7.3182034;-6.29617
ZINC000299817239;-9.092579;-9.115879;-8.115791;-8.754068;-8.902033
ZINC000299817623;-7.0034747;-7.5321894;-6.5252967;-6.780732;-7.562622
ZINC000299817625;-6.856917;-7.271622;-6.420096;-6.2082644;-6.925536
ZINC000299817626;-7.6750145;-6.633001;-6.774674;-6.887055;-7.272783
ZINC000299817624;-7.180058;-7.2678547;-6.729108;-6.483254;-7.1243877
ZINC000301054302;-7.555276;-7.9944057;-7.840702;-6.8327794;-8.05825
ZINC000301054305;-7.674976;-8.07479;-7.780697;-6.591461;-7.900177
ZINC000301054303;-7.6164436;-8.20532;-8.048815;-6.901511;-8.138465
ZINC000301054304;-7.4744854;-8.475999;-7.9398975;-6.6572504;-7.8582444
ZINC000301055045;-8.408489;-8.204961;-7.5913496;-7.4382663;-7.343761
ZINC000301055046;-8.410959;-7.8959017;-7.6818604;-7.6721034;-7.584323
ZINC000100004268;-8.293249;-8.447502;-8.601866;-8.004109;-8.060697
ZINC000100004267;-8.323962;-8.534132;-8.583337;-8.346127;-7.957568
ZINC000102962939;-9.008074;-8.512736;-8.515923;-8.50036;-9.208396
ZINC000102963275;-8.344818;-8.240461;-7.747314;-7.770588;-8.375587
ZINC000100022633;-8.061906;-7.8232265;-8.060751;-8.593492;-8.015464
ZINC000238762297;-8.056774;-7.767792;-8.64048;-7.361829;-7.910468
ZINC000584577515;-9.04043;-8.389401;-8.564092;-8.286769;-8.548257
ZINC000584577518;-8.350125;-8.014476;-8.883471;-8.676182;-9.103351
ZINC000575423087;-9.282849;-9.245069;-9.150638;-9.0169115;-8.768628
ZINC000575423084;-9.311336;-9.038686;-9.21101;-8.927874;-9.097453
ZINC000575424901;-8.504798;-9.216863;-9.856021;-9.360644;-9.622164
ZINC000575424904;-9.118076;-8.462015;-8.734415;-9.370905;-9.303553
ZINC000584566998;-6.920742;-7.650397;-6.8118505;-6.872011;-6.9998326
ZINC000100186341;-6.476174;-6.096505;-7.267847;-6.8314457;-6.142922
ZINC000103076601;-6.6260657;-6.4576387;-6.665311;-6.2803326;-6.7778034
ZINC000100253666;-8.265691;-6.591302;-8.243637;-6.780575;-9.039903
ZINC000252586795;-9.110663;-8.435241;-8.620711;-8.88385;-8.175756
ZINC000038806177;-6.461144;-7.015927;-6.252138;-6.4798455;-7.083171
ZINC000038806180;-7.367776;-6.8168945;-6.8661566;-7.6009507;-7.156769
ZINC000200691446;-6.9770117;-5.8261666;-7.5340595;-6.7026205;-6.151987
ZINC000039613257;-2.8487527;-3.510332;-4.015217;-3.3731086;-4.083463
ZINC000408976713;-10.643923;-10.456953;-8.966974;-9.545929;-10.347464
ZINC000409202471;-7.9677105;-7.3566318;-7.839636;-7.5086765;-7.9666505
ZINC000409194330;-8.881031;-8.506042;-8.269531;-8.084449;-8.888076
ZINC000409194465;-8.729109;-8.460021;-8.036872;-8.184179;-8.888053
ZINC000958317944;-7.58711;-8.032748;-7.516889;-7.678829;-8.093225
ZINC000958317943;-7.544514;-8.3058405;-7.8815904;-7.330095;-7.8632107
ZINC000958317945;-7.691424;-7.8361816;-7.9433575;-7.6906137;-8.351295
ZINC000958317946;-7.669607;-7.8542986;-7.8517103;-7.9393034;-8.235894
ZINC001534612834;-8.0858135;-8.393591;-8.202507;-8.295737;-8.273802
ZINC001542984441;-4.8317213;-4.6319876;-4.9000196;-4.576089;-5.566981
ZINC001547139914;-6.4670215;-7.0422883;-7.020385;-6.0466814;-7.305295
ZINC001547138053;-7.1894493;-8.814674;-7.102924;-6.454304;-7.54316
ZINC001547139915;-6.6091943;-6.855945;-6.644361;-6.305826;-7.6159477
ZINC001569999076;-11.1432;-10.107536;-9.393535;-10.297615;-9.60683
ZINC001560406259;-7.484493;-6.2521057;-6.8773026;-6.497961;-7.5334334
ZINC001559604249;-7.331585;-8.999395;-7.2587347;-6.460799;-7.628341
ZINC000029249103;-8.103334;-8.097831;-7.344768;-8.140242;-7.316817
ZINC000011616418;-7.598625;-7.46953;-6.9335113;-7.6859493;-7.1599283
ZINC000253499015;-7.04454;-7.3329716;-7.729041;-7.5253696;-7.4911313
ZINC000253499012;-7.747816;-7.9157424;-7.474598;-7.250721;-7.707186
ZINC000100453056;-8.068904;-8.09481;-7.4756637;-7.8741517;-7.435041
ZINC000253499172;-7.3688116;-7.0800147;-7.516532;-7.07763;-7.570043
ZINC000253499179;-7.6399174;-7.474508;-7.8474293;-7.5180187;-7.411629
ZINC000253499170;-7.084933;-7.188106;-7.507455;-7.2006044;-7.4926124
ZINC000253499176;-7.313633;-7.327045;-7.637821;-7.232892;-7.6534266
ZINC000106045217;-8.37946;-7.597004;-8.409555;-7.850504;-7.8634825
ZINC000106045221;-8.095626;-7.0901604;-7.827868;-7.3593383;-7.3299704
ZINC000253501246;-7.8641677;-7.724265;-8.368421;-7.1918144;-7.891558
ZINC000253501232;-8.305199;-7.761091;-8.125946;-7.3382635;-7.675771
ZINC000253501237;-8.312281;-7.738721;-8.080215;-7.4164076;-7.621087
ZINC000253530327;-8.161134;-7.638959;-7.9285083;-7.277853;-8.008563
ZINC000253530328;-8.232855;-7.321668;-8.252245;-7.369261;-7.820358
ZINC000255218657;-7.911158;-8.120344;-7.488564;-7.4192314;-7.6210537
ZINC000256016960;-10.516822;-10.830293;-9.379355;-8.822519;-9.458824
ZINC000256016962;-10.187323;-11.067238;-9.543647;-8.595279;-9.025348
ZINC000256016961;-10.135133;-11.312825;-9.649508;-8.461957;-8.995033
ZINC000256069177;-6.9711275;-7.3659673;-6.459417;-7.0714555;-6.6728163
ZINC000256119799;-7.5318537;-7.630557;-8.422306;-8.878822;-7.8904004
ZINC000256119795;-7.490838;-7.716535;-8.394133;-9.019175;-8.095577
ZINC000256119792;-7.1211677;-7.881108;-8.232071;-8.919857;-7.8321753
ZINC000256119797;-7.288764;-7.788309;-7.978885;-9.008303;-8.11512
ZINC000045329625;-7.930619;-7.5874896;-7.630147;-7.9402237;-8.348715
ZINC000257346823;-8.457261;-8.193827;-7.3768153;-7.3992085;-8.204156
ZINC000257346808;-6.8300943;-6.646491;-6.2141714;-6.129837;-6.8875823
ZINC000257346810;-6.5883837;-6.746745;-6.075261;-6.380818;-7.1792946
ZINC000257346779;-7.3739204;-7.3533688;-7.1720996;-6.6894274;-7.0890346
ZINC000257346822;-8.236431;-8.196011;-7.34809;-7.3686824;-8.563332
ZINC000257346809;-5.4736366;-6.0666437;-6.0423255;-6.201289;-6.748369
ZINC000257346821;-6.7063026;-7.555067;-7.4162564;-7.2561283;-7.947212
ZINC000257346778;-7.820664;-7.730112;-7.002715;-7.1102104;-7.316559
ZINC000257346780;-7.672929;-7.607399;-6.977167;-6.9058437;-7.4295654
ZINC000257347196;-7.300873;-7.1861157;-7.64589;-7.978889;-6.5458164
ZINC000257347195;-6.891099;-7.272205;-7.497582;-7.818169;-6.502412
ZINC000257347197;-6.7693696;-7.666683;-7.4137363;-7.985926;-6.5084767
ZINC000257347194;-7.0309725;-7.32279;-7.630439;-8.058715;-6.5457606
ZINC000049889039;-6.902695;-7.9018817;-6.8994617;-5.804475;-6.575023
ZINC000100342968;-6.6167703;-7.980082;-6.981674;-7.668516;-6.7684746
ZINC000100342977;-8.674231;-7.9552245;-8.01707;-9.12986;-8.046677
ZINC000100342991;-8.871453;-8.831614;-8.286201;-8.886925;-7.8692946
ZINC000100342984;-8.94991;-8.6789465;-8.67087;-8.827116;-8.110844
ZINC000010271798;-7.382226;-7.839723;-8.112805;-7.64569;-7.192945
ZINC000010271800;-8.0724535;-7.8529882;-8.107025;-7.679305;-7.1573343
ZINC000010271801;-7.9503317;-7.77164;-7.7337136;-7.292448;-7.2788796
ZINC000010271802;-7.060914;-7.948694;-8.019701;-7.739444;-7.345648
ZINC000010271799;-7.8000336;-7.940104;-8.2195015;-7.4601884;-7.3458805
ZINC000010271806;-7.2456694;-7.843361;-8.341944;-7.693293;-7.115045
ZINC000010271824;-7.7413254;-8.139775;-8.806985;-7.3045444;-8.436256
ZINC000010271819;-6.948546;-8.139189;-8.029092;-7.6782374;-8.366467
ZINC000010271825;-7.5903606;-7.431201;-8.408319;-7.831563;-8.537318
ZINC000010271807;-7.278978;-7.479236;-7.624045;-7.544195;-6.8926506
ZINC000010271818;-6.645545;-8.413277;-8.388613;-8.097117;-8.7930975
ZINC000010271821;-6.8416166;-7.5020785;-8.620097;-8.01851;-8.281094
ZINC000010271809;-7.8722754;-7.4884543;-7.7519736;-7.742958;-7.204254
ZINC000010271805;-7.721484;-7.3144445;-8.103134;-7.843661;-7.4251328
ZINC000010271803;-7.2073326;-7.188951;-7.8512416;-7.4130964;-7.1191096
ZINC000010271804;-7.5634294;-8.166932;-8.113692;-7.6660085;-7.570383
ZINC000010271822;-7.221199;-8.275493;-8.238164;-7.9327936;-9.099713
ZINC000010271823;-7.5151134;-7.8853183;-8.025622;-7.714476;-8.782355
ZINC000010271820;-7.048342;-7.9805026;-9.105631;-7.38949;-8.116855
