name;01;02;03;04;05
ZINC000034876641;-6.7432833;-6.3880568;-6.9285345;-6.949977;-6.4370484
ZINC000034876639;-6.506342;-7.2827034;-7.1331654;-6.9611897;-6.5864353
ZINC000225695599;-7.8052816;-7.9258122;-7.2070713;-7.9928193;-7.975632
ZINC000035183253;-6.8833804;-6.41453;-7.0253015;-7.1789756;-6.068017
ZINC000035183251;-6.7815404;-6.5438538;-6.906605;-7.2019753;-6.158179
ZINC000035183250;-6.879684;-7.0086517;-7.457206;-6.9231424;-6.4672318
ZINC000035183252;-7.126575;-6.9864807;-7.1341934;-7.118894;-6.4536486
ZINC000035442490;-8.1730175;-7.303002;-8.244736;-7.7011356;-8.178922
ZINC000102804379;-7.9944525;-8.627325;-8.714043;-8.294238;-7.869903
ZINC000102804375;-8.114461;-8.796064;-8.937411;-8.760897;-8.389122
ZINC000225866950;-7.8001947;-8.090457;-7.9892116;-7.958016;-7.607728
ZINC000225880663;-8.055578;-7.6440763;-7.718245;-7.872564;-7.5331416
ZINC000265540555;-9.036175;-9.1353655;-7.90123;-8.529963;-8.857596
ZINC000265540558;-8.88666;-9.134165;-7.990825;-8.449879;-8.864322
ZINC000226476200;-8.459797;-9.068319;-8.410486;-8.392979;-8.63706
ZINC000002668024;-8.523124;-9.429136;-8.427128;-8.410492;-8.565372
ZINC000408939836;-8.577114;-8.38547;-9.001169;-8.572882;-8.291083
ZINC000408939840;-8.818997;-8.491575;-9.093765;-8.670448;-8.282207
ZINC000245241574;-9.108682;-9.370311;-8.366467;-8.329373;-8.968066
ZINC000245241575;-8.082242;-9.097834;-7.9786863;-7.9018183;-8.649004
ZINC000585273764;-7.911787;-7.5889277;-7.1270022;-7.1152353;-7.9329615
ZINC000585284501;-8.647884;-8.204774;-8.498815;-8.069566;-8.1017275
ZINC000584571178;-9.788364;-10.532258;-10.105629;-10.876932;-10.570016
ZINC000584571179;-10.058133;-10.64295;-10.195171;-10.492824;-10.684933
ZINC000585281896;-8.429295;-7.455677;-7.9873486;-7.4576144;-7.6339207
ZINC000585281216;-8.941146;-8.025465;-7.625862;-7.737493;-7.5271583
ZINC000585284628;-7.4006615;-6.9543095;-6.783388;-6.8054194;-7.018351
ZINC000585284635;-6.7802753;-6.2811933;-7.0830054;-6.964354;-7.1312265
ZINC000585293346;-8.721243;-8.2996855;-8.440683;-7.9260554;-8.4654
ZINC000585284243;-9.1748905;-8.266972;-8.289915;-7.6463118;-8.21321
ZINC000585286736;-8.075542;-8.546832;-8.299383;-7.01105;-7.1815825
ZINC000585284240;-8.383789;-8.688091;-7.980455;-7.227995;-8.28608
ZINC000585286735;-8.570196;-8.034018;-7.6967382;-7.1241846;-7.0450335
ZINC000408549264;-6.741705;-6.7441535;-6.506674;-6.659094;-6.5120935
ZINC000100201859;-8.766268;-8.421959;-8.253759;-8.584524;-8.682653
ZINC000100201865;-7.583846;-8.267044;-8.20813;-8.148734;-8.15889
ZINC000408601037;-7.549611;-8.235167;-7.8304267;-7.9398527;-7.4851537
ZINC000408601038;-7.8129816;-8.419198;-8.185741;-7.88393;-7.7186937
ZINC000038756519;-8.461378;-8.624566;-8.550458;-8.518126;-8.485346
ZINC000038772542;-8.224042;-8.720299;-7.9611154;-7.933473;-7.954299
ZINC000038772754;-8.110594;-8.265357;-7.9058766;-8.586484;-8.236168
ZINC000038772799;-8.876537;-7.9991417;-8.654936;-8.914916;-8.576445
ZINC000253394466;-9.407942;-8.85056;-8.798151;-9.078717;-8.340233
ZINC000253394384;-8.763401;-8.004205;-7.7560315;-8.586807;-8.121443
ZINC000253395863;-9.698121;-9.592793;-8.990032;-8.995787;-8.851512
ZINC000253395972;-9.637611;-8.8119;-7.3133807;-8.173681;-9.193061
ZINC000253396433;-8.843952;-9.13023;-9.349912;-9.176465;-8.180078
