name;01;02;03;04;05
ZINC000253393392;-6.0291777;-8.106486;-7.2095146;-7.825975;-7.9165974
ZINC000253393394;-7.60291;-8.40469;-8.402506;-7.410963;-8.612903
ZINC000253402690;-7.8738976;-8.99737;-8.51833;-7.8708897;-8.270026
ZINC000253402693;-8.250727;-9.054038;-8.114694;-8.38348;-8.631685
ZINC000253402687;-8.282566;-8.008129;-6.9900575;-7.233074;-7.9671736
ZINC000253402701;-8.024389;-9.287679;-9.0820265;-8.178153;-8.602554
ZINC000225462130;-8.90689;-8.240521;-8.541474;-8.178413;-8.518699
ZINC000225392935;-9.318524;-7.8712463;-7.6096;-8.752379;-8.365416
ZINC000035442490;-8.188979;-7.686988;-8.762542;-8.401349;-8.288295
ZINC000098006322;-8.666648;-8.380337;-8.527046;-8.838346;-8.399234
ZINC000242463692;-10.805004;-9.919159;-9.711841;-10.511773;-10.06006
ZINC000242463689;-10.161934;-9.446305;-9.082006;-10.25284;-9.718582
ZINC000100082157;-8.837846;-7.8581033;-8.455072;-7.5340257;-8.166853
ZINC000585272889;-7.9161654;-7.006607;-7.114376;-6.70821;-7.5721025
ZINC000585272884;-8.454367;-7.7627177;-7.54263;-6.7756724;-7.480965
ZINC000585271692;-7.724681;-7.130283;-7.3104467;-6.7020135;-7.532495
ZINC000585271692;-8.2394905;-6.8003745;-8.127436;-6.8568144;-7.1655736
ZINC000585271822;-9.071425;-7.917209;-8.482677;-7.860821;-7.9615946
ZINC000585271822;-8.651686;-8.224073;-7.584614;-7.5759172;-8.223169
ZINC000585272174;-8.129603;-6.8787737;-7.917938;-6.8554425;-7.298964
ZINC000585272174;-7.5490694;-7.0878277;-7.17317;-6.676725;-7.948186
ZINC000585274743;-9.213184;-8.197599;-8.610359;-8.300625;-8.2994
ZINC000585274743;-8.915668;-8.549631;-7.729053;-7.919626;-8.588372
ZINC000585272338;-7.9853344;-6.547229;-7.7518735;-6.424723;-6.959709
ZINC000585272338;-7.248531;-6.731001;-6.9657574;-6.3152747;-7.5750265
ZINC000585271699;-8.105289;-6.814055;-8.079243;-6.758665;-7.2547336
ZINC000585271699;-7.3225794;-6.996455;-7.254825;-6.615135;-7.8200855
ZINC000585271600;-8.985054;-8.164621;-7.4834185;-7.4845743;-7.6568775
ZINC000585271600;-8.774867;-8.307185;-8.480122;-7.9314294;-7.890508
ZINC000585271607;-8.822178;-8.304761;-8.452437;-8.026705;-8.123784
ZINC000585271607;-9.065914;-8.751665;-7.3582726;-7.4345584;-7.9747014
ZINC000585272324;-7.5812235;-6.9089284;-7.0903254;-6.3981605;-7.232194
ZINC000585272324;-8.10873;-6.527174;-7.828382;-6.5268707;-6.8770227
ZINC000585271818;-9.1783695;-7.8829966;-7.864184;-7.744782;-7.768563
ZINC000585271818;-9.0307865;-7.937668;-8.463744;-7.763789;-7.6777134
ZINC000585274735;-9.468623;-8.119787;-7.9454055;-8.18331;-8.14731
ZINC000585274735;-9.16972;-8.207803;-8.615058;-8.209727;-8.010699
ZINC000585272166;-7.8667374;-7.189336;-7.2164617;-6.8427143;-7.623021
ZINC000585272166;-8.241202;-6.854201;-8.0096035;-6.958593;-7.204629
ZINC000585274188;-7.701044;-6.673509;-7.762374;-6.2255654;-6.882563
ZINC000585274188;-7.296874;-6.938463;-6.88587;-5.7540092;-6.8838716
ZINC000585272937;-7.900248;-7.1390543;-7.487591;-7.0640225;-7.420428
ZINC000585272937;-8.366894;-7.186243;-8.23198;-7.227315;-7.526628
ZINC000585274185;-7.1021056;-6.939651;-6.875992;-5.5690317;-6.6603436
ZINC000585274185;-7.863722;-6.67739;-7.8166037;-6.3208823;-6.844786
ZINC000585274617;-7.9936576;-6.892887;-7.8545575;-6.8031;-7.1766524
ZINC000585274617;-7.4697833;-6.994066;-6.942496;-6.397629;-7.5815654
ZINC000585273764;-7.3913984;-7.0460157;-6.909351;-6.341059;-7.6320825
ZINC000585272945;-8.228493;-7.2291455;-8.373299;-7.183161;-7.5644207
ZINC000585272945;-7.563207;-7.318238;-7.3035607;-6.756183;-7.921509
ZINC000585274612;-7.7892785;-6.8908157;-7.157281;-6.7344522;-7.0867867
ZINC000585274612;-8.117393;-6.846182;-7.7425814;-6.840486;-7.137053
ZINC000585274529;-8.115478;-7.012192;-7.0239973;-6.55977;-7.4825473
ZINC000585274523;-8.83458;-7.667537;-7.3333273;-6.8649793;-7.5848055
ZINC000585275083;-7.8181906;-6.9586945;-7.2248583;-6.9430017;-7.293995
ZINC000585275083;-7.925358;-7.0569763;-7.8325605;-7.1454334;-7.309177
ZINC000585280716;-8.511075;-7.1852136;-8.272563;-7.7091455;-8.205746
ZINC000585280716;-8.497195;-7.7453876;-8.074536;-7.155934;-8.724755
ZINC000585280248;-8.385546;-7.6560698;-8.624458;-7.456878;-7.5577097
ZINC000585280248;-7.8810015;-7.172586;-7.8559623;-6.5646334;-7.698748
ZINC000584567120;-6.924736;-6.9544835;-7.449127;-6.6566753;-7.356496
ZINC000585275084;-7.7805014;-7.08963;-7.9661427;-7.10585;-7.3551874
ZINC000585275084;-7.432037;-7.1529417;-7.209776;-6.541504;-7.7937374
ZINC000585280516;-8.257451;-7.316519;-8.221643;-7.3046765;-7.647279
ZINC000585280516;-7.754528;-7.417911;-7.197929;-6.840523;-8.066625
ZINC000585281002;-8.100918;-7.0769315;-7.194205;-6.9031444;-6.84777
ZINC000585281002;-7.7890563;-6.960524;-7.8005075;-7.0022078;-6.6779857
ZINC000585280513;-8.037175;-7.2218423;-7.4121337;-7.2233143;-7.5334816
ZINC000585280513;-8.370108;-7.249843;-8.11399;-7.356862;-7.5943418
ZINC000585281005;-7.8196464;-6.95403;-7.75507;-7.1117005;-6.9496493
ZINC000585281005;-7.415814;-7.1614285;-7.081999;-6.802641;-7.193071
ZINC000585281853;-7.8933716;-7.3282857;-8.012916;-7.161777;-6.975512
ZINC000585280247;-7.475333;-6.816587;-7.9259567;-6.8078866;-7.3479
ZINC000585280247;-8.568737;-7.358613;-8.584013;-7.6259403;-7.417879
ZINC000585280714;-8.590436;-7.5505695;-7.867874;-7.767127;-8.118974
ZINC000585280714;-9.231959;-7.5649343;-8.485353;-7.7720394;-8.268753
