name;01;02;03;04;05
ZINC000225462130;-9.217445;-8.889843;-8.513024;-7.7391353;-8.065317
ZINC000035442490;-7.955371;-8.130816;-7.8251753;-7.6100826;-7.291029
ZINC000265540555;-10.073133;-9.642258;-8.45356;-9.052028;-9.282959
ZINC000265540558;-10.097534;-9.647368;-8.500971;-9.07887;-9.300097
ZINC000098052517;-12.051758;-10.617023;-9.637404;-10.922451;-10.363888
ZINC000242463692;-9.759594;-9.86144;-9.911499;-9.559468;-9.8159
ZINC000242463689;-9.317651;-9.213318;-9.049492;-9.101573;-8.847263
ZINC000604971857;-11.947536;-10.318504;-9.696871;-10.775574;-10.62693
ZINC000100077188;-9.852274;-9.310862;-9.279793;-9.321722;-8.522058
ZINC000585271817;-7.660248;-8.421658;-7.3709517;-7.592428;-8.008491
ZINC000585272889;-7.72884;-7.409123;-7.5626965;-6.869009;-7.507868
ZINC000585272884;-8.377601;-8.048469;-7.511426;-7.0260577;-7.722003
ZINC000585274786;-7.681672;-8.522252;-7.7180552;-7.582704;-8.113157
ZINC000585271337;-7.79489;-7.256535;-7.713336;-7.031504;-7.4024196
ZINC000585272680;-9.037916;-8.051929;-8.19974;-7.497772;-8.214967
ZINC000585272683;-8.072341;-7.9051676;-7.9770765;-7.2565784;-8.429481
ZINC000585274425;-8.56657;-8.51005;-7.8361735;-7.745571;-8.60662
ZINC000585274428;-8.751258;-8.32641;-7.722906;-8.033099;-8.710305
ZINC000585274188;-7.296874;-6.938463;-6.88587;-5.7540092;-6.8838716
ZINC000585274617;-7.4697833;-6.994066;-6.942496;-6.397629;-7.5815654
ZINC000585274432;-7.5423517;-8.396549;-7.365351;-7.157548;-8.185682
ZINC000585273764;-7.7401433;-8.071217;-7.6939607;-6.9458733;-7.274303
ZINC000585274430;-8.574608;-8.480064;-7.7804313;-7.4982433;-7.9485264
ZINC000585274612;-8.117393;-6.846182;-7.7425814;-6.840486;-7.137053
ZINC000585273647;-8.916112;-8.021528;-7.7382793;-7.60979;-8.239496
ZINC000585274529;-8.258343;-7.3362637;-7.5440683;-6.895463;-7.6942377
ZINC000585274523;-8.845689;-8.06803;-7.510462;-7.0288324;-7.6791134
ZINC000585274444;-8.037738;-7.3321133;-8.223515;-7.276918;-7.881877
ZINC000585274443;-9.136989;-7.8467035;-7.9289613;-7.3758273;-7.8976746
ZINC000585280716;-8.497195;-7.7453876;-8.074536;-7.155934;-8.724755
ZINC000585280248;-7.8810015;-7.172586;-7.8559623;-6.5646334;-7.698748
ZINC000584567120;-6.8704586;-7.5151005;-7.614631;-6.42058;-6.894107
ZINC000585280516;-7.754528;-7.417911;-7.197929;-6.840523;-8.066625
ZINC000585281002;-7.7890563;-6.960524;-7.8005075;-7.0022078;-6.6779857
ZINC000585280513;-8.370108;-7.249843;-8.11399;-7.356862;-7.5943418
ZINC000585281005;-7.415814;-7.1614285;-7.081999;-6.802641;-7.193071
ZINC000585280247;-8.568737;-7.358613;-8.584013;-7.6259403;-7.417879
ZINC000585280714;-9.231959;-7.5649343;-8.485353;-7.7720394;-8.268753
ZINC000585273658;-8.0130205;-8.086976;-8.007271;-7.419401;-8.83697
ZINC000585284501;-9.434915;-8.537184;-8.791352;-8.271757;-8.482454
ZINC000584571178;-10.230937;-11.236364;-10.49425;-11.462588;-11.017654
ZINC000584571179;-10.451774;-11.315126;-10.639921;-11.062199;-11.119034
ZINC000585281854;-8.254808;-7.673871;-8.073543;-7.0378747;-6.9933023
ZINC000585281896;-8.118826;-6.7714143;-8.106206;-6.877953;-7.582136
ZINC000585281216;-8.53822;-7.749811;-7.9827056;-7.318209;-7.6812916
ZINC000585284628;-6.9507074;-6.255192;-7.705492;-7.1273365;-7.3686943
ZINC000585283927;-8.418243;-8.234514;-8.432566;-7.398256;-7.5147314
ZINC000585287607;-9.460673;-9.783076;-8.572068;-8.417936;-9.381905
ZINC000585284635;-6.4300933;-6.1735773;-7.4282236;-6.9125013;-7.3747325
ZINC000585287612;-9.865483;-9.42145;-9.07114;-8.588469;-9.30271
ZINC000585284803;-8.258238;-7.9896803;-8.658913;-7.993134;-8.879393
ZINC000585293346;-9.160878;-8.730989;-8.252972;-8.038162;-8.532248
ZINC000585284243;-8.968235;-8.875359;-8.33489;-7.830036;-8.756812
ZINC000585286736;-8.454923;-8.091215;-8.374089;-7.159316;-7.221644
ZINC000585284240;-8.482523;-9.280155;-8.126219;-7.3260136;-8.773087
ZINC000585286735;-8.492766;-7.869223;-8.024962;-6.652675;-7.5093527
ZINC000245333837;-10.063833;-8.128018;-8.413139;-8.802671;-8.105278
ZINC000245333835;-9.484386;-7.9651732;-8.806621;-8.573711;-7.936674
ZINC000245333836;-9.716247;-8.755635;-9.315298;-8.818496;-8.447963
ZINC000100201859;-8.697662;-8.845823;-8.904117;-8.089151;-8.12441
ZINC000100201865;-7.8139863;-8.280989;-8.3447895;-8.528698;-8.174527
ZINC000408625989;-8.76963;-8.019817;-7.843984;-7.5900154;-7.9205
ZINC000253394466;-9.526932;-9.095717;-8.744319;-9.185688;-8.631942
ZINC000253394384;-8.681776;-7.989881;-8.121021;-8.743632;-8.300457
ZINC000253395863;-9.992878;-9.701943;-9.209008;-9.091365;-8.944291
ZINC000253395972;-8.771829;-8.807128;-7.7267427;-9.0930195;-9.175411
ZINC000253396798;-9.702682;-9.223798;-9.7581835;-9.090903;-9.90709
ZINC000253396202;-9.353544;-9.116615;-9.547604;-8.7341;-8.769853
ZINC000253397299;-9.202756;-9.28919;-9.965699;-9.253733;-8.432655
ZINC000253396931;-9.51049;-9.190408;-9.368852;-9.30158;-9.065951
ZINC000253396878;-6.8466167;-8.096284;-7.929217;-7.0276012;-7.2932024
ZINC000253398774;-9.111012;-8.858387;-7.612408;-8.55468;-8.518774
ZINC000253399264;-9.424224;-9.346006;-9.318792;-9.504094;-9.214244
ZINC000253399086;-9.371735;-9.27466;-8.690346;-9.126017;-9.131377
ZINC000253399050;-9.050784;-8.432911;-8.938651;-8.982983;-8.807431
ZINC000253399960;-8.959812;-7.9693875;-8.764228;-9.0007515;-9.237574
ZINC000253399800;-8.982436;-8.512526;-9.047948;-9.333976;-9.011413
ZINC000253399945;-8.905256;-8.865335;-9.378704;-9.386066;-9.624828
ZINC000253400038;-9.630315;-8.6735735;-9.358851;-9.303774;-9.530799
ZINC000253401802;-9.399706;-8.86701;-9.2983265;-9.105591;-8.3910675
ZINC000253401572;-9.17072;-9.228286;-9.390127;-9.092402;-9.381559
ZINC000253402948;-7.4464407;-7.688444;-7.082751;-6.8263464;-7.383275
ZINC000253403203;-9.180665;-9.165659;-8.498398;-8.943891;-9.027625
ZINC000253403062;-10.048956;-9.976892;-9.798309;-9.622663;-9.5085535
ZINC000253403405;-8.928491;-9.387873;-8.180813;-9.2481985;-9.139183
ZINC000253403670;-9.24957;-8.977084;-8.200508;-8.844639;-9.101903
ZINC000253403167;-9.941217;-9.651124;-9.710723;-9.464879;-9.335737
ZINC000253404327;-7.789764;-7.1639633;-7.046282;-7.576104;-7.684204
