name;01;02;03;04;05
ZINC000097982290;-9.46234;-9.31928;-8.243771;-9.88299;-9.42605
ZINC000102662797;-8.823513;-8.290214;-8.1633;-7.9957485;-7.4986587
ZINC000102662828;-9.782781;-8.405271;-8.789921;-9.697256;-8.210406
ZINC000102662801;-9.106845;-8.343492;-8.116331;-8.022562;-7.615218
ZINC000102662778;-9.395489;-8.066534;-8.641242;-9.096526;-7.772631
ZINC000102662775;-9.738426;-8.087074;-8.602517;-8.960546;-7.912615
ZINC000102662830;-9.50332;-8.385766;-8.812783;-9.750115;-8.101082
ZINC000097982460;-8.621763;-9.060235;-8.12773;-8.2745905;-8.657664
ZINC000097982543;-9.261998;-8.631367;-8.571503;-9.373224;-8.659741
ZINC000097982544;-9.240442;-8.661988;-8.5896;-9.374183;-8.664243
ZINC000008424336;-6.1660676;-7.58187;-7.150754;-7.220658;-6.814488
ZINC000008438251;-8.051888;-9.3462105;-8.677751;-8.737265;-9.593516
ZINC000102778399;-9.248552;-8.680014;-8.78163;-8.615511;-8.663545
ZINC000102778396;-8.861768;-8.2596;-8.705874;-8.891175;-8.65481
ZINC000098008106;-8.5843;-8.791344;-8.611454;-8.019361;-8.7888155
ZINC000098008996;-8.690489;-8.48093;-9.333513;-9.293403;-9.153986
ZINC000098008995;-8.733228;-8.47463;-9.3598385;-9.2903;-9.177874
ZINC000098009025;-8.83162;-8.246868;-8.232031;-7.647215;-9.027737
ZINC000098009030;-7.8182755;-8.191569;-8.3707;-7.753882;-8.251745
ZINC000098009044;-8.353616;-7.578628;-8.022621;-8.5255;-8.785929
ZINC000102851446;-8.382679;-10.560787;-9.524668;-9.628557;-9.618463
ZINC000102851443;-8.778359;-10.498831;-10.000972;-9.863609;-9.838894
ZINC000035894397;-8.583056;-9.430092;-8.547165;-8.373109;-9.447878
ZINC000035894399;-8.825179;-9.10813;-8.718301;-8.61352;-9.279611
ZINC000102873262;-7.830397;-8.495143;-8.135295;-7.9329233;-8.418976
ZINC000002399193;-8.393031;-8.628996;-7.7406926;-7.75834;-8.261196
ZINC000008684436;-9.708552;-9.389877;-9.295947;-9.510432;-9.432381
ZINC000008685584;-9.381341;-9.359207;-9.546377;-9.004405;-9.701401
ZINC000002414845;-9.058045;-8.926057;-7.8686733;-8.404277;-8.516876
ZINC000002415143;-8.4328375;-8.46084;-8.196915;-8.037672;-8.338703
ZINC000008685585;-9.721927;-9.926497;-9.718141;-8.892064;-9.697844
ZINC000002420999;-8.826469;-8.380309;-7.949053;-8.203857;-8.296709
ZINC000002424345;-8.810718;-8.447088;-7.7880254;-8.128831;-8.554719
ZINC000008687898;-8.010383;-7.594451;-7.601055;-8.193987;-7.8520856
ZINC000008687899;-7.7064614;-7.775662;-7.5700574;-7.284867;-7.765573
ZINC000002436991;-8.552046;-8.859805;-7.750347;-7.71412;-8.310442
ZINC000002440161;-8.176219;-8.951272;-8.020311;-8.002517;-8.4235525
ZINC000102918988;-8.254992;-7.4002514;-8.8493805;-8.559024;-8.266628
ZINC000102918273;-9.01264;-9.363338;-8.579449;-9.274195;-9.172623
ZINC000102921235;-8.651178;-8.499228;-9.159489;-9.401831;-9.0450325
ZINC000102921239;-8.651178;-8.499228;-9.159489;-9.401831;-9.0450325
ZINC000008856520;-8.936716;-8.621846;-8.746832;-8.653831;-8.738057
ZINC000230020784;-8.395901;-7.719577;-7.950773;-8.256781;-8.483315
ZINC000102970303;-9.176249;-8.024389;-8.759853;-8.889301;-7.8193784
ZINC000102970305;-9.442836;-8.03075;-8.759752;-8.759596;-7.9674816
ZINC000008995980;-8.84147;-7.610561;-7.942094;-7.58327;-8.160952
ZINC000100072801;-8.411537;-7.9618077;-7.903669;-8.695817;-7.63362
ZINC000022205681;-8.550465;-8.56853;-8.642502;-9.950424;-9.014582
ZINC000103007034;-8.649536;-8.798669;-9.193819;-9.069271;-9.797913
ZINC000103010490;-8.006395;-8.492094;-8.0364485;-8.272378;-8.323565
ZINC000524730447;-8.616239;-8.137953;-8.572815;-8.804226;-8.469224
ZINC000002876120;-7.453676;-8.015973;-7.2825327;-7.8079;-7.749029
ZINC000002877508;-7.558256;-8.299736;-7.8753514;-8.285278;-8.546568
ZINC000103018277;-8.579175;-8.609381;-8.287708;-8.634962;-9.039867
