name;01;02;03;04;05
ZINC000097982243;-9.285881;-9.358247;-8.913994;-9.279359;-9.382978
ZINC000097993911;-8.434612;-8.440313;-8.094732;-7.851107;-8.155826
ZINC000008819078;-9.246298;-8.596662;-8.109453;-8.186201;-8.122253
ZINC000408526298;-8.538937;-8.449875;-8.603958;-8.914794;-8.787591
ZINC000408526626;-9.688686;-8.060428;-8.194422;-8.8474;-9.282779
ZINC000408526564;-8.087956;-7.91077;-7.9949355;-8.554307;-8.311928
ZINC000408526651;-7.804656;-7.6109767;-8.211977;-8.628837;-8.168939
ZINC000408526849;-7.9518642;-8.283988;-8.293795;-9.043192;-8.527226
ZINC000408527489;-8.239439;-8.245187;-8.658574;-8.824635;-8.6322565
ZINC000408530068;-8.135353;-7.9066267;-8.330399;-8.647252;-8.40211
ZINC000408530957;-8.034982;-7.7845182;-8.410519;-8.122974;-8.686589
ZINC000102959466;-9.156675;-9.047998;-9.412387;-8.991073;-9.437612
ZINC000102964454;-7.666272;-8.298101;-8.434461;-7.998068;-8.683148
ZINC000408533619;-8.397263;-7.92479;-8.167751;-8.753926;-8.418902
ZINC000408534437;-8.173864;-7.659882;-8.085225;-8.822252;-8.207425
ZINC000230494644;-4.451146;-4.5575542;-4.9149127;-3.8211772;-4.6824102
ZINC000100035262;-9.030237;-8.155859;-8.652544;-7.4689407;-7.945008
ZINC000408537264;-8.3516445;-8.623935;-8.713007;-9.112048;-8.602415
ZINC000408538072;-8.003239;-7.8422117;-8.234351;-8.644038;-8.378647
ZINC000409124688;-7.293543;-8.022096;-6.9249716;-7.967537;-7.951569
ZINC000248059421;-5.640825;-6.504937;-6.679815;-7.1168084;-6.943781
ZINC000248059447;-5.8758097;-5.4450417;-5.6694417;-6.9447885;-6.1778703
ZINC000408928237;-6.4295135;-6.8871155;-6.634918;-6.325062;-6.797853
ZINC000408913725;-6.5165358;-6.7517753;-6.8220577;-6.5974035;-6.792466
ZINC000408878341;-8.80557;-8.268927;-7.8426213;-9.083561;-8.830442
ZINC000100273468;-9.013704;-9.127731;-8.989725;-8.723837;-8.971037
ZINC000253399127;-9.310122;-8.899113;-8.554048;-8.771273;-8.612769
