name;01;02;03;04;05
ZINC000097982283;-8.797285;-7.959036;-8.538523;-8.828176;-7.5383787
ZINC000097982580;-8.573779;-9.110677;-8.950388;-9.200922;-9.140021
ZINC000098007380;-8.772852;-8.038705;-8.296065;-8.676604;-9.129375
ZINC000098007379;-7.9864764;-7.5127487;-8.008267;-8.664808;-9.149697
ZINC000102778645;-8.349728;-8.529848;-7.833542;-8.278769;-8.63964
ZINC000098008104;-8.743278;-8.227958;-8.107245;-8.607027;-8.9303055
ZINC000098008893;-8.141837;-8.272697;-7.7546515;-8.162437;-8.159458
ZINC000102789088;-8.679837;-8.609408;-8.32564;-8.484294;-8.5287695
ZINC000098009019;-8.5219145;-8.104672;-8.138369;-7.8622627;-8.712789
ZINC000098009020;-10.261133;-10.042408;-10.243154;-10.323188;-10.672167
ZINC000098009021;-8.583245;-8.376873;-8.052933;-8.307495;-8.707094
ZINC000035870830;-10.2819195;-9.416704;-8.522855;-9.61456;-9.524503
ZINC000035870828;-9.964463;-9.797575;-8.624231;-9.3291855;-9.93594
ZINC000035870832;-10.079756;-9.921782;-8.648604;-9.279357;-9.651955
ZINC000035870834;-9.88968;-9.306489;-8.557712;-9.449082;-9.161663
ZINC000035926275;-8.962594;-9.295345;-8.976101;-9.304654;-9.712509
ZINC000035926529;-9.606321;-9.353251;-9.1938715;-9.479479;-9.906154
ZINC000002384878;-7.2591734;-7.482061;-7.0814123;-6.954445;-6.652363
ZINC000035960306;-9.7476425;-9.410091;-8.602566;-8.996111;-9.094627
ZINC000035960305;-9.419262;-9.42161;-8.482546;-8.779243;-9.328597
ZINC000002399481;-8.866025;-8.694932;-8.574586;-8.589449;-8.947693
ZINC000035965117;-10.0988;-9.764467;-9.303469;-10.254612;-9.931402
ZINC000035965123;-10.093588;-9.867185;-9.39789;-10.533639;-9.918646
ZINC000002410910;-8.599435;-8.996375;-8.324296;-8.250491;-8.332724
ZINC000008685488;-7.2420917;-8.359723;-7.51197;-7.9553967;-8.074914
ZINC000008687895;-7.5629387;-8.55228;-7.622939;-8.338266;-8.174498
ZINC000008687896;-7.1570897;-8.406966;-7.717903;-7.4956884;-8.124622
ZINC000008687930;-8.625265;-8.589107;-7.988949;-8.452238;-8.064222
ZINC000002428864;-9.017154;-8.615128;-7.868289;-8.361878;-8.215607
ZINC000002431947;-9.139991;-8.479509;-8.5266485;-8.428269;-9.002201
ZINC000008692336;-9.348909;-9.660967;-9.340208;-9.470139;-9.352321
ZINC000002437622;-9.552817;-8.369899;-8.537631;-8.078758;-8.690336
ZINC000035987624;-9.302966;-8.977222;-9.497181;-9.085045;-9.240307
ZINC000035987625;-9.413836;-9.286005;-9.423647;-8.975064;-9.289436
ZINC000035988386;-10.245215;-9.615802;-9.616229;-9.815456;-9.341653
ZINC000035988385;-10.07313;-9.535013;-9.544854;-9.890067;-9.330549
ZINC000002449240;-9.291359;-9.144511;-8.019464;-8.517885;-8.383814
ZINC000002546727;-9.952506;-9.73032;-9.036473;-9.187128;-10.195586
ZINC000102900944;-9.142069;-8.9995775;-8.182134;-8.652007;-7.844838
ZINC000102915224;-8.156228;-8.703009;-8.843931;-8.69153;-8.937396
ZINC000102923646;-10.22245;-11.257856;-9.6783695;-10.143712;-11.009685
ZINC000008818864;-9.695523;-10.075272;-9.110352;-9.503609;-9.413328
ZINC000008818863;-9.864165;-9.8047495;-9.2111845;-9.5929985;-9.505515
ZINC000229892891;-9.043218;-8.842298;-8.746065;-8.874151;-9.136322
ZINC000229892898;-8.827241;-8.126633;-9.053846;-8.962133;-9.358727
ZINC000102954732;-9.317106;-10.729274;-9.47236;-10.062227;-10.104153
ZINC000230038658;-8.610903;-8.008576;-8.75729;-8.263041;-9.25908
ZINC000230038926;-8.487133;-8.087004;-8.320861;-8.6677;-9.248782
ZINC000230038665;-8.691201;-8.297633;-8.632185;-8.331617;-9.502827
ZINC000230038922;-8.099109;-8.057734;-8.545184;-8.386694;-8.791661
ZINC000100027842;-8.288308;-9.0213375;-8.937955;-8.980097;-8.696095
ZINC000583646003;-8.590426;-9.569717;-9.745404;-9.4603195;-10.655925
ZINC000583645995;-8.715968;-9.433304;-9.752412;-9.297509;-10.5619
ZINC000002845300;-8.693043;-9.405416;-9.286968;-9.232316;-9.117046
ZINC000103004161;-7.8798494;-8.264975;-7.499009;-7.862029;-8.4018345
ZINC000103004165;-8.814991;-8.275988;-8.124945;-7.715961;-9.123102
ZINC000002865888;-7.7919016;-8.260519;-7.989951;-8.06838;-8.537476
ZINC000103010497;-8.411746;-8.552662;-8.132372;-8.464981;-8.44056
ZINC000103010494;-8.555519;-8.412933;-8.179344;-8.465972;-8.547927
ZINC000103012085;-9.149373;-9.294425;-9.124521;-8.954149;-9.159414
ZINC000002879453;-8.079952;-8.669112;-8.458767;-8.512503;-8.744659
ZINC000009209913;-9.421182;-8.9850445;-8.200201;-8.704067;-8.40087
ZINC000100116216;-11.580412;-11.2276325;-11.111572;-10.933611;-10.984263
ZINC000103038447;-8.100603;-8.593963;-8.411649;-8.533136;-7.975875
ZINC000102958281;-9.342794;-8.857107;-9.263792;-9.283526;-8.7326
ZINC000888105612;-8.998699;-9.963817;-9.34142;-8.9802265;-9.309079
ZINC000009281159;-9.0265465;-8.780308;-8.040294;-8.470942;-8.228037
ZINC000103050941;-9.449253;-8.982602;-8.632439;-9.155667;-9.163595
ZINC000009303044;-8.158044;-8.237413;-8.465664;-8.649119;-8.95367
ZINC000009303041;-8.231539;-8.706145;-8.6320095;-8.40738;-8.730086
ZINC000103056114;-9.500871;-9.071045;-9.250966;-10.115113;-8.989412
ZINC000103056003;-9.638865;-9.545368;-9.631797;-10.266525;-9.130768
ZINC000103061426;-10.059059;-9.371665;-9.127153;-8.174979;-9.428495
ZINC000103061443;-10.451061;-9.421641;-8.904394;-8.86687;-9.39853
ZINC000100191668;-8.799545;-8.038574;-7.8011913;-7.948428;-8.640828
ZINC000103066016;-8.802532;-9.478485;-9.054593;-9.239731;-9.161062
ZINC000103066014;-8.84354;-9.562904;-9.014993;-9.2482195;-9.218028
ZINC000100226161;-9.322098;-8.649051;-9.493675;-9.433645;-9.652852
ZINC000003009213;-8.47518;-8.22373;-7.82705;-8.448295;-8.105625
ZINC000248263965;-9.503275;-9.374731;-8.847172;-9.177888;-8.947405
ZINC000248263961;-9.747983;-9.410443;-8.520081;-9.591229;-8.89404
ZINC000009411424;-9.208453;-9.017106;-8.085943;-8.954995;-8.742985
ZINC000009411421;-8.7592;-8.839976;-7.8810043;-8.835724;-8.4639
ZINC000009411431;-9.024189;-8.943424;-8.181976;-8.716774;-8.509827
ZINC000038139361;-8.8765135;-8.450812;-8.328658;-8.705127;-9.439175
ZINC000009429852;-8.695735;-9.053042;-8.95059;-8.829006;-8.669657
ZINC000009429853;-8.247267;-9.173173;-8.825408;-8.751779;-8.619605
ZINC000003017089;-7.5966897;-8.059222;-7.544652;-7.9389353;-7.9821353
ZINC000003021639;-10.777466;-10.54656;-10.217186;-9.630077;-10.532166
ZINC000009446202;-8.596791;-7.515731;-8.859144;-8.055931;-8.084457
ZINC000103087376;-8.892489;-9.017686;-7.963634;-8.868556;-9.149252
ZINC000103087373;-9.282376;-9.022067;-8.112726;-8.604633;-8.913549
ZINC000103089085;-8.16777;-8.915577;-9.123059;-8.232025;-8.76027
ZINC000038152315;-8.423828;-8.12453;-8.071842;-8.545797;-8.953607
ZINC000038152361;-8.031292;-8.589149;-8.782005;-8.712021;-9.085535
ZINC000003044917;-8.347318;-7.9818807;-8.323631;-8.045797;-8.954289
ZINC000252670405;-9.488723;-10.0504265;-9.289326;-9.360858;-9.216881
ZINC000252670404;-9.533078;-10.3594475;-9.368063;-9.519675;-9.1195345
ZINC000009510762;-8.589536;-8.593295;-8.555227;-8.732819;-8.502467
ZINC000103101616;-8.536097;-8.995617;-8.082499;-8.218456;-8.608828
ZINC000103101621;-8.984019;-8.875698;-8.2309885;-8.209829;-8.329217
ZINC000103107116;-9.831856;-9.087604;-9.10188;-9.830019;-9.326362
ZINC000103107032;-9.466927;-9.084923;-8.732595;-9.797232;-8.991064
ZINC000103113253;-8.831946;-9.269062;-9.874227;-9.783497;-9.604448
