name;01;02;03;04;05
ZINC000097982512;-7.113291;-7.477593;-7.5974035;-7.0330086;-7.2625375
ZINC000035378904;-7.9410257;-8.622835;-8.140414;-8.350734;-8.203253
ZINC000035378905;-7.990047;-8.012344;-8.2471485;-7.815277;-7.654214
ZINC000035379222;-8.275568;-7.8607507;-8.473796;-8.130718;-7.896201
ZINC000035379223;-8.21068;-8.522225;-8.604928;-8.644624;-8.730464
ZINC000008445328;-7.7741704;-7.9649124;-7.2786922;-7.2906194;-7.938833
ZINC000008445329;-7.649983;-8.023618;-7.608032;-7.7441354;-7.3430324
ZINC000102798280;-10.333391;-9.425617;-9.766094;-8.7501955;-9.897169
ZINC000102839746;-8.343605;-8.722633;-7.816202;-7.836923;-8.311319
ZINC000008596521;-7.2414618;-8.299217;-7.823267;-7.433277;-7.717656
ZINC000002321520;-7.4653625;-6.611196;-5.8997035;-6.3366003;-6.7641873
ZINC000008598593;-8.028982;-7.7299724;-7.845131;-8.217614;-8.512634
ZINC000008598589;-8.668601;-8.401013;-8.324201;-8.371546;-8.585559
ZINC000008600984;-8.24176;-7.8634577;-7.4705586;-7.1385126;-7.8201823
ZINC000008604102;-8.77095;-8.4512825;-8.715848;-9.042027;-8.346296
ZINC000002348863;-8.998432;-7.880043;-8.206981;-7.569712;-7.7726135
ZINC000008608188;-7.6551676;-7.848315;-7.380331;-8.436653;-7.8950863
ZINC000035926448;-8.169176;-8.584564;-8.439056;-8.198968;-8.62542
ZINC000008609376;-8.310446;-8.214945;-8.5375805;-8.657136;-8.525667
ZINC000002376996;-8.141233;-7.9329157;-6.9816394;-7.5642123;-7.8658967
ZINC000035962891;-8.233938;-7.595169;-7.236562;-7.5785165;-8.212139
ZINC000035962889;-8.382523;-7.6696296;-7.2026577;-7.3127522;-8.000305
ZINC000035963539;-8.039274;-8.481902;-8.023898;-7.6561136;-8.284722
ZINC000035963537;-7.7990527;-8.900346;-8.161134;-7.734555;-8.229395
ZINC000035963543;-7.738003;-8.22165;-7.969456;-7.8774834;-8.635102
ZINC000035963541;-7.69868;-8.146893;-7.776227;-7.882854;-8.263211
ZINC000035963580;-8.0285015;-8.37389;-8.072215;-7.772929;-8.257747
ZINC000035963576;-8.231608;-8.507164;-7.362859;-7.69075;-7.85036
ZINC000035964000;-7.7576585;-7.6503634;-7.798809;-7.6942964;-8.402482
ZINC000035963998;-7.5686035;-7.7201223;-7.62;-7.3953857;-7.8302755
ZINC000035963994;-7.7771144;-7.771344;-7.9863777;-7.375251;-8.137677
ZINC000035963996;-8.168237;-8.254958;-8.176917;-7.450568;-8.110996
ZINC000035964067;-7.5470414;-7.76279;-7.142061;-7.277526;-8.020962
ZINC000035964065;-7.250803;-7.913203;-7.315861;-7.0916233;-7.678463
ZINC000002417322;-8.646956;-8.937697;-8.6156025;-8.279105;-9.147846
ZINC000002417320;-8.966996;-8.807269;-8.103714;-8.483996;-9.063706
ZINC000102909064;-9.584512;-9.38043;-9.044186;-8.96267;-8.662742
ZINC000008777603;-10.122351;-11.175165;-9.521049;-9.879121;-10.405789
ZINC000008777600;-10.05738;-11.062986;-9.509802;-9.919785;-10.394696
ZINC000102911566;-9.745483;-9.551665;-9.602315;-8.8106;-9.023717
ZINC000008777965;-9.126175;-10.271743;-8.796902;-9.13151;-8.973465
ZINC000008778005;-9.477946;-10.420548;-8.799008;-9.428725;-9.404034
ZINC000008778016;-9.004912;-10.053093;-8.629118;-9.376595;-9.418736
ZINC000008778003;-8.652582;-9.452261;-8.273428;-8.723811;-8.674899
ZINC000008778079;-9.117636;-10.454695;-8.607373;-9.571585;-9.389607
ZINC000102925553;-9.382531;-9.172187;-9.082455;-8.875747;-9.083742
ZINC000002712478;-8.684184;-8.551834;-8.356764;-8.813566;-8.191326
ZINC000008834859;-8.233797;-8.276363;-7.597597;-7.6320047;-8.327375
ZINC000008858064;-8.469682;-8.92156;-7.8997955;-7.831369;-7.8374376
