name;01;02;03;04;05
ZINC000102800657;-8.232316;-7.822236;-7.9894505;-7.7752466;-7.8059125
ZINC000102800707;-7.1132765;-6.331542;-6.1868324;-6.554552;-6.6933827
ZINC000102800705;-6.7071357;-7.318856;-6.4726796;-7.394987;-6.9437413
ZINC000102800659;-7.800434;-7.913047;-8.042268;-8.440626;-7.8924174
ZINC000102856386;-8.481838;-7.2736497;-7.3107586;-7.8952384;-7.496724
ZINC000102856383;-8.068531;-7.663447;-7.3413587;-7.728744;-7.544662
ZINC000102859749;-7.5133486;-7.9749403;-7.319647;-7.71249;-7.141153
ZINC000102859747;-7.9642234;-7.4710507;-7.7426805;-7.7448134;-7.188543
ZINC000102860244;-7.2584653;-6.9719925;-6.852798;-8.311954;-8.115943
ZINC000102860247;-8.659109;-8.721833;-8.279208;-9.030981;-8.426494
ZINC000102866766;-6.6811657;-7.4746246;-7.1703086;-6.8805475;-6.6652393
ZINC000102866764;-6.8147936;-6.7129774;-6.7477913;-7.1804924;-7.0707693
ZINC000102878816;-7.5300474;-6.899437;-7.277518;-7.433804;-7.7020793
ZINC000102878819;-7.9786553;-8.012575;-7.928485;-8.27755;-7.9435225
ZINC000102880135;-7.060848;-6.8959255;-5.9144926;-7.2993255;-7.410969
ZINC000102880137;-7.4974647;-8.024696;-6.9658327;-7.952837;-7.3458548
ZINC000102883267;-8.714902;-8.8972435;-8.325109;-9.066989;-8.582293
ZINC000102883265;-7.1190457;-7.2056627;-7.132815;-8.105835;-8.085006
ZINC000261493320;-7.8931274;-8.3136635;-8.153942;-7.871112;-8.40383
ZINC000261493321;-7.609387;-8.155245;-7.6765294;-7.2043014;-8.150031
ZINC000102884774;-7.634672;-7.561037;-7.4808483;-8.147895;-7.6709914
ZINC000102884772;-8.070258;-7.8090725;-7.99123;-7.3799224;-7.9440956
ZINC000102885475;-8.317119;-7.7905965;-8.041122;-7.478079;-7.732674
ZINC000102885477;-7.678968;-7.732775;-7.8057327;-8.215818;-7.853667
ZINC000102885954;-7.9191513;-8.346119;-8.260522;-7.892283;-8.072899
ZINC000102885951;-7.840588;-7.4079175;-8.048943;-7.865402;-7.8958926
ZINC000263585856;-7.1296444;-7.6298156;-7.055298;-6.952963;-7.9207087
ZINC000102888094;-7.5814285;-7.372401;-7.5703053;-8.056961;-7.6524954
ZINC000102888092;-8.178972;-7.4906344;-8.010043;-7.457475;-7.7027645
ZINC000102890888;-8.284115;-8.084566;-8.159015;-8.445759;-8.111221
ZINC000102890886;-8.295236;-7.5579677;-8.240007;-7.9930186;-8.085154
ZINC000102892784;-7.0047174;-6.668705;-6.818203;-7.289672;-6.9457607
ZINC000102892787;-6.9625034;-5.9411926;-6.5354056;-6.9358125;-6.806229
ZINC000098045127;-7.354732;-7.192707;-7.1743445;-7.2678633;-6.9626274
