name;01;02;03;04;05
ZINC000514287415;-9.057032;-9.155241;-9.170719;-9.143761;-9.2679405
ZINC000408738569;-7.900509;-7.983975;-8.307647;-7.61127;-7.604314
ZINC000034802301;-9.064694;-9.231336;-8.87023;-9.121506;-8.665813
ZINC000408834691;-8.89139;-8.856594;-8.825484;-8.408311;-8.619094
ZINC000408830080;-9.370445;-9.035345;-9.179122;-8.843666;-8.93213
ZINC000408932959;-8.926506;-8.882442;-9.12934;-8.602489;-8.312003
ZINC000408932961;-8.926506;-8.882442;-9.12934;-8.602489;-8.312003
ZINC000409017802;-8.914613;-9.021942;-8.67358;-8.40495;-8.470525
ZINC000409017951;-8.787736;-8.814714;-8.40986;-8.391708;-7.8291235
ZINC000409013549;-8.183927;-9.057117;-8.67159;-7.978941;-7.6679373
ZINC000409017797;-8.905033;-9.199669;-8.836075;-8.395975;-8.403294
ZINC000409018599;-8.5527315;-9.1902275;-9.089468;-8.311129;-8.059111
ZINC000409017954;-8.882084;-8.648423;-8.094196;-8.406302;-7.6327834
ZINC000409022063;-9.047242;-9.018282;-8.637373;-8.467724;-8.510064
ZINC000409021701;-8.747807;-8.339368;-8.019246;-8.0674095;-7.5481434
ZINC000409021702;-8.622407;-8.699151;-8.286361;-8.157008;-7.636738
ZINC000409019655;-9.122432;-9.142591;-8.722782;-8.625401;-8.672405
ZINC000409023839;-8.388555;-9.062623;-8.499707;-8.591104;-8.117477
ZINC000409018962;-8.94131;-9.122446;-8.529691;-8.506689;-8.464961
ZINC000409019660;-9.122432;-9.142591;-8.722782;-8.625401;-8.672405
ZINC000409018960;-8.8537035;-9.08353;-8.788849;-8.500603;-8.384324
ZINC000409023841;-8.434128;-9.042788;-8.47896;-8.610255;-8.391619
ZINC000514289913;-7.4963226;-8.246746;-7.3207555;-7.644503;-8.097752
ZINC000409039399;-8.893497;-9.691682;-9.487628;-8.97598;-8.907873
ZINC000225748628;-9.316423;-9.018582;-8.76409;-9.117037;-9.079581
ZINC000098006116;-6.6153374;-8.105169;-7.7870803;-7.6604304;-7.5444155
ZINC000098006115;-6.9582396;-8.664978;-7.708766;-7.7255483;-7.5406566
ZINC000585280646;-8.282852;-7.8245687;-7.9276695;-8.011713;-7.738568
ZINC000585280647;-8.122572;-7.9761014;-7.7540083;-7.6525555;-7.743564
ZINC000585279740;-7.710576;-7.472537;-8.021653;-7.443397;-7.840497
ZINC000585279735;-8.045762;-7.507201;-8.155686;-7.8477592;-7.7286243
ZINC000585281302;-9.680472;-9.10417;-8.2172785;-8.735046;-8.303614
ZINC000585294158;-8.001814;-7.7350097;-7.6240196;-7.2323694;-7.7947273
ZINC000585294986;-8.867897;-8.811272;-8.461155;-8.157471;-8.55913
ZINC000008254081;-9.18762;-9.458958;-8.487712;-8.294382;-8.603916
