name;01;02;03;04;05
ZINC000514287415;-9.451372;-9.204663;-9.908783;-8.991641;-9.3290615
ZINC000008254027;-9.650954;-9.921837;-9.5390835;-8.339089;-9.160487
ZINC000514289913;-7.944669;-8.419362;-7.6260953;-7.558194;-8.5648775
ZINC000035415753;-8.770818;-7.959078;-8.442338;-8.18636;-8.334929
ZINC000584578339;-6.78264;-6.9233923;-6.5867977;-7.3834;-7.623072
ZINC000585270427;-8.4039135;-9.332031;-8.808796;-8.243929;-8.464897
ZINC000585270352;-7.2595787;-8.329912;-7.207116;-7.4817324;-8.036924
ZINC000585270349;-7.659213;-8.152945;-7.1864004;-7.6472154;-8.095209
ZINC000585271087;-7.0778975;-7.7003536;-7.733253;-7.1672163;-7.32235
ZINC000585274791;-8.732038;-8.727938;-8.669057;-8.083174;-7.9819098
ZINC000585274792;-8.492941;-8.00818;-8.116699;-7.8110886;-8.271839
ZINC000585274818;-7.966664;-7.402376;-7.0867114;-6.983268;-6.8362617
ZINC000585274819;-7.7447805;-6.866084;-7.7073703;-6.9004;-6.6970887
ZINC000585274827;-8.278585;-7.960343;-8.055557;-6.9863396;-7.425508
ZINC000585274883;-8.782642;-9.2631855;-8.780508;-8.152891;-8.054446
ZINC000585274884;-8.436439;-8.726591;-8.760267;-7.7820415;-8.014053
ZINC000585274518;-8.9272785;-9.079726;-8.843625;-7.9528265;-7.956909
ZINC000585274519;-8.445795;-8.657563;-8.64853;-7.6381984;-7.9234533
ZINC000585272011;-8.494164;-8.512645;-8.034713;-8.225285;-8.3366165
ZINC000585272016;-8.329778;-8.42277;-8.373977;-7.9756513;-8.162569
ZINC000098005914;-8.474574;-8.540717;-8.201955;-8.765099;-8.344654
ZINC000098005910;-9.214536;-9.549158;-8.752804;-9.127302;-8.939212
ZINC000098005909;-9.389295;-9.60612;-9.383572;-8.933285;-9.5375
ZINC000098005913;-8.997227;-8.609843;-8.833939;-9.07717;-8.376519
ZINC000585273355;-8.597946;-9.065311;-8.476284;-7.916833;-8.082159
ZINC000585273356;-8.085544;-8.561441;-8.32739;-7.5321026;-8.10099
ZINC000098006116;-6.164154;-8.012097;-8.228532;-7.4869866;-7.2211485
ZINC000098006115;-6.68434;-8.670213;-7.828254;-7.9021277;-7.3478127
ZINC000585278785;-8.352006;-8.705905;-8.343986;-7.7605658;-8.365927
ZINC000585278781;-8.829548;-9.149972;-8.607657;-8.019831;-8.273993
ZINC000585275139;-8.472241;-8.578844;-8.56546;-7.6208115;-7.8131285
ZINC000585280646;-8.395042;-7.743919;-8.4897175;-7.807623;-7.7859974
ZINC000585280647;-8.294238;-7.749713;-8.236618;-7.534603;-7.7374086
ZINC000585280997;-8.860965;-8.430502;-8.588977;-7.575164;-8.209789
ZINC000585280995;-8.898021;-8.670944;-8.816377;-8.03039;-7.983425
ZINC000585281807;-7.2793427;-7.7632256;-8.044963;-5.9857006;-6.9302273
ZINC000585281808;-7.2809286;-8.0757065;-8.482592;-6.697317;-6.9037895
ZINC000585279740;-8.0255375;-7.1256137;-8.509191;-7.4297967;-7.940403
ZINC000585279735;-7.986581;-7.051096;-8.742839;-7.484419;-8.077788
ZINC000585279724;-8.686799;-8.901469;-8.762608;-8.026323;-8.280811
ZINC000585279732;-9.017287;-9.359424;-8.893673;-8.258488;-8.265357
ZINC000585281281;-9.276584;-8.695452;-9.096431;-8.14758;-7.9874196
ZINC000585281283;-9.074455;-8.581004;-8.880731;-7.631041;-8.126831
ZINC000585284349;-8.108444;-8.120231;-7.9091196;-7.033435;-8.269004
ZINC000585284347;-8.137286;-8.230626;-8.327118;-7.464079;-7.8320208
ZINC000585281302;-9.362718;-8.383095;-8.589941;-8.494208;-8.394314
ZINC000585282013;-8.109283;-8.27257;-8.415408;-6.979982;-7.178357
ZINC000585282000;-8.439546;-8.370602;-7.7024803;-6.7229996;-8.19898
ZINC000585282012;-7.8993864;-8.119003;-8.040102;-6.2912383;-7.0236173
ZINC000585281999;-8.64845;-8.383532;-8.45083;-7.160609;-7.806304
ZINC000585283734;-8.592224;-8.493234;-8.6664295;-7.803418;-7.76765
ZINC000585283735;-8.57196;-8.248666;-8.149656;-7.2923555;-8.232673
ZINC000585283062;-7.67509;-7.99998;-7.8443584;-6.082941;-6.8377295
ZINC000585283063;-7.666034;-7.91426;-8.293072;-6.7888417;-7.065171
ZINC000585287581;-8.082423;-8.237751;-9.137144;-7.4396243;-7.934495
ZINC000585287582;-8.149274;-7.7023005;-8.703052;-7.3802915;-7.662054
ZINC000585287232;-8.710434;-8.528807;-7.9238935;-6.9116025;-8.00383
ZINC000585287222;-6.989295;-8.218344;-8.282879;-7.8123326;-8.112951
ZINC000585287223;-7.726292;-7.737225;-8.627102;-7.822031;-7.8721
ZINC000585287234;-8.540284;-8.567754;-8.209727;-7.4686294;-8.001515
ZINC000585286790;-9.8886385;-9.6393585;-10.147446;-9.26192;-9.369159
ZINC000585286772;-8.796773;-8.640656;-8.34602;-7.3923187;-8.007021
ZINC000585286786;-9.81086;-10.437212;-9.405859;-9.3182335;-9.45808
ZINC000585286770;-8.81625;-8.586385;-7.99997;-6.938862;-7.997226
ZINC000585286720;-9.619736;-10.339177;-9.360336;-9.100704;-9.486643
ZINC000585294158;-8.601362;-8.101147;-7.4495115;-7.5290966;-7.917933
ZINC000585288094;-8.85887;-8.474806;-8.016259;-6.8681316;-7.8751726
ZINC000585286725;-9.648046;-9.577349;-9.756376;-9.326021;-9.405514
ZINC000585294986;-9.210937;-9.267262;-8.341009;-8.1232195;-8.66991
ZINC000585288095;-8.752808;-8.654837;-8.263506;-7.3319526;-7.91038
ZINC000008254081;-8.764946;-9.189728;-8.57653;-8.09218;-8.443347
ZINC000261184439;-7.9243445;-7.8274565;-7.6463184;-7.560544;-8.650904
ZINC000261362879;-11.823666;-10.909083;-10.318075;-10.526738;-10.433391
ZINC000299818020;-8.174689;-8.262255;-8.4123745;-8.15918;-8.1571245
ZINC000299818022;-9.317475;-8.590234;-9.487576;-8.336567;-9.373252
ZINC000299818021;-9.415418;-9.124253;-9.410056;-8.659413;-9.379539
ZINC000301055156;-8.172532;-7.515313;-7.668165;-7.5353065;-8.718992
ZINC000301055157;-8.381518;-7.7749157;-7.7983193;-7.274222;-8.460753
ZINC000301055158;-7.6316466;-7.7446976;-7.6131077;-7.3790717;-8.58162
ZINC000008869059;-7.2393537;-8.485207;-8.536099;-7.552696;-8.023232
ZINC000008869060;-7.6316752;-7.681044;-8.619706;-7.8759017;-7.8657618
ZINC000100069762;-8.771845;-8.677828;-7.6555705;-8.157679;-8.245674
ZINC000100086904;-9.439208;-8.224091;-8.831118;-8.936522;-8.884454
ZINC000008635629;-8.925526;-9.707835;-9.043185;-8.916232;-8.562933
ZINC000100130529;-7.7392993;-8.453846;-8.320546;-8.522399;-8.160104
ZINC000100130532;-6.8529224;-8.28853;-8.19916;-8.445442;-8.032314
ZINC000100158912;-7.4516964;-8.0932;-8.913996;-8.511951;-7.804302
ZINC000100158906;-7.235178;-7.943855;-7.939493;-8.0421295;-8.056824
ZINC000100193604;-8.188627;-8.582907;-8.298103;-8.631096;-8.172842
ZINC000100193612;-7.7742214;-8.472597;-9.138284;-9.031705;-8.093507
ZINC000408575398;-8.032945;-7.6331344;-7.8376927;-7.3351293;-8.037594
