name;01;02;03;04;05
ZINC000514291081;-8.716214;-8.890408;-8.91686;-8.204763;-8.938564
ZINC000514291084;-8.594906;-8.782518;-9.213666;-7.874399;-9.051285
ZINC000514291078;-8.728379;-7.970272;-8.114156;-8.583735;-8.815976
ZINC000514291080;-8.441757;-8.127693;-8.664572;-8.38627;-8.291176
ZINC000514293220;-8.850857;-9.682719;-8.521439;-8.514793;-9.452712
ZINC000514292716;-8.514868;-9.364276;-7.982674;-8.477104;-8.343901
ZINC000514292717;-8.458667;-9.285126;-7.923745;-8.534457;-8.382912
ZINC000514294077;-7.7900667;-7.98427;-7.3591194;-7.761905;-7.859934
ZINC000514294081;-7.3768134;-8.137435;-8.4120035;-8.093748;-7.8156796
ZINC000514294103;-7.902663;-8.460222;-7.485521;-7.7467713;-6.9036484
ZINC000514294102;-7.916689;-7.9426994;-7.3235173;-7.888871;-7.6972075
ZINC000514295087;-8.6652975;-9.250667;-8.644301;-8.487127;-8.677202
ZINC000514295089;-7.963337;-7.9811864;-8.6375;-8.327402;-8.0641165
ZINC000514295200;-8.832664;-9.856096;-8.679074;-8.5758095;-8.934858
ZINC000514295202;-8.731691;-9.787266;-8.418559;-8.700874;-8.943237
ZINC000514295239;-6.613349;-7.1878242;-7.24046;-7.6550746;-6.384634
ZINC000514295256;-7.9333324;-8.946224;-9.333146;-8.408809;-8.503355
ZINC000514295241;-7.3190546;-7.822646;-7.563604;-7.939187;-7.1157384
ZINC000514296212;-6.360697;-7.2486844;-6.888254;-7.246523;-7.0018463
ZINC000514295929;-6.844148;-7.7592525;-7.882223;-7.8507113;-7.449084
ZINC000514295927;-6.948995;-7.589258;-7.4912558;-7.6143894;-6.8568935
ZINC000514295978;-9.862059;-9.556042;-9.03313;-8.9368925;-8.601639
ZINC000514295901;-6.964229;-7.528953;-7.3423805;-7.0943475;-6.4324965
ZINC000514295904;-7.5177364;-8.021988;-7.627033;-7.283166;-7.20836
ZINC000514295699;-8.874663;-9.199643;-8.551115;-8.509811;-8.182756
ZINC000514297044;-8.561527;-9.73806;-8.152762;-8.607884;-9.142096
ZINC000514297046;-8.4429245;-9.422183;-8.73625;-8.125177;-8.072915
ZINC000514296834;-7.0804963;-7.543804;-8.031393;-7.521636;-7.1876974
ZINC000514296826;-6.8487096;-7.227127;-7.157381;-7.0451202;-6.538189
ZINC000514296832;-6.833579;-7.7495885;-7.4544144;-7.3343534;-7.172354
ZINC000514296833;-7.469407;-7.356371;-7.622729;-7.703551;-6.7642474
ZINC000514296751;-7.287835;-8.640028;-7.7989388;-8.246816;-8.513517
ZINC000514296689;-8.498543;-9.21114;-8.261479;-8.055411;-8.335398
ZINC000514296671;-8.05302;-8.379821;-8.66267;-8.087298;-8.353005
ZINC000514296694;-8.50778;-9.293294;-8.343474;-7.935027;-8.386248
ZINC000514296394;-8.72091;-9.373504;-8.818606;-8.380882;-8.386265
ZINC000514296426;-9.829097;-9.17845;-9.698374;-9.740181;-9.138355
ZINC000514297284;-8.962282;-9.010195;-8.35219;-8.310522;-8.266986
ZINC000514297308;-8.552102;-9.1213455;-7.6539626;-7.9918203;-7.6575284
ZINC000514297304;-8.105464;-7.963377;-8.577498;-8.161676;-8.313845
ZINC000514297307;-8.304729;-7.4607167;-8.302902;-8.050034;-8.069625
ZINC000514297311;-7.9816675;-8.202376;-8.207138;-8.002309;-7.863641
ZINC000514298158;-7.846613;-7.085352;-7.3839664;-7.2351356;-6.679852
ZINC000514298162;-7.4944453;-7.4821815;-7.584036;-7.1777525;-7.0526066
ZINC000514297820;-6.53481;-6.219491;-6.7924953;-7.391035;-6.5410824
ZINC000514298278;-7.498579;-7.9837117;-8.063449;-8.47989;-8.662719
ZINC000514298277;-7.7945986;-8.49588;-8.274008;-8.540599;-8.947339
ZINC000514298276;-7.752174;-8.43259;-7.7271905;-8.4260025;-9.027212
ZINC000514298087;-7.203446;-7.784689;-7.688349;-7.793333;-7.823402
ZINC000514297824;-7.5238266;-7.3347096;-7.169115;-7.515281;-7.094333
ZINC000514297851;-8.487122;-8.753254;-8.47602;-8.608609;-8.587324
ZINC000514297848;-5.798237;-6.6550894;-7.2563024;-6.6149755;-6.606225
ZINC000514297850;-8.423822;-8.717624;-8.397694;-8.6709385;-8.621846
ZINC000514297853;-6.220176;-7.150949;-7.4405003;-6.443986;-6.5179186
ZINC000514297879;-7.8569884;-9.146054;-8.625471;-8.52972;-8.16351
ZINC000514300543;-8.958067;-9.358671;-8.737698;-8.593324;-8.30659
ZINC000514299284;-8.065645;-8.606116;-8.864989;-8.628136;-8.529596
ZINC000514299276;-6.820172;-7.789417;-7.25875;-7.26303;-7.279339
ZINC000514299274;-8.258903;-8.698721;-9.101724;-8.346441;-8.438318
ZINC000514299275;-7.638819;-8.408142;-7.754348;-7.5021152;-7.0072227
ZINC000514299269;-7.8201118;-8.348626;-8.415361;-8.274875;-8.296387
ZINC000514298869;-7.991862;-7.530789;-8.451853;-7.3447256;-7.3693886
ZINC000514298615;-8.423019;-7.822219;-8.374207;-7.8516726;-7.3841376
ZINC000514299312;-7.857397;-7.928648;-8.686132;-7.717677;-8.011888
ZINC000514299782;-8.404636;-8.455368;-7.2621865;-8.165119;-8.121408
ZINC000514299791;-8.410621;-8.204937;-8.414029;-8.5138;-8.398762
