name;01;02;03;04;05
ZINC000514380950;-7.5039783;-7.817913;-7.1866407;-7.5163403;-7.351738
ZINC000027164527;-8.19198;-8.553148;-8.876379;-8.982149;-8.276089
ZINC000027164567;-8.213673;-8.5807705;-8.682834;-8.674686;-8.318291
ZINC000514291081;-8.950485;-9.063759;-9.2301;-8.563529;-8.902811
ZINC000514291084;-8.94168;-9.08195;-9.562535;-8.660004;-8.969494
ZINC000514291078;-8.993043;-8.394678;-8.727506;-8.959332;-9.223541
ZINC000514291080;-8.94785;-8.367838;-8.789603;-8.944608;-9.184783
ZINC000514290989;-9.108976;-9.420818;-8.906392;-9.783672;-9.482624
ZINC000514290985;-9.734337;-9.394864;-9.465983;-9.600402;-9.577949
ZINC000514293227;-8.563017;-7.5900908;-7.60746;-8.228992;-8.153654
ZINC000514293226;-8.814387;-7.747727;-7.4681478;-8.248681;-8.227747
ZINC000514293220;-9.1124115;-9.964007;-8.8107195;-8.706145;-9.399405
ZINC000514293112;-8.646963;-9.364266;-8.817447;-9.11659;-8.9580145
ZINC000514293111;-8.987084;-9.579252;-8.725472;-8.870873;-8.918376
ZINC000514293044;-10.247254;-9.778999;-9.385565;-9.425179;-9.389457
ZINC000514292716;-8.491041;-9.46037;-8.317362;-8.920866;-8.270327
ZINC000514292717;-8.483791;-9.542479;-8.208004;-8.9921055;-8.38637
ZINC000514300646;-8.635295;-9.3612;-9.208318;-9.339647;-9.226407
ZINC000514293619;-8.632745;-9.155367;-8.110592;-8.872802;-8.146496
ZINC000514293620;-8.703165;-9.32144;-8.499729;-8.829558;-9.095777
ZINC000514293581;-7.7246346;-7.4564;-8.407667;-7.6800027;-7.8028526
ZINC000514294077;-8.0449705;-8.576878;-7.983532;-8.456236;-8.360792
ZINC000514294081;-7.925675;-8.776831;-9.057335;-8.772069;-8.35096
ZINC000514294103;-9.061974;-8.829653;-8.151537;-8.750486;-8.662662
ZINC000514294102;-8.687848;-8.56626;-8.008287;-8.568513;-8.33266
ZINC000514293908;-9.3060055;-9.5665655;-7.754442;-9.08444;-8.944601
ZINC000514293910;-9.253715;-9.649141;-7.758275;-9.1317;-9.009598
ZINC000514295087;-8.618231;-9.522055;-8.748854;-8.68465;-8.72113
ZINC000514295089;-7.9951177;-8.5096855;-8.791668;-8.39638;-8.091285
ZINC000514295200;-8.993787;-10.276605;-8.939699;-8.912885;-9.134976
ZINC000514295202;-8.925638;-10.362663;-8.61359;-9.040109;-9.140937
ZINC000514295256;-8.102389;-9.36485;-9.675204;-8.68917;-8.586792
ZINC000514295699;-8.952656;-9.5871105;-8.808825;-8.811335;-8.3076515
ZINC000514297081;-8.829317;-8.608395;-7.7663264;-8.407024;-8.642065
ZINC000514296751;-7.6672544;-9.262666;-8.306487;-8.852989;-9.028498
ZINC000514296689;-8.624289;-9.498663;-8.473245;-8.3469305;-8.426953
ZINC000514296671;-8.041203;-8.843236;-8.880207;-8.174185;-8.41425
ZINC000514296694;-8.59573;-9.421307;-8.551446;-8.259269;-8.432063
ZINC000514296394;-8.631119;-9.82447;-9.122992;-8.592794;-8.518831
ZINC000514296428;-8.504061;-8.810612;-7.806718;-8.643902;-8.234721
ZINC000514297284;-9.021318;-9.374214;-8.548627;-8.585002;-8.38951
ZINC000514297308;-8.241018;-8.4641905;-8.247053;-8.161944;-7.726452
ZINC000514297311;-8.17374;-8.354098;-8.134471;-7.848606;-7.7874517
ZINC000514298087;-7.6103477;-8.3978615;-8.25907;-8.488139;-8.40479
ZINC000514297879;-7.9956665;-9.615374;-8.89844;-8.665578;-8.208218
ZINC000514300543;-8.969147;-9.833641;-8.871903;-8.894024;-8.43008
ZINC000514299284;-8.373295;-8.832819;-9.044971;-8.91445;-8.889073
ZINC000514299274;-8.900564;-9.448028;-9.522386;-8.9794855;-8.813234
ZINC000514299269;-7.8820343;-8.816634;-8.650679;-8.415778;-8.380712
ZINC000514298869;-8.290496;-8.16653;-9.14694;-8.143346;-8.030113
ZINC000514298615;-8.661373;-8.183872;-8.492973;-8.379459;-7.5655203
ZINC000514299312;-8.049483;-8.181248;-8.879058;-8.164973;-8.145662
ZINC000514299782;-8.98507;-8.975187;-7.9577117;-8.65142;-8.549152
ZINC000514299783;-9.217728;-8.885121;-8.034295;-8.760761;-8.663543
ZINC000514299706;-8.605132;-9.2137985;-9.212396;-8.684036;-8.948498
ZINC000514299578;-8.967058;-9.752758;-9.05557;-8.665706;-8.488152
ZINC001164715924;-8.186433;-9.046015;-8.449704;-7.74807;-8.077064
ZINC001164715925;-8.975721;-8.178656;-7.7528524;-8.074517;-7.9879003
ZINC000514301158;-8.376206;-8.8341675;-8.027155;-8.386154;-7.7824593
ZINC000514300952;-8.125553;-7.8996735;-7.850693;-8.019657;-7.875628
ZINC000514300940;-9.067042;-9.342627;-9.379762;-8.941919;-9.136349
ZINC000514300830;-9.273535;-9.102854;-8.7307825;-8.711835;-8.135023
ZINC001164717675;-8.14186;-8.151575;-8.70999;-8.701962;-8.164703
ZINC001164717677;-7.9592714;-7.7769747;-7.6333685;-8.113495;-8.1697235
ZINC000514291221;-8.032827;-8.877621;-9.030498;-8.941669;-8.982383
ZINC000514291592;-9.246773;-8.842103;-8.235888;-9.25316;-9.066753
ZINC000514292260;-8.882431;-9.872812;-8.99314;-8.932235;-9.341348
ZINC000514302660;-8.373357;-9.565203;-9.48066;-9.1842985;-8.987151
ZINC000514303057;-10.056057;-9.629608;-8.263909;-9.278296;-9.143358
ZINC000514303058;-10.099655;-9.768742;-8.339683;-9.417261;-9.182951
ZINC000514302680;-9.9434;-9.993555;-9.15931;-9.269511;-9.907106
ZINC000514302666;-8.976023;-8.696502;-7.812064;-8.9242;-8.984706
ZINC000514302667;-8.991147;-8.6617565;-7.827898;-8.928487;-8.960622
ZINC000514302673;-9.138206;-8.3934965;-8.2617235;-8.671838;-8.38368
ZINC000514303081;-9.367674;-8.894285;-8.230156;-8.185707;-8.062119
ZINC000514303082;-8.987721;-8.993474;-8.109686;-7.996993;-8.438998
ZINC000514303837;-10.76892;-10.8239;-10.6885395;-10.966097;-10.651727
ZINC000514303374;-8.641799;-8.810333;-7.639092;-8.323955;-8.582619
ZINC000514303373;-8.248535;-8.825525;-7.753185;-8.328799;-8.358116
ZINC000514303371;-8.35089;-8.855088;-7.771661;-8.169587;-8.405783
ZINC000514303372;-8.431073;-8.882873;-7.8313136;-8.257387;-8.341107
ZINC000514300430;-8.126488;-9.590819;-9.4771185;-8.53677;-8.622815
ZINC000514300364;-8.131895;-9.338419;-8.697375;-7.8893394;-7.9712
ZINC000514381080;-8.0377445;-6.3254724;-8.0989685;-7.7883615;-7.586751
ZINC000514381081;-7.8586664;-6.807188;-8.032736;-8.45273;-7.460981
ZINC000514381082;-7.670825;-6.6793633;-8.017889;-8.433921;-7.3545327
ZINC000514381083;-7.4877415;-6.486857;-7.692613;-7.655157;-7.271657
ZINC000514380697;-9.47177;-10.07102;-10.065404;-9.546494;-9.370626
ZINC000514380698;-9.345378;-10.152734;-10.211762;-9.593384;-9.699984
ZINC000514380637;-8.419933;-9.37563;-8.579412;-8.506578;-8.17177
ZINC000514380572;-9.285405;-9.817757;-9.414328;-8.907454;-8.851889
ZINC000514380553;-9.385924;-9.904638;-10.027691;-9.934404;-9.707482
ZINC000514380534;-8.109758;-8.705322;-8.520381;-7.7485027;-7.496472
ZINC000514374509;-9.35771;-9.154467;-8.35128;-9.090826;-9.17734
ZINC000514377252;-8.714249;-8.837896;-9.409024;-9.314667;-9.766798
ZINC000514377251;-8.701556;-8.728664;-9.352364;-9.273296;-9.670061
ZINC000514377313;-8.462547;-9.609217;-7.57905;-8.437632;-8.588061
ZINC000514377314;-8.36154;-9.289383;-7.4731317;-8.381229;-8.703035
ZINC000514377109;-8.545793;-8.502032;-8.719089;-8.890342;-8.576536
ZINC000514377054;-8.628623;-8.99492;-8.856668;-8.7880125;-8.03379
ZINC000514377053;-8.757674;-9.32547;-8.777378;-8.743809;-8.336442
ZINC000514377055;-8.462033;-8.988667;-8.930598;-8.537805;-8.150788
ZINC000514376853;-8.322005;-8.475273;-8.74535;-8.292039;-8.859632
ZINC000514376639;-8.137462;-10.299774;-8.2183895;-8.942093;-8.672036
ZINC000514376644;-8.23769;-9.823544;-8.312422;-8.825475;-8.430752
ZINC000514377383;-7.8024526;-9.244789;-7.592431;-8.786798;-8.829962
ZINC000514377382;-8.085654;-9.105801;-7.6756825;-8.935845;-8.884416
