name;01;02;03;04;05
ZINC000015356744;-8.0951605;-7.6527863;-8.63788;-7.7147884;-7.8664064
ZINC001149978544;-8.627673;-8.552016;-8.90913;-8.413601;-8.993952
ZINC001149978543;-8.489847;-8.516535;-8.620777;-8.390722;-9.101186
ZINC001155728119;-7.9418545;-9.292141;-7.9901977;-7.6600003;-9.217238
ZINC001159626479;-9.195241;-9.782627;-9.555479;-9.72672;-8.5812435
ZINC000514291263;-8.099974;-8.529022;-7.7134213;-8.269022;-7.8604507
ZINC000514291262;-7.9073644;-7.633022;-8.671366;-8.376836;-7.8615866
ZINC000514293825;-8.095865;-8.40877;-8.168067;-9.150014;-8.386527
ZINC000514293826;-8.165719;-8.755931;-8.96678;-8.709467;-8.131008
ZINC000514293658;-8.34433;-7.9190392;-6.9020286;-7.860264;-8.355164
ZINC000514293657;-7.9363966;-7.7729197;-7.775225;-7.780962;-7.542912
ZINC000514293480;-8.018433;-7.9520383;-7.981841;-7.720545;-7.8657923
ZINC000514293476;-8.109273;-8.296706;-7.9335666;-7.5058417;-7.847959
ZINC000514294142;-8.113125;-8.004602;-8.565003;-8.302482;-7.5769506
ZINC000514294143;-8.222715;-8.641584;-7.477946;-8.296505;-7.5713205
ZINC000514295280;-8.712604;-9.098061;-9.045784;-8.753796;-8.464281
ZINC000514295264;-9.281187;-9.4620905;-9.330253;-8.803779;-8.621143
ZINC000514295279;-8.799859;-9.555681;-9.440173;-8.886515;-8.73197
ZINC000514294740;-8.951789;-8.747861;-8.855735;-9.238497;-8.268652
ZINC000514294741;-8.561897;-8.605743;-8.992715;-9.151025;-8.439563
ZINC000514295284;-7.9698906;-7.3991046;-7.573809;-7.7473993;-7.7892494
ZINC000514296204;-8.1444025;-8.806672;-8.688213;-8.44401;-7.9656124
ZINC000514296208;-8.718587;-8.436626;-8.69534;-8.566963;-7.931913
ZINC000514296178;-9.149065;-9.165291;-7.8909864;-8.070847;-7.9563074
ZINC000514296094;-6.145092;-7.2649083;-6.9367027;-6.5239673;-6.7883615
ZINC000514295812;-8.478304;-8.648257;-8.725775;-9.323769;-8.114148
ZINC000514295809;-8.441146;-7.918027;-8.3658905;-8.402774;-7.9687424
ZINC000514295811;-8.40231;-7.886104;-8.435848;-8.572319;-7.9677944
ZINC000514295810;-8.184489;-8.091759;-7.8157377;-8.768539;-8.0053625
ZINC000514295913;-8.778376;-9.387103;-7.4482565;-8.376732;-8.404253
ZINC000514295911;-8.868557;-9.42253;-7.4865813;-8.355356;-8.364455
ZINC000514295530;-8.537199;-9.13085;-8.737157;-8.892151;-8.767351
ZINC000514295526;-8.466949;-9.085232;-8.664952;-8.926216;-8.819122
ZINC000514295588;-9.203915;-8.489481;-9.015897;-8.9747715;-8.515329
ZINC000514297213;-10.117633;-9.4853;-10.002636;-10.323475;-9.46742
ZINC000514297209;-9.986494;-9.510723;-10.05806;-10.170913;-9.500996
ZINC000514297210;-9.5591135;-9.297554;-10.151123;-10.115177;-9.395488
ZINC000514297212;-9.588152;-9.345115;-10.061033;-10.270346;-9.439096
ZINC000514297233;-7.8332458;-8.239922;-7.5936975;-7.8134513;-8.17351
ZINC000514296987;-6.8763924;-7.016679;-7.6682954;-7.1749554;-7.2147183
ZINC000514296806;-7.407282;-8.093132;-7.5932302;-7.498938;-7.4191504
ZINC000514296810;-7.1749187;-7.8049583;-7.350662;-7.241231;-6.617875
ZINC000514296693;-8.964296;-8.760116;-6.947643;-8.898901;-8.618113
ZINC000514296698;-7.2229233;-7.024552;-6.9627657;-7.0591836;-6.2231016
ZINC000514296695;-9.009684;-8.964199;-7.9274077;-8.466148;-8.585956
ZINC000514296450;-7.7354164;-8.149666;-7.951532;-7.6242313;-7.6204844
