name;01;02;03;04;05
ZINC000728558761;-8.256642;-7.902041;-8.0878725;-8.269617;-8.077889
ZINC000728558327;-7.5484023;-7.923792;-7.868881;-8.284954;-8.078813
ZINC000728558315;-8.375963;-7.6829324;-7.957128;-8.085555;-8.013732
ZINC000514291062;-9.8829;-10.266184;-10.285286;-10.380093;-10.492859
ZINC000514290988;-9.557569;-8.976663;-8.950388;-7.9087706;-8.539333
ZINC000514291058;-10.05445;-10.530537;-10.601767;-10.3321905;-10.52058
ZINC000514293251;-9.528511;-9.718599;-10.0418825;-9.277315;-8.900145
ZINC000514293258;-11.063974;-10.202819;-10.010295;-10.348485;-9.9722
ZINC000514293255;-10.896137;-10.276829;-9.879573;-10.215566;-10.008896
ZINC000514293256;-10.17239;-10.013322;-10.732042;-10.357946;-10.08877
ZINC000514293257;-10.2023735;-10.067827;-10.591307;-10.239438;-10.126784
ZINC000514293063;-10.644098;-10.234236;-9.741049;-9.7378025;-9.524813
ZINC000514292899;-8.413136;-8.779978;-9.247715;-8.529004;-8.621235
ZINC000514292865;-7.7519035;-7.648936;-8.631748;-7.7117925;-7.8194423
ZINC000514292820;-9.437559;-8.731059;-9.957501;-8.586023;-8.571424
ZINC000514292850;-9.11216;-8.347673;-9.421519;-8.657255;-9.391
ZINC000514292905;-8.961419;-9.4126;-9.22954;-9.494501;-9.135481
ZINC000514292930;-10.004037;-10.540619;-9.988085;-9.637827;-10.017511
ZINC000514292848;-8.8109045;-8.102709;-9.7729;-8.011913;-9.294031
ZINC000514292922;-9.957827;-10.65601;-9.856301;-10.023821;-10.007488
ZINC000514292825;-9.256332;-8.744919;-9.855235;-8.70668;-8.525116
ZINC000514292903;-8.32714;-8.484664;-9.076812;-8.632604;-8.502591
ZINC000514292782;-8.170506;-8.28035;-9.135819;-8.54915;-8.168165
ZINC000514292661;-8.697836;-9.651007;-8.323538;-8.234256;-8.421814
ZINC000514292781;-8.172791;-8.249111;-9.161083;-8.585469;-8.211216
ZINC000514292569;-8.278864;-7.764216;-7.607086;-8.0070305;-7.8262177
ZINC000514292631;-9.035824;-9.758167;-9.488568;-9.672221;-9.319371
ZINC000514292628;-9.1625805;-9.732914;-9.459334;-9.485375;-9.331949
ZINC000514292504;-9.3326645;-8.272678;-8.352539;-8.85831;-8.705389
ZINC000514292485;-7.760897;-10.097679;-8.811706;-9.310678;-8.806055
ZINC000514293808;-8.346882;-8.600916;-8.630005;-8.230563;-8.772024
ZINC000514292489;-9.39234;-8.892179;-8.178738;-9.04437;-8.4270315
ZINC000514293871;-9.487465;-9.300635;-9.780287;-8.784972;-8.670352
ZINC000514293877;-9.4554;-9.100841;-9.703036;-8.926582;-8.697415
ZINC000514293803;-8.280494;-8.293935;-8.503191;-8.039856;-8.608422
ZINC000514293385;-7.4739485;-7.7645516;-8.193203;-7.433791;-7.793221
ZINC000514293556;-8.138357;-8.745071;-8.590694;-8.40131;-8.284659
ZINC000514293551;-8.030805;-8.695451;-9.241741;-8.265197;-8.06654
ZINC000514293400;-9.25845;-8.806666;-9.619515;-8.810765;-8.533191
ZINC000514293398;-9.519042;-8.72026;-9.76823;-8.843234;-8.563088
ZINC000514295101;-8.800474;-8.135219;-7.531827;-8.025092;-9.144637
ZINC000514295105;-8.122863;-8.0221195;-7.539859;-8.252958;-8.932732
