name;01;02;03;04;05
ZINC000008430145;-6.877059;-7.162858;-6.8105164;-6.956159;-7.3796515
ZINC000008432094;-7.9335003;-7.818932;-7.5165277;-8.105823;-8.150569
ZINC000008432095;-7.7517056;-7.6733737;-7.4279838;-7.792797;-8.026572
ZINC000008440833;-8.757036;-8.671518;-8.528621;-8.35549;-8.858273
ZINC000102753170;-7.923803;-8.017986;-8.241179;-8.467392;-7.9198275
ZINC000008443726;-7.4983907;-7.4238195;-7.0421185;-7.4237027;-7.6574306
ZINC000008443725;-7.717351;-7.515861;-6.987939;-7.2474804;-7.466338
ZINC000102763520;-7.9649677;-8.698976;-8.670417;-8.993665;-8.621041
ZINC000102764164;-7.964191;-8.860144;-8.584493;-9.033729;-8.586629
ZINC000102766220;-7.873659;-8.818251;-8.600756;-8.872197;-8.6533985
ZINC000102768472;-8.198917;-8.96627;-8.759684;-8.989479;-8.903073
ZINC000102768466;-7.979851;-8.628391;-8.617006;-8.727892;-8.549014
ZINC000102768464;-8.251299;-8.852188;-8.666945;-8.905564;-8.845079
ZINC000102768468;-7.960028;-8.713863;-8.737276;-8.734926;-8.662612
ZINC000102768586;-8.043901;-8.551212;-8.766986;-8.738648;-8.655898
ZINC000102768592;-8.461987;-9.19228;-8.967566;-9.065844;-9.062322
ZINC000102768584;-8.31299;-8.827818;-8.743134;-8.919194;-8.900639
ZINC000102768590;-8.234581;-8.867586;-8.909386;-8.772827;-8.854066
ZINC000008453122;-8.434424;-8.426615;-8.061591;-8.702885;-8.145765
ZINC000008495260;-7.767481;-8.063543;-7.814583;-7.7365685;-7.8456373
ZINC000008583447;-8.780237;-8.797332;-8.5084305;-8.447928;-9.104961
ZINC000008583558;-8.850288;-8.686344;-8.510912;-8.527421;-9.010072
ZINC000008583984;-8.663141;-8.93039;-8.308288;-8.394943;-8.738706
ZINC000002237457;-7.509824;-8.298889;-7.9585233;-8.108887;-8.080913
ZINC000008597492;-8.18034;-8.487095;-8.580887;-8.577445;-8.216779
ZINC000002335971;-8.613398;-9.155759;-8.153183;-8.387805;-8.665917
ZINC000002366596;-9.456622;-9.333051;-8.317976;-9.115588;-9.89358
ZINC000002383726;-8.017143;-8.586741;-8.772963;-8.737391;-8.74775
ZINC000002398444;-8.253163;-8.587428;-8.129171;-8.099248;-8.259474
ZINC000102886845;-8.138238;-8.364908;-8.162678;-7.9480777;-7.8831196
ZINC000102886845;-8.360812;-8.254681;-8.260476;-7.811616;-7.8902583
ZINC000008737869;-9.229976;-9.9194565;-9.004355;-9.55752;-9.457598
ZINC000008738476;-7.716599;-8.914196;-8.346386;-8.266741;-8.57151
ZINC000008743210;-8.487513;-9.32257;-8.941885;-8.5936985;-8.767965
ZINC000016672009;-8.762127;-8.766323;-8.172993;-8.018429;-8.67842
ZINC000098049431;-7.8079495;-7.7609463;-7.3467407;-8.2125635;-8.045924
ZINC000008872591;-9.137396;-10.119853;-8.964027;-8.846824;-9.516923
ZINC000008914171;-8.162991;-8.436474;-7.815937;-8.375833;-8.214072
ZINC000008914577;-8.636771;-8.885995;-8.634392;-8.942716;-8.799254
