name;01;02;03;04;05
ZINC000027078024;-8.69473;-9.02819;-8.51655;-8.974293;-8.42955
ZINC000027085817;-8.37466;-8.209096;-8.125148;-8.450703;-8.176419
ZINC000027066582;-7.677604;-8.285224;-7.705279;-7.7294593;-7.687108
ZINC000027085917;-8.211414;-8.136539;-8.423909;-8.155566;-8.086786
ZINC000027085831;-8.044215;-8.102409;-7.737317;-8.35733;-8.030219
ZINC000027078047;-8.115691;-9.033232;-8.1855;-8.571567;-7.9697433
ZINC000027079229;-7.7107553;-7.6097465;-8.443474;-8.983702;-8.064822
ZINC000027066800;-7.7693505;-8.214127;-7.815536;-7.583748;-7.8052826
ZINC000027052818;-8.627759;-9.017263;-8.320444;-8.729385;-8.397072
ZINC000027066791;-7.9299936;-8.424658;-7.638314;-7.999112;-8.225909
ZINC000027078313;-8.87858;-8.346411;-8.1574955;-8.527525;-8.575099
ZINC000027078060;-7.8449535;-9.039234;-7.8994946;-8.485673;-7.9715543
ZINC000027078041;-8.394299;-9.143652;-8.135238;-8.926701;-8.404235
ZINC000027085839;-7.979647;-8.271673;-8.020691;-8.165206;-7.863926
ZINC000027066569;-8.243639;-8.185772;-8.003121;-7.9546294;-7.958254
ZINC000027086327;-8.350377;-7.9344997;-7.5893593;-8.114694;-8.359926
ZINC000027079698;-8.602832;-8.644549;-8.98409;-9.63787;-9.018566
ZINC000027085871;-7.5763035;-8.077845;-7.629935;-8.015221;-7.752741
ZINC000027066349;-7.6753325;-7.9199696;-7.1639366;-7.3365107;-7.5704675
ZINC000027176602;-8.739589;-8.764658;-8.786956;-9.139008;-9.191162
ZINC000027087158;-9.388903;-8.263373;-8.467895;-8.94194;-8.603499
ZINC000027174204;-8.211539;-8.21786;-8.5081005;-8.8937025;-8.300404
ZINC000027092846;-8.57394;-8.42072;-8.355789;-9.069308;-8.645144
ZINC000027176048;-8.448404;-8.778536;-8.021515;-8.843274;-8.719822
ZINC000027090601;-8.925868;-9.093762;-8.781865;-8.940574;-8.991859
ZINC000027176551;-9.346827;-9.559657;-8.787693;-9.371923;-9.089791
ZINC000027094353;-9.343552;-9.960378;-9.09137;-9.522916;-9.177326
ZINC000027173147;-9.649213;-9.201252;-9.316097;-9.831407;-9.2668705
ZINC000027090522;-9.884507;-9.324018;-8.859974;-9.188275;-8.935732
ZINC000027174742;-9.197798;-9.701942;-9.195274;-9.3197365;-9.303933
ZINC000027174777;-8.588223;-9.052016;-9.248189;-9.101082;-9.306185
ZINC000027177503;-8.30252;-7.9917974;-8.2784395;-8.947091;-8.428796
ZINC000027088390;-9.244655;-8.8556795;-8.318824;-8.772499;-8.63777
ZINC000027182197;-8.877329;-8.966156;-9.469924;-8.788165;-9.141294
ZINC000027178078;-8.870054;-9.08333;-8.923779;-9.152944;-9.185659
ZINC000027205542;-8.071025;-8.140767;-8.289137;-8.5732765;-8.333321
ZINC000027178011;-9.180646;-8.461821;-9.026607;-9.553041;-9.300711
ZINC000027186187;-8.895328;-9.277723;-8.824702;-9.426447;-9.044762
ZINC000027195135;-9.2941475;-9.317087;-9.198974;-9.276245;-9.417582
ZINC000027206192;-8.512306;-8.713818;-8.296786;-8.568954;-8.7138605
ZINC000027172270;-8.567474;-8.6521;-8.705491;-9.26342;-8.54925
ZINC000027165009;-8.402451;-8.284335;-8.576055;-8.990626;-8.719464
ZINC000027186125;-9.314574;-8.765495;-9.198217;-9.999907;-9.177573
ZINC000027198242;-8.574327;-8.511906;-8.640853;-8.760484;-8.750954
ZINC000027199200;-8.779749;-9.328443;-9.307968;-9.37184;-9.179966
ZINC000027201620;-9.503174;-9.323775;-8.854028;-9.131219;-8.814491
ZINC000027288827;-7.7457733;-7.933215;-7.5029407;-7.7130117;-7.35811
ZINC000027203845;-9.336672;-9.534525;-8.920833;-9.092209;-8.95246
ZINC000027185362;-8.394641;-8.119361;-8.377464;-9.257822;-8.213544
ZINC000027189659;-8.959362;-9.024153;-8.716777;-8.895987;-9.1968775
ZINC000027203900;-8.921522;-9.477599;-9.075387;-8.939579;-8.619622
ZINC000027294494;-9.601951;-9.87551;-9.289303;-9.632134;-9.518863
ZINC000027298028;-9.0823345;-8.919872;-8.588697;-9.505932;-9.126326
ZINC000027291323;-8.844951;-9.819627;-9.164941;-9.335459;-9.08077
ZINC000027296005;-7.55869;-8.348557;-7.919732;-8.30305;-7.98657
ZINC000027294535;-9.1842575;-9.721823;-9.328829;-9.366128;-9.126624
ZINC000027313034;-9.413697;-8.318325;-8.064879;-8.365826;-8.29193
ZINC000027304392;-9.474375;-9.877722;-9.175315;-9.328796;-9.538236
ZINC000027297467;-9.535437;-8.717486;-8.763068;-9.190688;-8.859066
ZINC000027288964;-7.5629063;-7.8138285;-7.144988;-7.352932;-7.335108
ZINC000027291292;-9.05745;-9.22833;-9.015632;-9.216583;-9.329516
ZINC000027290943;-8.287745;-8.018133;-8.419147;-8.5384445;-8.36312
ZINC000027294174;-8.593427;-8.6729355;-8.42531;-8.916843;-8.850553
ZINC000027289012;-7.4167113;-7.8134575;-7.2072964;-7.34533;-7.2466393
ZINC000027312860;-8.06501;-8.578814;-8.362962;-8.672074;-8.373852
ZINC000027292566;-8.084224;-8.150814;-8.524786;-8.761457;-8.429327
ZINC000027296013;-7.446001;-7.9329376;-8.005502;-7.7650757;-7.4779334
ZINC000027303585;-8.36058;-8.392942;-8.254618;-8.150051;-8.208078
ZINC000027483468;-8.9402895;-8.182607;-8.769535;-8.463244;-8.927708
ZINC000027484093;-8.914337;-8.89621;-9.047919;-8.834313;-9.646697
ZINC000027485169;-9.708078;-9.632448;-9.801847;-9.65482;-9.817207
ZINC000027485167;-9.804213;-9.762409;-9.580596;-9.328043;-9.8404875
ZINC000027483466;-9.257583;-8.598187;-8.993132;-8.295211;-8.913894
ZINC000027484089;-8.62319;-8.378094;-8.951297;-9.094622;-9.452
ZINC000514294229;-9.470565;-9.753337;-10.14359;-9.195835;-9.996765
ZINC000514291945;-8.841489;-8.800651;-8.020521;-8.620151;-8.483684
ZINC000514375647;-10.221588;-9.669157;-9.049464;-9.702018;-9.443964
ZINC000514403074;-9.115622;-9.265849;-9.476566;-9.615389;-8.900211
ZINC000514395791;-8.750053;-8.880436;-7.251544;-8.211374;-8.364101
ZINC000514395584;-9.480969;-9.717667;-8.610391;-9.761621;-9.7965765
ZINC000514395585;-9.543438;-9.564859;-8.451805;-9.844414;-9.759214
ZINC000514405762;-9.529811;-10.073322;-9.372837;-9.786466;-9.768645
ZINC000518768054;-8.9491005;-9.285637;-9.282015;-9.531832;-9.315168
ZINC000028781047;-9.63134;-8.894454;-8.924221;-8.713513;-8.900894
ZINC000028778566;-8.044671;-7.974661;-7.5806274;-7.838845;-7.7580514
ZINC000028782840;-8.070677;-8.602962;-8.034369;-8.332022;-8.074781
ZINC000028780822;-9.425103;-8.990218;-9.620434;-9.579352;-9.081957
ZINC000728557379;-8.354817;-7.988673;-8.520561;-8.4449215;-8.102824
ZINC000912773736;-8.866556;-9.264348;-8.713412;-9.349843;-9.166831
ZINC000912792255;-8.896802;-8.746848;-8.422022;-9.276793;-9.133496
ZINC000912800693;-8.654163;-8.860523;-9.040893;-9.802269;-9.220789
ZINC000912806269;-8.650346;-8.467746;-8.538488;-9.743479;-8.805077
ZINC000912791171;-8.965168;-8.603045;-9.352111;-8.658926;-8.827464
ZINC000912800706;-8.480729;-8.579155;-8.82426;-9.471427;-8.887578
ZINC000912794607;-8.424539;-8.635506;-8.87371;-9.604894;-9.154134
ZINC000912801197;-8.512926;-8.873089;-8.336827;-9.452784;-9.343592
ZINC000912785172;-7.7781596;-7.8267593;-8.617396;-9.338345;-8.623198
ZINC000912797829;-9.466094;-8.958598;-9.076357;-9.462824;-9.256036
ZINC000912800097;-8.439911;-9.131351;-8.536842;-9.0198555;-8.898202
ZINC000912803640;-8.56412;-8.310884;-8.44846;-9.406711;-8.955392
ZINC000912822122;-8.465072;-8.688736;-8.392905;-9.373682;-9.215217
ZINC000912832156;-8.289728;-7.727833;-7.142069;-7.3325686;-7.5508575
ZINC000912825156;-9.4755;-9.169844;-8.735818;-8.887512;-8.808579
ZINC000912832056;-7.9856944;-8.175;-7.756801;-8.256394;-7.850273
ZINC000912837668;-8.663775;-7.7841816;-8.290571;-8.202457;-7.731427
ZINC000912822591;-9.031419;-8.84721;-8.821116;-9.061119;-8.752532
ZINC000912828312;-8.5824995;-8.567367;-9.108673;-8.566634;-8.276966
ZINC000912828161;-8.414226;-8.569179;-8.514355;-9.072339;-8.925178
ZINC000912839847;-8.550373;-8.328629;-8.873388;-9.067361;-9.198934
ZINC000912831987;-8.573505;-8.853487;-8.690483;-9.62949;-9.451651
ZINC000912840004;-8.511459;-8.031407;-9.095641;-8.686069;-8.7044525
ZINC000912832012;-8.459824;-8.437479;-8.631251;-9.224668;-9.028833
ZINC000912828200;-8.825844;-8.68401;-8.757926;-9.121526;-8.719854
ZINC000912832917;-9.337486;-8.9289875;-9.544858;-8.970201;-9.099482
ZINC000913138603;-9.490155;-9.2417345;-9.362792;-9.376104;-9.347712
ZINC000913141496;-9.950578;-9.307249;-9.501875;-9.915509;-9.3860655
ZINC000913141514;-9.611045;-9.292436;-9.498158;-9.437755;-9.734424
ZINC000913141500;-10.189812;-9.339244;-9.232674;-9.632929;-9.301322
ZINC000913138612;-9.811461;-8.798429;-8.784229;-9.359561;-9.215197
ZINC000912835120;-8.327908;-8.819024;-8.717966;-8.586237;-8.816494
ZINC000913141144;-9.48212;-9.133141;-9.28488;-9.375919;-9.421871
ZINC000916202150;-8.284801;-7.9038963;-7.674626;-8.108352;-7.9480996
ZINC000916204066;-9.098606;-8.695385;-8.352463;-8.593492;-8.623711
ZINC000916202157;-7.4741106;-7.217514;-7.4689503;-7.357219;-7.2752843
ZINC000916202432;-8.329618;-8.810413;-8.0534525;-8.7616625;-8.325201
ZINC000916203105;-9.2555485;-8.493871;-8.612603;-8.540496;-8.838119
ZINC000916203130;-7.6356344;-8.197153;-7.8672957;-8.143794;-7.6855764
ZINC000916203914;-8.898499;-8.8764925;-8.367194;-8.277409;-8.308381
ZINC000916204121;-9.084587;-8.713605;-8.099588;-8.443529;-8.735215
ZINC000917606968;-8.257683;-8.466601;-7.826349;-8.358079;-7.7067113
ZINC000917606711;-8.103165;-8.309727;-8.0746765;-8.104845;-7.222005
ZINC000917608159;-9.226169;-9.406733;-8.782616;-9.289528;-9.024757
ZINC000917608978;-9.072216;-8.444856;-9.424573;-9.3745985;-8.63102
ZINC000917606890;-8.182774;-8.365746;-8.242578;-7.849095;-7.464773
ZINC000917606831;-9.755279;-9.516122;-8.877188;-9.404811;-9.175891
ZINC000917606922;-9.7271185;-9.76383;-9.562702;-8.879717;-9.098455
ZINC000917608525;-8.996557;-9.432941;-9.358856;-8.930265;-8.591806
ZINC000917610866;-8.690577;-8.83976;-8.9476595;-8.903114;-8.975052
ZINC000917609831;-9.312173;-9.175061;-8.878877;-8.870748;-8.476724
ZINC000917609321;-9.010702;-8.261763;-9.172769;-9.015824;-8.181014
ZINC000917610451;-8.491863;-8.012623;-8.888829;-8.005144;-8.435433
ZINC000917610593;-8.415084;-8.957041;-8.6827545;-8.923047;-8.746148
ZINC000917610925;-8.85213;-8.773152;-9.091501;-8.623101;-8.518916
ZINC000917609590;-8.1909075;-7.6103683;-9.278055;-7.964084;-7.9727116
ZINC000917610358;-8.764926;-8.991052;-8.530579;-8.764665;-8.336358
ZINC000917611064;-8.457288;-9.336588;-9.093652;-8.834039;-9.227707
ZINC000917610540;-8.576377;-9.158466;-9.009837;-9.668725;-9.303595
ZINC000917611058;-8.567212;-9.199243;-8.848118;-9.029865;-9.054371
ZINC000917611838;-9.263382;-8.624736;-8.398533;-9.116338;-9.273935
ZINC000917610539;-8.64596;-9.367474;-8.701703;-9.393587;-9.598724
ZINC000917610592;-8.479193;-9.206927;-8.380581;-8.70974;-9.009873
ZINC000917609535;-9.914114;-9.788734;-9.3469925;-9.670227;-10.252373
ZINC000917610003;-8.775317;-7.7816324;-8.952267;-7.625492;-8.370912
ZINC000917614254;-9.585487;-8.86656;-8.736171;-9.429755;-9.555836
ZINC000917611839;-9.348268;-8.7083025;-8.533278;-9.211886;-9.258472
ZINC000917614253;-9.547084;-8.701971;-8.61887;-9.334142;-9.604544
ZINC000917614413;-9.157302;-8.784456;-8.374863;-9.093483;-8.885338
ZINC000917614658;-8.916764;-9.303566;-8.610328;-9.546964;-9.542921
ZINC000917613245;-8.8401785;-8.688931;-8.617472;-8.868616;-8.829357
ZINC000917613246;-9.112319;-8.8045845;-8.698021;-8.904859;-8.913374
ZINC000918733467;-8.600684;-8.532118;-8.083983;-8.637227;-8.401446
ZINC000920393711;-9.296541;-9.165448;-8.685596;-8.836226;-9.342519
ZINC000920392984;-7.9790273;-8.33616;-7.485896;-7.652673;-7.831461
ZINC000920393683;-7.418351;-7.9750185;-7.785663;-7.2162457;-7.0638766
ZINC000920393719;-9.130384;-8.94066;-8.124727;-8.812179;-9.197296
ZINC000920396679;-9.2080145;-8.563716;-8.494877;-7.907226;-7.724042
ZINC000920397826;-9.404657;-8.649221;-8.571317;-8.392338;-8.179371
ZINC000920397293;-10.0901165;-9.683362;-9.675719;-9.854631;-9.650035
ZINC000920397930;-8.30053;-8.916816;-8.721354;-8.247066;-8.282586
ZINC000920397897;-8.286303;-8.765453;-8.193033;-8.304053;-8.176847
ZINC000920487794;-8.555867;-9.408622;-9.593763;-9.853779;-9.602334
ZINC000028780826;-10.254094;-9.637201;-10.367552;-10.16224;-9.724716
ZINC000028781571;-7.9688087;-7.5083795;-7.133912;-7.2932286;-7.736386
ZINC000027078089;-8.539404;-9.033604;-8.71558;-8.949929;-8.26332
ZINC000027166804;-9.302296;-8.766258;-8.693621;-8.677656;-8.564554
ZINC000027079784;-8.375315;-8.530215;-8.622311;-8.829992;-8.742035
ZINC000727159031;-8.78221;-8.468667;-8.143038;-8.6487055;-7.96945
