name;01;02;03;04;05
ZINC000102738715;-8.67883;-9.225456;-8.3174305;-8.939402;-8.279252
ZINC000102738710;-8.451144;-9.063258;-8.477475;-8.377638;-8.214598
ZINC000102742067;-8.724537;-9.226118;-8.550579;-8.9305525;-8.389613
ZINC000102742061;-8.530836;-9.064884;-8.642408;-8.362789;-8.230911
ZINC000408842958;-10.904664;-10.110331;-9.950875;-11.3051405;-10.803164
ZINC000408927261;-9.528249;-9.299746;-9.307829;-9.454887;-9.435344
ZINC000408925981;-9.777935;-9.821231;-9.518799;-9.746307;-9.412898
ZINC000408925316;-9.726402;-10.191276;-9.737855;-10.136366;-9.962334
ZINC000408925107;-9.987725;-9.394406;-9.471618;-9.492318;-9.552674
ZINC000408923876;-8.691711;-9.156444;-8.627519;-9.053266;-8.9432745
ZINC000408923367;-9.568678;-9.679526;-9.6517105;-9.774618;-9.587276
ZINC000408922388;-9.882612;-9.665407;-9.572475;-10.190268;-9.942472
ZINC000408921814;-10.37875;-11.18404;-10.584781;-11.747381;-11.02062
ZINC000408921717;-9.495844;-9.099903;-9.187275;-9.405714;-9.411118
ZINC000408921714;-10.312743;-9.703087;-10.04529;-10.091734;-10.105409
ZINC000408921484;-8.867031;-9.274368;-8.829653;-9.140567;-9.160691
ZINC000408920815;-10.388245;-10.022678;-10.180081;-10.165153;-9.7655735
ZINC000408920658;-9.754908;-9.621584;-9.545158;-10.115844;-10.110722
ZINC000408920614;-9.590827;-9.375544;-8.944591;-9.603071;-9.331722
ZINC000408920634;-9.613498;-9.674797;-9.568556;-9.61956;-9.237309
ZINC000271779166;-6.0303926;-5.9391522;-5.518133;-5.969078;-6.3417997
ZINC000102896828;-10.610982;-10.706897;-9.775927;-10.927415;-10.536478
ZINC000102896825;-11.010529;-10.927101;-9.896389;-10.93191;-11.359121
ZINC000409256823;-10.617935;-9.929348;-9.940484;-9.981072;-10.357836
ZINC000008833327;-9.740494;-9.256457;-8.691621;-9.538285;-9.313367
ZINC000008833351;-8.160416;-8.988531;-8.539112;-8.709396;-8.658415
ZINC000409086273;-11.892372;-11.365572;-10.692721;-10.678949;-11.185671
ZINC000409086281;-11.782137;-11.502393;-10.325195;-11.015734;-11.169312
ZINC000409253676;-10.083702;-10.459241;-10.122846;-10.035365;-10.611762
ZINC000408532234;-8.99823;-9.79144;-9.107401;-9.601341;-9.304589
ZINC000408906550;-8.541178;-9.170929;-8.550649;-8.99458;-8.795707
ZINC000408532993;-8.640067;-9.498256;-9.043459;-9.825417;-9.322951
ZINC001547206417;-9.575872;-9.301053;-9.088127;-9.162735;-9.683259
ZINC000409084203;-11.772472;-11.359555;-11.123988;-10.604015;-11.348985
ZINC000409084198;-11.8567;-11.111171;-10.726207;-10.534389;-11.200447
ZINC000408927663;-9.463608;-9.329398;-8.916745;-9.528677;-9.497437
ZINC000100048493;-11.149308;-11.313563;-10.448608;-11.799074;-10.984652
ZINC000408927283;-9.994053;-9.597062;-9.732901;-9.880669;-9.905022
ZINC000198318114;-9.3962755;-9.421749;-8.864073;-9.350126;-9.902809
ZINC000409262696;-8.501655;-8.361896;-7.757103;-8.4144;-8.250425
ZINC000408920252;-9.392501;-9.37352;-9.100039;-9.185156;-9.945615
ZINC000100150494;-9.944153;-10.576324;-11.0047455;-9.600283;-10.794835
ZINC000408550155;-9.093239;-9.7031765;-9.158457;-10.168764;-9.521737
ZINC000409260474;-9.094208;-9.30341;-8.845978;-8.661472;-9.495876
ZINC000408550514;-9.449663;-10.000507;-9.227537;-9.956398;-9.5003605
ZINC000409096285;-10.281525;-11.3298855;-10.6249;-9.827608;-9.887753
ZINC000409096292;-9.707615;-11.299858;-11.043134;-10.436383;-9.626013
ZINC000100165304;-9.1951685;-10.0295925;-9.370796;-9.458928;-10.288056
ZINC000409095895;-10.676517;-10.378309;-10.517607;-10.493597;-9.992021
ZINC000409095900;-10.42909;-10.77882;-10.057943;-10.559872;-9.915188
ZINC000409095833;-11.153589;-11.361337;-11.316404;-10.586181;-10.404056
ZINC000409095831;-11.046358;-11.519248;-11.566192;-10.486197;-10.340694
ZINC000409095305;-11.65302;-10.640638;-10.146104;-10.243549;-10.692484
ZINC000409095310;-11.655097;-10.654129;-10.583597;-10.456095;-10.6781225
ZINC000409094903;-11.765774;-11.278569;-10.834257;-10.691797;-11.147024
ZINC000409094898;-11.911871;-11.394087;-11.219708;-10.6665325;-11.249783
ZINC000408557176;-8.874604;-9.44829;-9.189382;-9.788662;-9.013886
ZINC000408557870;-8.7212515;-9.329895;-8.919419;-9.510527;-8.792196
ZINC000409094582;-11.826633;-11.421189;-11.907505;-11.522932;-11.791058
ZINC000409094583;-11.897724;-11.445935;-11.477276;-10.927539;-11.742622
ZINC000408564443;-7.9478784;-8.50402;-8.239233;-8.697553;-8.472344
ZINC000409257747;-9.929327;-8.9557495;-8.922806;-8.726334;-9.355947
ZINC000409257569;-9.507737;-9.195987;-8.787669;-9.200693;-8.961931
ZINC000409257335;-9.845118;-10.024543;-9.859472;-9.514836;-10.15643
ZINC000408573965;-7.7935505;-8.633682;-8.136595;-8.720501;-8.583717
ZINC000408574035;-8.757214;-9.165581;-8.776103;-9.040908;-9.049383
ZINC000408574710;-8.887392;-9.202938;-9.13279;-9.070197;-9.041083
ZINC000408575237;-7.771809;-8.470006;-7.8896093;-8.662822;-8.51341
ZINC000409092468;-11.096046;-11.606676;-11.222332;-10.550844;-10.404352
ZINC000408592889;-8.905926;-9.701289;-8.738972;-9.894056;-9.130957
ZINC000408596667;-9.044588;-9.890706;-8.7402115;-9.638872;-9.10465
ZINC000408596684;-9.184325;-9.988121;-9.029444;-9.617756;-9.345236
ZINC000038172958;-9.590387;-9.643032;-9.246721;-10.029915;-9.412987
ZINC000038173535;-9.711033;-9.941465;-9.393873;-10.083072;-9.570202
ZINC000408605921;-10.745236;-10.6752615;-10.307745;-10.308296;-10.73534
ZINC000408606841;-9.6519375;-9.555301;-9.435555;-9.822008;-9.511227
ZINC000003044909;-9.346733;-8.336618;-8.94912;-8.952382;-9.93362
ZINC000409091005;-11.80036;-11.383577;-11.132449;-10.700116;-11.397535
ZINC000409091008;-11.955246;-12.04357;-10.856489;-11.398853;-11.650626
ZINC000408630531;-8.739535;-10.116382;-9.828553;-10.128381;-9.777131
ZINC000408630707;-8.320929;-9.523225;-9.346222;-9.188935;-8.177924
ZINC000408630681;-10.537482;-9.650848;-9.0308695;-10.060445;-9.217647
ZINC000408630752;-9.413601;-9.916702;-9.905266;-9.323822;-8.81423
ZINC000408630826;-7.3615284;-7.955996;-7.85873;-7.851073;-7.7311482
ZINC000408630953;-9.44857;-9.149604;-8.524697;-9.583576;-9.014341
ZINC000408631170;-9.625145;-9.844988;-9.819526;-9.6501045;-8.96608
ZINC000408631212;-9.292447;-9.548832;-9.128066;-9.243837;-8.879062
ZINC000408631214;-10.025051;-9.662569;-9.5840845;-10.005363;-9.170204
ZINC000408631167;-9.164286;-9.20296;-8.471064;-9.281503;-8.806812
ZINC000408631284;-9.894187;-9.276763;-8.755174;-9.601036;-9.023413
ZINC000408631399;-9.201256;-9.203453;-8.656151;-9.579539;-9.1037855
ZINC000408631325;-9.0583;-9.120167;-9.087765;-9.236775;-8.746988
ZINC000408631357;-9.698756;-10.244444;-10.469689;-10.82821;-10.122309
ZINC000408631472;-9.101665;-8.617787;-8.583509;-9.311537;-8.263351
ZINC000408631638;-9.770481;-9.801637;-9.759684;-9.652294;-9.643833
ZINC000408631680;-8.877056;-8.941049;-8.703376;-8.765072;-8.517525
ZINC000408631673;-9.308592;-9.685318;-9.754306;-9.413323;-8.926846
ZINC000408631747;-9.752058;-9.195122;-8.533332;-9.116836;-8.957018
ZINC000408631651;-9.111892;-9.267387;-8.939847;-9.654628;-9.274238
ZINC000408631736;-9.329433;-9.275478;-9.204492;-9.57217;-8.97055
ZINC000408631795;-9.424129;-9.676507;-9.892353;-9.003056;-8.631725
ZINC000408631803;-8.816802;-9.138407;-8.7169;-9.34621;-7.972056
ZINC000408631800;-8.811283;-9.090435;-8.822666;-9.140363;-8.77696
ZINC000408631813;-9.99433;-10.142553;-10.114544;-10.016069;-9.13645
ZINC000408631826;-9.382001;-9.299589;-9.6448555;-9.146616;-9.064078
ZINC000408631917;-9.679752;-9.518872;-9.819929;-9.504677;-9.464585
ZINC000408631900;-10.052165;-9.328679;-8.788214;-9.997766;-9.234339
ZINC000408632000;-9.172483;-9.347408;-9.00133;-9.317763;-8.595397
ZINC000408632190;-9.839324;-9.944638;-10.064713;-10.050648;-10.084812
ZINC000408632265;-9.441555;-9.483709;-8.7047825;-9.428612;-8.921175
ZINC000408632230;-8.989864;-8.728793;-8.546955;-9.4368515;-8.0820675
ZINC000408632283;-9.395841;-9.439927;-9.593159;-9.217658;-9.122811
ZINC000408632374;-9.452911;-9.486115;-8.573802;-9.178892;-8.653571
ZINC000408632451;-8.681365;-9.363106;-8.910401;-8.975017;-8.4873905
ZINC000408632526;-9.630331;-9.6234255;-9.156887;-9.67687;-9.014272
ZINC000408632528;-9.833498;-9.8076725;-9.575557;-9.35678;-8.498155
ZINC000408632589;-9.073441;-9.365244;-8.757494;-9.4577675;-8.277331
ZINC000408632570;-9.024379;-8.802668;-9.114448;-9.400238;-8.167905
ZINC000408632776;-9.56872;-9.564475;-9.2628;-9.708199;-8.826598
ZINC000408632774;-9.896821;-9.343737;-8.809047;-9.694218;-8.924537
ZINC000408632736;-8.904374;-8.880696;-8.79599;-8.624001;-8.4338255
ZINC000408632813;-9.55237;-9.617829;-9.663605;-9.315487;-8.655228
ZINC000408632902;-8.989873;-9.190891;-8.744648;-9.31708;-8.042357
ZINC000408632993;-9.126497;-10.007624;-10.07527;-10.154354;-9.602568
ZINC000408633010;-9.27924;-8.629453;-8.31371;-9.577505;-8.886076
ZINC000408633073;-8.912523;-9.105467;-8.996947;-9.321924;-8.889068
ZINC000408633211;-8.699846;-8.995626;-8.441089;-9.224817;-8.808533
ZINC000408633145;-8.9889145;-9.924844;-10.35158;-10.524067;-9.8962755
ZINC000408633201;-9.730072;-9.663532;-9.770776;-9.594687;-9.565101
ZINC000408633154;-8.822777;-8.751169;-8.903898;-9.289805;-8.991169
ZINC000408633133;-9.374976;-9.22197;-9.644506;-9.010524;-9.018425
ZINC000408633342;-9.885989;-9.97528;-10.178829;-9.606675;-8.939887
ZINC000408633393;-10.037641;-9.87132;-9.558177;-9.985821;-8.9231615
ZINC000408633532;-8.511919;-8.605165;-8.4133415;-8.76426;-8.313213
ZINC000408633540;-9.253043;-9.430961;-8.660771;-9.332457;-8.310051
ZINC000408633610;-9.178255;-9.268679;-8.969203;-9.520268;-8.952073
ZINC000408633654;-9.473155;-8.579106;-9.043185;-9.568651;-8.239902
ZINC000408633706;-9.239496;-9.240238;-9.01705;-9.346622;-8.803681
ZINC000408633635;-9.915843;-9.928112;-10.04225;-9.631939;-8.793081
ZINC000408633664;-9.241278;-9.498709;-9.279656;-9.1824;-8.307534
ZINC000408633890;-9.4510355;-10.437834;-9.630636;-10.083607;-9.745466
ZINC000408633846;-9.989085;-9.261215;-8.856961;-9.908073;-9.3982525
ZINC000408634100;-9.095182;-9.398439;-9.11613;-9.831596;-8.955257
ZINC000408634034;-9.287981;-9.283543;-9.119926;-9.716029;-9.050146
ZINC000408634186;-9.766722;-10.154799;-10.134541;-9.695783;-9.022039
ZINC000408634185;-10.091303;-10.223344;-10.210442;-9.844784;-9.384924
ZINC000408634245;-9.423582;-9.308923;-9.24815;-9.641125;-8.924812
ZINC000408634376;-9.558644;-9.406709;-9.006918;-9.255421;-9.237292
ZINC000408634402;-8.952194;-9.042445;-8.586478;-9.508575;-9.00314
ZINC000408634320;-9.127889;-8.917524;-8.531126;-9.467146;-8.253127
ZINC000408634401;-9.506738;-9.359834;-9.129978;-9.243545;-9.230646
ZINC000408634392;-8.762436;-8.958583;-8.605091;-9.460572;-8.989295
ZINC000408634326;-9.878833;-10.125975;-10.068621;-9.685886;-9.130343
ZINC000408634484;-8.604801;-8.479252;-8.852933;-9.537953;-7.8395605
ZINC000408634546;-9.90674;-10.021473;-9.920738;-9.721726;-8.564879
ZINC000408634613;-8.950577;-9.402563;-9.4523115;-9.153826;-8.766641
ZINC000408634663;-10.119738;-9.967115;-9.454647;-9.9321;-9.111151
ZINC000408634759;-9.024661;-9.55961;-9.512167;-9.185346;-8.624148
ZINC000408634732;-9.438294;-9.096687;-8.667074;-9.578315;-9.032448
ZINC000408634796;-9.418566;-9.200128;-9.053278;-9.113218;-9.122202
ZINC000408634798;-9.4325485;-9.395144;-8.382624;-9.002406;-8.542709
ZINC000408634944;-9.654836;-9.356303;-8.703298;-9.769058;-8.397907
ZINC000408635136;-9.845168;-10.006606;-9.449246;-9.503283;-9.363425
ZINC000408635196;-9.311745;-9.036884;-9.187979;-10.006608;-9.256802
ZINC000408635296;-8.977426;-8.932256;-8.749066;-8.815343;-8.628401
ZINC000408635508;-8.971513;-9.438848;-9.045765;-9.748213;-9.213493
ZINC000408635692;-9.096497;-9.615562;-9.053322;-9.489259;-9.188879
ZINC000043769730;-6.0312953;-6.2853756;-5.6154337;-5.932765;-6.4535933
ZINC000409101096;-11.150386;-10.921311;-11.126564;-11.515996;-11.650827
ZINC000409101097;-11.088143;-10.712725;-10.846083;-10.955837;-11.409793
