name;01;02;03;04;05
ZINC000102675568;-8.88844;-8.681;-8.398577;-10.359875;-9.462889
ZINC000102675564;-8.409989;-8.286814;-7.55691;-9.339057;-8.894428
ZINC000102675570;-8.8848095;-8.491214;-8.334723;-10.078935;-9.468071
ZINC000102738715;-8.078941;-8.888884;-7.687385;-7.911843;-7.5167756
ZINC000102738710;-8.454478;-8.975658;-8.361691;-8.50285;-8.2627125
ZINC000102739777;-8.230166;-8.885961;-7.9294133;-8.100745;-7.653735
ZINC000102739770;-8.67249;-9.069172;-8.505701;-8.635151;-8.399883
ZINC000102742067;-8.040675;-8.862476;-7.8281255;-7.903281;-7.583679
ZINC000102742061;-8.5194435;-8.9796505;-8.457587;-8.523496;-8.263131
ZINC000408841479;-8.936382;-9.310625;-8.7374;-9.009083;-9.287087
ZINC000408841602;-10.758415;-10.830383;-9.790426;-10.530394;-10.69282
ZINC000098000104;-10.184429;-9.709227;-9.8406925;-9.928158;-10.575207
ZINC000098000208;-8.596724;-8.605411;-8.617959;-8.679499;-9.144724
ZINC000102761298;-9.474747;-9.623188;-9.353813;-9.748693;-9.4297905
ZINC000408924498;-10.332437;-9.878395;-9.3820915;-9.414026;-9.665342
ZINC000408920791;-10.276762;-9.714653;-9.280825;-9.5809145;-9.521665
ZINC000102871712;-10.709503;-10.157216;-10.076203;-10.210022;-10.606884
ZINC000102871719;-10.709503;-10.157216;-10.076203;-10.210022;-10.606884
ZINC000102877564;-10.65036;-10.341383;-10.5756235;-10.229961;-10.869132
ZINC000102877559;-10.65036;-10.341383;-10.5756235;-10.229961;-10.869132
ZINC000008739521;-8.88665;-8.869969;-7.836741;-9.584404;-8.815822
ZINC000008739523;-8.926779;-7.86404;-7.926506;-8.42999;-8.554971
ZINC000008739522;-9.065543;-8.675463;-8.23203;-9.82082;-8.930735
ZINC000102896310;-10.236475;-10.540615;-10.042998;-10.386685;-10.804414
ZINC000102896312;-10.236475;-10.540615;-10.042998;-10.386685;-10.804414
ZINC000008765723;-10.063815;-9.778599;-10.217813;-9.885523;-10.428617
ZINC000008833771;-8.887732;-8.514715;-8.680076;-9.056781;-9.11016
ZINC000102973818;-10.184429;-9.709227;-9.8406925;-9.928158;-10.575207
ZINC000102974107;-8.596724;-8.605411;-8.617959;-8.679499;-9.144724
ZINC000102974104;-8.596724;-8.605411;-8.617959;-8.679499;-9.144724
ZINC000238791292;-7.034321;-6.992636;-7.328348;-6.5833054;-7.1796203
ZINC000238791292;-6.9973774;-7.007754;-7.1615753;-6.419428;-7.0507016
ZINC000008927190;-9.829224;-8.935096;-8.032701;-9.505173;-8.831393
ZINC000008927192;-9.781605;-8.785749;-8.452406;-9.961367;-8.975513
ZINC000008927193;-9.6107855;-8.038942;-8.236911;-8.576677;-8.739724
ZINC000009009575;-8.225402;-7.960714;-8.052001;-8.438875;-7.522306
ZINC000009009577;-8.225402;-7.960714;-8.052001;-8.438875;-7.522306
ZINC000009010473;-10.311017;-10.199623;-9.928155;-9.83551;-10.464097
ZINC000408544267;-10.149647;-10.225847;-9.586257;-9.81508;-9.595095
ZINC000103060475;-10.56142;-10.4743;-9.510587;-10.352793;-9.800288
ZINC000103060470;-10.56142;-10.4743;-9.510587;-10.352793;-9.800288
ZINC000103060461;-10.555151;-10.421328;-9.338375;-10.310122;-9.863989
ZINC000103060466;-8.903275;-9.209741;-9.007487;-9.739372;-8.834627
ZINC000103060457;-10.555151;-10.421328;-9.338375;-10.310122;-9.863989
ZINC000103060451;-8.961947;-9.129308;-8.822394;-9.743622;-8.8342905
ZINC000100216194;-7.0074897;-9.445582;-7.7792473;-6.9383736;-8.747467
ZINC000408605241;-8.778705;-9.602105;-8.625834;-9.065673;-9.524624
ZINC000408609335;-8.857011;-9.292499;-9.210251;-8.816788;-9.644794
ZINC000100309275;-9.558584;-9.531443;-9.279213;-9.558079;-9.61959
ZINC000100309779;-9.80047;-10.192218;-9.750883;-10.104967;-10.311506
