name;01;02;03;04;05
ZINC000008426277;-7.969898;-8.742083;-7.8594775;-7.845414;-8.088295
ZINC000008427637;-9.024888;-8.919426;-8.799926;-9.7647705;-9.6917095
ZINC000008427637;-8.903835;-8.951905;-8.811574;-9.702633;-9.726223
ZINC000008430472;-8.682311;-7.862089;-8.302761;-8.179541;-8.704906
ZINC000097985263;-12.6384945;-12.131426;-11.584753;-11.4830265;-11.8910675
ZINC000097985271;-12.832579;-10.693067;-11.307312;-10.303798;-10.127306
ZINC000102729770;-8.101536;-9.330215;-8.895417;-8.625787;-8.191339
ZINC000102729437;-8.4294195;-9.095157;-9.374218;-8.768481;-8.354301
ZINC000102730831;-8.630705;-9.779234;-9.287263;-8.811717;-8.353626
ZINC000008431844;-8.272851;-8.0194645;-8.134792;-7.9033594;-8.694111
ZINC000008437852;-8.96385;-9.420163;-9.999309;-9.372448;-9.971032
ZINC000008440476;-7.895017;-7.7816386;-7.9185457;-7.8249884;-8.328096
ZINC000008441001;-7.786661;-8.405003;-8.485113;-8.194265;-8.08061
ZINC000008442911;-9.870759;-9.487996;-10.011824;-9.367274;-10.114403
ZINC000008443922;-10.317667;-9.728348;-9.53355;-9.579464;-10.191909
ZINC000002305731;-8.04567;-7.8283744;-7.656961;-7.917301;-8.164831
ZINC000002305731;-8.3517475;-8.15643;-7.8424454;-8.062301;-8.435941
ZINC000002305731;-8.3517475;-8.15643;-7.8424454;-8.062301;-8.435941
ZINC000002396953;-10.047397;-10.195414;-9.283497;-9.590424;-9.620962
ZINC000008723396;-9.743751;-10.333014;-9.463673;-9.0150795;-10.078294
ZINC000008723354;-9.867331;-10.384916;-9.607551;-9.034126;-10.14502
ZINC000008723354;-9.699222;-10.366981;-10.236209;-9.110786;-9.89945
ZINC000008738808;-9.082119;-9.275794;-9.048371;-9.28352;-8.91801
ZINC000008738808;-8.73188;-9.293914;-9.082489;-9.565778;-8.871084
ZINC000008738808;-9.082119;-9.275794;-9.048371;-9.28352;-8.91801
ZINC000002590867;-8.050933;-8.4487915;-8.33242;-8.169909;-8.26469
ZINC000098045669;-9.443374;-9.487433;-9.107397;-9.0095625;-9.223162
ZINC000008744562;-8.108596;-8.523703;-8.252167;-8.626454;-8.008885
ZINC000008744562;-7.952337;-8.290981;-8.350423;-8.463718;-7.9232326
ZINC000008744562;-8.108596;-8.523703;-8.252167;-8.626454;-8.008885
ZINC000008744302;-8.318057;-8.179984;-7.2778506;-7.940873;-8.2344675
ZINC000008744302;-8.042006;-7.8712397;-7.025148;-7.814398;-7.954811
ZINC000008744302;-8.318057;-8.179984;-7.2778506;-7.940873;-8.2344675
ZINC000008750134;-9.591798;-10.019095;-9.499239;-9.801351;-10.264111
ZINC000008749743;-10.238765;-9.747577;-9.312197;-9.493981;-10.220144
ZINC000002617395;-9.628435;-9.103315;-9.21931;-8.906341;-8.699377
ZINC000002671378;-9.141901;-9.719439;-9.665207;-9.629097;-9.71832
ZINC000098047877;-9.083435;-9.120276;-8.478489;-9.1511755;-9.2574215
ZINC000002708281;-8.315116;-7.8494225;-8.053831;-8.160794;-8.024385
ZINC000002708276;-8.12669;-7.896047;-8.014168;-8.028323;-8.081798
ZINC000102934053;-9.93682;-9.73296;-9.314273;-9.24734;-9.769164
ZINC000008871917;-9.855267;-9.965621;-9.869809;-9.807175;-10.079655
ZINC000008871921;-9.122807;-9.578844;-9.176493;-9.222374;-9.477198
ZINC000029492520;-9.929415;-10.327597;-9.88839;-10.115399;-10.567677
ZINC000100031455;-8.873087;-9.283118;-9.401752;-9.363218;-9.45966
ZINC000100031715;-10.801763;-10.796419;-9.6931715;-10.039369;-10.686872
ZINC000008917888;-8.009798;-8.992237;-7.9015913;-8.410414;-8.944895
