name;01;02;03;04;05
ZINC000097985263;-12.475681;-12.8377495;-11.534082;-12.006635;-12.606381
ZINC000008434878;-8.530205;-9.964561;-9.175195;-9.435904;-7.974687
ZINC000008441001;-8.127312;-8.3420725;-8.710011;-8.45977;-8.366396
ZINC000195765287;-9.117687;-9.435753;-9.469331;-9.893056;-8.528857
ZINC000098001589;-9.362984;-10.10998;-9.644889;-9.867824;-9.583958
ZINC000263605131;-8.641905;-8.614175;-8.753296;-8.355026;-8.582474
ZINC000008723396;-9.839786;-10.348482;-10.031599;-9.139902;-10.131679
ZINC000008723354;-9.764882;-10.510496;-10.18271;-9.2650585;-10.188175
ZINC000008741229;-8.149043;-8.586425;-7.756171;-8.868581;-7.997537
ZINC000008770933;-8.507538;-9.942178;-9.255243;-9.194985;-9.177653
ZINC000008830540;-10.939353;-11.06431;-11.5893755;-11.06778;-10.712971
ZINC000098052857;-8.553632;-8.233931;-11.011264;-8.613709;-8.183244
ZINC000100031715;-10.816272;-10.689291;-9.861662;-9.884128;-10.635075
ZINC000002783040;-7.8146286;-8.442161;-7.8606687;-8.43287;-8.148068
ZINC000032650050;-8.673998;-9.571854;-8.527401;-8.333155;-8.290562
ZINC000100045197;-10.685026;-10.215771;-10.839033;-10.417523;-10.24644
ZINC000100045205;-10.685026;-10.215771;-10.839033;-10.417523;-10.24644
ZINC000100045209;-10.685026;-10.215771;-10.839033;-10.417523;-10.24644
ZINC000100048589;-9.495613;-9.543405;-8.536046;-9.139896;-9.696128
ZINC000100048397;-8.637135;-7.901015;-8.291302;-8.149799;-7.9368773
ZINC000002805993;-7.778599;-8.374701;-7.796351;-8.480647;-7.9439235
ZINC000100074105;-8.336636;-9.08239;-8.902838;-8.875003;-8.65673
ZINC000100074100;-8.248596;-8.676537;-9.036465;-8.838142;-8.4926
ZINC000100081629;-8.384682;-8.808059;-9.205351;-8.892145;-8.702757
ZINC000100081645;-8.47122;-9.185779;-9.052459;-8.919161;-8.848777
ZINC000009088393;-8.611488;-8.559206;-8.076665;-8.965543;-8.4514265
ZINC000245238830;-9.075873;-9.044843;-8.54196;-8.666865;-8.542382
ZINC000245239053;-7.9153543;-8.657272;-8.288195;-8.487915;-8.437407
ZINC000245239054;-7.9153543;-8.657272;-8.288195;-8.487915;-8.437407
ZINC000245238836;-7.716295;-7.7199383;-7.8447523;-8.429989;-7.8370605
ZINC000245238835;-7.716295;-7.7199383;-7.8447523;-8.429989;-7.8370605
ZINC000245238829;-8.586759;-9.087739;-8.587797;-8.631406;-8.583107
ZINC000245240844;-9.4457655;-9.412533;-9.207526;-9.3782015;-9.90518
ZINC000245240922;-9.357632;-9.07972;-8.260572;-9.017874;-9.518359
ZINC000245240921;-8.922789;-9.681209;-8.87556;-9.107725;-9.241645
ZINC000245240991;-8.713622;-8.784678;-8.716972;-9.012721;-8.313821
ZINC000245241159;-7.7644687;-7.4294815;-7.314604;-7.671395;-7.050437
ZINC000245241160;-7.7644687;-7.4294815;-7.314604;-7.671395;-7.050437
ZINC000254877054;-9.99655;-9.632346;-9.465397;-9.4380045;-8.689609
ZINC000257345510;-8.986487;-9.363706;-8.535474;-9.122948;-10.07282
ZINC000257345446;-9.123923;-9.14827;-9.169451;-9.366327;-8.737864
ZINC000257345495;-9.22659;-9.307688;-8.977851;-8.92613;-8.586857
ZINC000257354982;-9.791025;-9.667987;-8.838233;-9.076355;-8.151253
ZINC000100137173;-8.277281;-8.9785385;-9.077779;-9.241019;-8.9432535
ZINC000100137214;-8.155987;-8.882321;-8.559997;-8.921969;-8.762648
ZINC000100148784;-8.428544;-8.550249;-8.541366;-8.388158;-9.041692
ZINC000100148780;-8.428544;-8.550249;-8.541366;-8.388158;-9.041692
ZINC000100148585;-9.839786;-10.348482;-10.031599;-9.139902;-10.131679
ZINC000100148774;-8.428544;-8.550249;-8.541366;-8.388158;-9.041692
ZINC000100148788;-8.428544;-8.550249;-8.541366;-8.388158;-9.041692
ZINC000100159954;-8.17537;-8.478684;-8.989441;-8.689421;-8.768146
ZINC000100159971;-8.241989;-8.801501;-8.818749;-8.680594;-8.875481
ZINC000100201034;-8.174372;-9.299878;-9.030868;-9.031002;-8.674767
ZINC000100215987;-7.818962;-8.559986;-8.555318;-8.597289;-8.257682
ZINC000100215900;-7.965883;-8.600566;-8.103131;-8.801014;-8.293871
ZINC000100218424;-7.9671993;-9.485506;-8.756504;-8.662584;-9.117302
ZINC000248258762;-8.774458;-8.350235;-8.3612995;-9.026952;-8.925028
ZINC000100232702;-8.424849;-8.343329;-8.289937;-8.257284;-8.081807
ZINC000100235808;-8.235604;-8.648982;-9.185175;-8.724572;-8.710893
ZINC000100235792;-7.9352636;-8.946353;-8.601173;-8.874465;-8.388261
ZINC000100241480;-7.7245474;-8.578281;-8.687547;-8.659237;-8.242007
ZINC000100249233;-7.7563477;-8.198307;-7.7890415;-8.305997;-8.320187
ZINC000100273100;-9.382532;-9.582095;-9.083111;-9.459298;-9.55348
ZINC000585152496;-8.502774;-9.026438;-9.102488;-8.70861;-8.746574
ZINC000043009120;-7.821069;-8.665315;-8.178915;-9.158844;-8.333878
ZINC000042878085;-8.627784;-9.413355;-8.797541;-8.879868;-9.317055
ZINC000009763791;-7.2788196;-8.490147;-8.223675;-8.750496;-8.257943
ZINC000256081129;-11.027861;-10.298658;-10.174954;-9.9526825;-9.7921295
ZINC000256124615;-12.593598;-10.875624;-13.168048;-13.070033;-12.203099
ZINC000256271658;-10.996217;-10.439916;-10.780983;-10.78506;-9.65866
ZINC000009907603;-8.629791;-9.24248;-8.919457;-9.221786;-9.071446
ZINC000009908156;-8.164413;-8.583941;-8.477007;-8.552276;-8.550664
ZINC000257347355;-11.758345;-12.235495;-11.763974;-11.698433;-11.933546
ZINC000257347305;-9.115519;-9.215651;-8.898779;-8.907316;-8.766939
ZINC000257347342;-9.724548;-9.701777;-9.70402;-9.450688;-9.126513
ZINC000257347321;-12.327713;-10.663406;-12.048249;-11.457257;-11.475157
ZINC000257347346;-7.998181;-8.452364;-8.307221;-8.973283;-8.799216
ZINC000257347209;-10.687023;-10.97851;-11.102247;-10.633937;-10.816524
ZINC000257347218;-9.312226;-9.085582;-8.948991;-8.4062395;-8.62169
ZINC000257347350;-11.339555;-11.364858;-11.248414;-11.263682;-10.740801
ZINC000257347469;-9.052944;-9.575695;-8.642108;-8.79315;-8.809196
ZINC000257347417;-10.353916;-10.509879;-10.739256;-10.689272;-10.187453
ZINC000257347485;-8.025612;-7.941894;-7.570371;-8.254449;-7.5842786
ZINC000257347415;-10.400553;-10.319029;-10.027935;-10.273797;-10.02851
ZINC000257347414;-10.129025;-10.107318;-10.702224;-10.427439;-9.986183
ZINC000257347471;-9.173164;-9.874909;-9.885635;-9.5034075;-10.188847
ZINC000257347413;-10.719258;-9.540283;-9.823874;-10.26241;-9.388026
ZINC000257347472;-10.212009;-9.31564;-8.613223;-9.500268;-9.234738
ZINC000257347470;-9.659618;-9.975988;-9.969482;-9.148755;-9.801965
ZINC000257347416;-10.493262;-10.829664;-10.03378;-10.513569;-10.092101
ZINC000257347599;-8.749111;-8.886041;-9.199749;-8.576611;-9.174102
ZINC000257347583;-9.517302;-9.523894;-9.493216;-9.632706;-8.1865225
ZINC000257347649;-9.2761965;-8.68974;-8.355128;-8.859823;-9.145102
ZINC000257347598;-10.60115;-10.983807;-10.618257;-10.677571;-10.483267
ZINC000257347792;-8.737209;-8.625578;-9.478241;-8.948191;-8.935927
ZINC000257347563;-8.204206;-8.406698;-7.7939405;-8.448869;-8.00159
ZINC000257347724;-10.250168;-9.142849;-8.901624;-9.774712;-9.359511
ZINC000257347562;-11.228144;-11.474691;-11.708142;-11.71801;-11.779623
ZINC000257347651;-8.42057;-9.20161;-8.70556;-8.831704;-8.477881
ZINC000257347791;-9.297821;-10.850331;-10.428796;-9.29118;-9.98452
ZINC000257347557;-9.692341;-9.598603;-10.307512;-10.0904255;-9.502342
ZINC000257347640;-9.155691;-8.410134;-9.268301;-8.884551;-7.725706
