name;01;02;03;04;05
ZINC000102680858;-7.6975965;-7.1322227;-8.179409;-7.992175;-7.304603
ZINC000102680858;-7.775886;-7.6622605;-7.283532;-7.7499843;-6.976488
ZINC000102693037;-10.315192;-9.904278;-10.057543;-9.778839;-9.52809
ZINC000102693032;-10.545874;-10.271302;-10.172523;-10.021463;-9.455127
ZINC000008431282;-10.151916;-8.587728;-9.3490505;-8.31526;-9.448637
ZINC000097986525;-9.177134;-10.403442;-9.714769;-9.327067;-9.498213
ZINC000097986525;-9.180346;-10.401424;-9.714263;-9.325372;-9.501038
ZINC000097999708;-10.095221;-9.6113205;-9.516672;-9.465659;-9.632076
ZINC000097999707;-10.095221;-9.6113205;-9.516672;-9.465659;-9.632076
ZINC000008451118;-10.174732;-9.593093;-8.803242;-9.898566;-9.316207
ZINC000102784351;-10.368578;-9.623147;-9.611266;-9.799771;-9.523082
ZINC000102991630;-8.995217;-9.470761;-8.141858;-8.919116;-9.207236
ZINC000035842633;-10.06167;-8.285806;-8.451839;-9.468495;-8.351182
ZINC000035842632;-10.235369;-8.227002;-8.977586;-9.271511;-8.504612
ZINC000035927860;-8.891951;-9.3549385;-9.103328;-8.981022;-8.495572
ZINC000008617097;-8.877243;-8.804583;-8.402703;-8.064159;-9.432892
ZINC000008626671;-9.443291;-9.205279;-9.151812;-9.755251;-9.116198
ZINC000002616036;-10.159899;-10.664549;-10.038392;-10.237621;-9.760632
ZINC000226761491;-11.766144;-11.789133;-12.044738;-12.565807;-12.407256
ZINC000328596988;-10.477327;-9.502715;-9.945108;-10.074932;-10.116966
ZINC000328596988;-10.042136;-9.641298;-9.602464;-10.92086;-10.744928
ZINC000328598131;-9.747981;-9.06357;-9.371257;-9.324688;-9.604201
ZINC000328598131;-10.171365;-9.466242;-10.2050495;-9.2441;-9.930826
ZINC000334157998;-8.594946;-7.792007;-8.502943;-8.383935;-8.7818775
ZINC000229616088;-7.3322587;-7.81562;-8.601854;-7.869965;-6.9906163
ZINC000229616088;-7.826813;-7.7195654;-7.668064;-7.5359154;-6.4805255
ZINC000229615847;-7.3000684;-7.8327665;-8.130018;-7.868172;-6.955812
ZINC000229615847;-7.3837667;-7.905184;-7.499204;-7.639167;-6.6566324
ZINC000229633451;-7.4027605;-7.930894;-8.116606;-7.5255427;-6.819915
ZINC000229633451;-7.5814;-7.9283338;-7.650676;-7.5140905;-6.5805078
ZINC000229638274;-7.149305;-7.1562023;-8.1516;-7.688729;-7.1236796
ZINC000229638274;-8.049814;-7.944088;-7.275883;-7.796486;-6.609304
ZINC000229653157;-7.2921934;-7.341944;-7.618532;-7.3470163;-6.9037848
ZINC000229653157;-7.7493906;-7.9575562;-7.246112;-7.7816854;-6.64016
ZINC000229869546;-5.201773;-5.686239;-5.4008236;-5.5933943;-5.3266406
ZINC000229919022;-5.0940313;-5.828269;-5.6308794;-5.343778;-5.2999873
ZINC000229919009;-5.02095;-5.492555;-5.783858;-5.5748997;-4.883811
ZINC000098209625;-7.7117367;-8.040308;-8.065672;-8.331225;-7.449317
ZINC000098208784;-7.686066;-7.827565;-8.139481;-8.390128;-7.6020565
ZINC000230001782;-7.6823554;-8.680738;-7.667545;-8.291328;-6.982245
ZINC000230011176;-9.243928;-10.100091;-9.174312;-10.341127;-9.827982
ZINC000100013500;-9.613304;-9.427855;-9.371985;-8.837489;-9.093157
ZINC000102995710;-7.24541;-7.9915304;-8.3613615;-7.6866674;-8.85191
ZINC000102996020;-8.945656;-8.462212;-8.148162;-7.9130707;-8.305901
ZINC000102996051;-8.335167;-8.229654;-8.31465;-7.987361;-8.103373
ZINC000102996038;-8.5892315;-8.521647;-8.061332;-8.33156;-8.627512
