name;avg_pds;best_pds;DS;NA;MW;inchikey;smiles
CGBDRP.xaa_ZINC000423424205_180;-10.0283569;-10.36323;-9.935;48;293.411;MSCKPVSYOMNOPX-MGPQQGTHSA-P;[H]c1c([H])c([N+](=O)[O-])c([H])c([C@@]([H])(C([H])([H])[H])[N+]([H])([H])C([H])([H])[C@]2([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[N+]([H])([H])[H])C([H])([H])C2([H])[H])c1[H]
CGBDRP.xaa_ZINC000423424204_290;-10.0114709;-10.320608;-9.677;48;293.411;MSCKPVSYOMNOPX-IHRRRGAJSA-P;[H]c1c([H])c([N+](=O)[O-])c([H])c([C@]([H])(C([H])([H])[H])[N+]([H])([H])C([H])([H])[C@]2([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[N+]([H])([H])[H])C([H])([H])C2([H])[H])c1[H]
EDBBRN.xaa_ZINC000001723368_294;-10.0138292;-10.553083;-8.763;34;326.272;URHRTDRYHBHFJQ-UHFFFAOYSA-N;[H]c1c([H])c(C2=NN([H])C(c3c([H])c([H])c([H])c([N+](=O)[O-])c3[H])=NN2[H])c([H])c([N+](=O)[O-])c1[H]
ECBDRP.xaa_ZINC000594582745_227;-10.0839864;-10.505432;-9.918;47;344.437;BETRFRJDIUCMLP-NEPJUHHUSA-P;[H]c1c([H])c([N+](=O)[O-])c([H])c(S(=O)(=O)N([H])C([H])([H])C([H])([H])[N+]([H])([H])[C@@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])([N+]([H])([H])[H])C2([H])[H])c1[H]
ECBDRP.xaa_ZINC000594582746_228;-10.1942604;-10.552646;-10.083;47;344.437;BETRFRJDIUCMLP-NWDGAFQWSA-P;[H]c1c([H])c([N+](=O)[O-])c([H])c(S(=O)(=O)N([H])C([H])([H])C([H])([H])[N+]([H])([H])[C@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])([N+]([H])([H])[H])C2([H])[H])c1[H]
ECBDRP.xaa_ZINC000422934790_245;-10.0556392;-10.51952;-10.137;47;344.437;JYRNNYBCFXJVQB-SMDDNHRTSA-P;[H]c1c([H])c([N+](=O)[O-])c([H])c(S(=O)(=O)N([H])C([H])([H])C([H])([H])[N+]([H])([H])[C@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])C([H])([H])[N+]([H])([H])[H])c1[H]
ECBDRP.xaa_ZINC000422934789_270;-10.1573354;-10.510088;-7.151;47;344.437;JYRNNYBCFXJVQB-RISCZKNCSA-P;[H]c1c([H])c([N+](=O)[O-])c([H])c(S(=O)(=O)N([H])C([H])([H])C([H])([H])[N+]([H])([H])[C@@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])[N+]([H])([H])[H])c1[H]
EIBDRP.xaa_ZINC000423484685_108;-10.2755254;-10.831472;-7.483;49;347.484;ABPAXEVDJFSOSN-BFHYXJOUSA-P;[H]c1c(-c2c([H])c([H])c([H])c([H])c2[N+](=O)[O-])sc([C@]([H])(C([H])([H])[H])[N+]([H])([H])[C@]2([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[N+]([H])([H])[H])C2([H])[H])c1[H]
EIBDRP.xaa_ZINC000423484689_110;-10.2393734;-10.731896;-7.293;49;347.484;ABPAXEVDJFSOSN-IHRRRGAJSA-P;[H]c1c(-c2c([H])c([H])c([H])c([H])c2[N+](=O)[O-])sc([C@]([H])(C([H])([H])[H])[N+]([H])([H])[C@@]2([H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[N+]([H])([H])[H])C2([H])[H])c1[H]
EIBDRP.xaa_ZINC000423484694_111;-10.2030736;-10.717335;-7.65;49;347.484;ABPAXEVDJFSOSN-MJBXVCDLSA-P;[H]c1c(-c2c([H])c([H])c([H])c([H])c2[N+](=O)[O-])sc([C@]([H])(C([H])([H])[H])[N+]([H])([H])[C@@]2([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[N+]([H])([H])[H])C2([H])[H])c1[H]
EIBDRP.xaa_ZINC000173306378_290;-10.165455;-10.64856;-10.12;52;341.455;LNMCXVOWGFALSZ-INIZCTEOSA-P;[H]c1c([H])c(C([H])([H])[N+]2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c(C([H])([H])[N+]([H])([H])[C@]([H])(c2c([H])c([H])c([H])c([N+](=O)[O-])c2[H])C([H])([H])[H])c1[H]
EIBDRP.xaa_ZINC000173306393_292;-10.0793064;-10.580233;-9.928;52;341.455;LNMCXVOWGFALSZ-MRXNPFEDSA-P;[H]c1c([H])c(C([H])([H])[N+]2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c(C([H])([H])[N+]([H])([H])[C@@]([H])(c2c([H])c([H])c([H])c([N+](=O)[O-])c2[H])C([H])([H])[H])c1[H]
EHBAMO.xaa_ZINC000046054567_14;-10.0141948;-10.380884;-9.642;48;343.407;FZTDBERQTGWLCP-CJNGLKHVSA-O;[H]c1c([H])c(-c2noc(C([H])([H])[N@@+]3([H])C([H])([H])C([H])([H])C([H])([H])[C@@]4([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]43[H])n2)c([H])c([N+](=O)[O-])c1[H]
EGCARM.xaa_ZINC000003897416_41;-10.0532514;-10.222191;-8.465;32;330.236;OXLHMIURMJJYGM-UHFFFAOYSA-M;[H]c1c([H])c(/N=N/N([H])c2c([H])c(C(=O)[O-])c([H])c([N+](=O)[O-])c2[H])c([H])c([N+](=O)[O-])c1[H]
FIAARP.xaa_ZINC000071764854_146;-10.0052172;-10.587602;-11.71;60;367.537;OKEXSQBQZUKDDP-OAQYLSRUSA-P;[H]Oc1c([H])c(-c2nc([H])c(C([H])([H])[N+]3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c2[H])c([H])c(C([H])([H])C([H])([H])[C@@]2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]2([H])[H])c1[H]
FGABRP.xaa_ZINC000255187479_109;-10.175605999999998;-10.874927;-10.886;52;376.46;DUCHBUCNUNFADD-UHFFFAOYSA-P;[H]c1c([H])c(C(=O)N([H])c2c([H])c([H])c([H])c(C([H])([H])[N+]([H])([H])[H])c2[H])c([H])c(C(=O)N([H])c2c([H])c([H])c([H])c(C([H])([H])[N+]([H])([H])[H])c2[H])c1[H]
FDCARM.xaa_ZINC000013615112_7;-10.1331176;-10.304483;-9.727;34;371.241;BTWUYZBMRFPLDA-UHFFFAOYSA-M;[H]/C(=C1/C(=O)[N-]C(=O)N([H])C1=O)c1oc(-c2c([H])c([N+](=O)[O-])c([H])c([N+](=O)[O-])c2[H])c([H])c1[H]
FHBDRP.xaa_ZINC000513545344_1;-10.0118932;-10.46226;-9.696;55;355.482;PTLXUDXMZLZYMO-XLIONFOSSA-P;[H]c1c([H])c([H])c(C([H])([H])[N@@+]2([H])C([H])([H])[C@@]([H])(C([H])([H])C([H])([H])[N+]([H])([H])C([H])([H])c3c([H])c([H])c([H])c([N+](=O)[O-])c3[H])C([H])([H])[C@@]2([H])C([H])([H])[H])c([H])c1[H]
FHBDRP.xaa_ZINC000584678552_29;-10.0700772;-10.525069;-9.71;56;358.486;WZICXWRFYOYFAR-UHFFFAOYSA-P;[H]c1c([N+](=O)[O-])c([H])c2c(C([H])([H])C([H])([H])[N+]([H])([H])[C@]3([H])C([H])([H])C([H])([H])[N@@+]([H])(C4([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])C([H])([H])C3([H])[H])c([H])n([H])c2c1[H]
FHBDRP.xaa_ZINC000435381623_72;-10.1863931;-11.03192;-11.176;51;362.499;XBIQMFFLIJSANU-UHFFFAOYSA-P;[H]c1sc(-c2c([H])c([H])c([H])c([N+](=O)[O-])c2[H])nc1C([H])([H])[N@+]1([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])C([H])([H])[N+]([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H]
FHBDRP.xaa_ZINC000414659552_94;-10.0268881;-10.724586;-9.737;47;363.845;SXQCLGZWQAIJIF-CQSZACIVSA-P;[H]c1c([H])c(Oc2c([H])c([H])c(C([H])([H])[N@@+]3([H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[N+]([H])([H])[H])C3([H])[H])c([H])c2[H])c([N+](=O)[O-])c([H])c1Cl
FHBDRP.xaa_ZINC000423449828_139;-10.0731023;-10.648382;-10.396;53;353.466;WRKRPADEZCIWPP-HBMCJLEFSA-P;[H]c1c([H])c([H])c([C@@]([H])(c2c([H])c([H])c([H])c([N+](=O)[O-])c2[H])[N+]([H])([H])[C@]2([H])C([H])([H])[C@@]2([H])C2([H])C([H])([H])C([H])([H])[N+]([H])([H])C([H])([H])C2([H])[H])c([H])c1[H]
FHBDRP.xaa_ZINC000415018432_182;-10.3886486;-10.837547;-11.279;51;362.499;BWBCZKXIOOFOQH-HDJSIYSDSA-P;[H]c1sc(-c2c([H])c([H])c([H])c([N+](=O)[O-])c2[H])nc1C([H])([H])[N+]([H])([H])C([H])([H])[C@]1([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[N+]([H])([H])[H])C([H])([H])C1([H])[H]
FHBDRP.xaa_ZINC000415057752_208;-10.2958816;-11.074139;-9.704;53;357.454;URVPNIATTPQHPE-APWZRJJASA-P;[H]c1c(-c2c([H])c([H])c([H])c([N+](=O)[O-])c2[H])oc(C([H])([H])[N@+]2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])[C@]2([H])C([H])([H])C([H])([H])[N+]([H])([H])C2([H])[H])c1[H]
FHBDRP.xaa_ZINC000415057757_209;-10.3044926;-10.667442;-11.317;53;357.454;URVPNIATTPQHPE-QFBILLFUSA-P;[H]c1c(-c2c([H])c([H])c([H])c([N+](=O)[O-])c2[H])oc(C([H])([H])[N@+]2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])[C@@]2([H])C([H])([H])C([H])([H])[N+]([H])([H])C2([H])[H])c1[H]
FHBDRP.xaa_ZINC000415057759_210;-10.2419238;-10.835083;-10.314;53;357.454;URVPNIATTPQHPE-VQIMIIECSA-P;[H]c1c(-c2c([H])c([H])c([H])c([N+](=O)[O-])c2[H])oc(C([H])([H])[N@+]2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])[C@]2([H])C([H])([H])C([H])([H])[N+]([H])([H])C2([H])[H])c1[H]
FHBDRP.xaa_ZINC000415057754_211;-10.177093799999998;-10.709124;-9.999;53;357.454;URVPNIATTPQHPE-LPHOPBHVSA-P;[H]c1c(-c2c([H])c([H])c([H])c([N+](=O)[O-])c2[H])oc(C([H])([H])[N@+]2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])[C@@]2([H])C([H])([H])C([H])([H])[N+]([H])([H])C2([H])[H])c1[H]
FHBDRP.xaa_ZINC000584782569_218;-10.3720812;-10.758298;-11.638;53;357.454;QJXHNMUGEBBYNW-KRWDZBQOSA-P;[H]c1c(-c2c([H])c([H])c([H])c([N+](=O)[O-])c2[H])oc(C([H])([H])[N@+]2([H])C([H])([H])C([H])([H])[C@@]([H])([C@@]3([H])C([H])([H])C([H])([H])[N+]([H])([H])C3([H])[H])C([H])([H])C2([H])[H])c1[H]
FHBDRP.xaa_ZINC000584782570_219;-10.2912914;-10.665422;-10.949;53;357.454;QJXHNMUGEBBYNW-QGZVFWFLSA-P;[H]c1c(-c2c([H])c([H])c([H])c([N+](=O)[O-])c2[H])oc(C([H])([H])[N@+]2([H])C([H])([H])C([H])([H])[C@@]([H])([C@]3([H])C([H])([H])C([H])([H])[N+]([H])([H])C3([H])[H])C([H])([H])C2([H])[H])c1[H]
FHBDRP.xaa_ZINC000414776268_254;-10.4984034;-10.78336;-10.573;53;357.454;GWMRAQWBEOOJAK-IRXDYDNUSA-P;[H]c1c(-c2c([H])c([H])c([H])c([N+](=O)[O-])c2[H])oc(C([H])([H])[N@+]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]([H])([C@@]3([H])C([H])([H])C([H])([H])[N+]([H])([H])C3([H])[H])C2([H])[H])c1[H]
